config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill
hw_offset0h,h1_0.1mm,1,0.1,calibrated,1930894,0.4060849533946452,0.8202175817604269,0.7577855382006387,1.866076376053758,0.6267086093314057,0.7955291816040413,0.7010993383289293,0.16882555186748505,0.30000175365850357
hw_offset0h,h3_0.1mm,3,0.1,calibrated,1930894,0.5698997459208015,0.8135170104411987,0.8475998252626424,1.48727882637174,0.7080609184745299,0.8876261341165523,0.7877401458688439,0.1734074354171753,0.2925438067073014
hw_offset0h,h6_0.1mm,6,0.1,calibrated,1930894,0.6986944907384869,0.8201345889243521,0.9074222085029394,1.2987396072693191,0.7854557834434877,0.9388557599297311,0.8553323084683716,0.1504320651292801,0.28542794837734076
hw_offset0h,h1_1.0mm,1,1.0,calibrated,1930894,0.19063967260761078,0.8356804402762781,0.560245829317165,2.93876831434927,0.4683402408348735,0.6560274921557707,0.5465188383756088,0.1150456890463829,0.2543841124000603
hw_offset0h,h3_1.0mm,3,1.0,calibrated,1930894,0.29860468777675003,0.8055312498913322,0.6427199996469595,2.152410949849137,0.5229461300792405,0.7444491080069514,0.6143415540380974,0.1568593680858612,0.2510531806274666
hw_offset0h,h6_1.0mm,6,1.0,calibrated,1930894,0.4159751907665568,0.7861795499100944,0.7161692715208637,1.7216634246891285,0.5902449760748215,0.8113380909457623,0.6833533357346702,0.18454232811927795,0.240378463134164
hw_offset0h,h1_0.1mm,1,0.1,raw,1930894,0.4060849533946452,0.8201095503333263,0.7582623758383703,1.8672506072921862,0.6146334055189822,0.8155111483509266,0.700964658423222,0.20704174041748047,0.1415466817162514
hw_offset0h,h3_0.1mm,3,0.1,raw,1930894,0.5698997459208015,0.8136450124615132,0.8481251394777318,1.4882005923820767,0.7114844176306138,0.8839257153658253,0.7883858323559759,0.173325315117836,0.2928788356766352
hw_offset0h,h6_0.1mm,6,0.1,raw,1930894,0.6986944907384869,0.8201417894868078,0.9077349337273093,1.2991871923419298,0.7835259112812324,0.9423840249646989,0.8556440709106926,0.15039850771427155,0.2855873505026071
hw_offset0h,h1_1.0mm,1,1.0,raw,1930894,0.19063967260761078,0.8357211811177554,0.5612918950140138,2.9442554497526223,0.4852076812735029,0.6312899851944418,0.5486921453161376,0.21979856491088867,-0.4245236255932343
hw_offset0h,h3_1.0mm,3,1.0,raw,1930894,0.29860468777675003,0.8056976929724577,0.6435988472953186,2.155354130865157,0.5252619619978164,0.7401252918098977,0.6144516814602725,0.15676349401474,0.25151094468391266
hw_offset0h,h6_1.0mm,6,1.0,raw,1930894,0.4159751907665568,0.7861975301393643,0.7168638471775424,1.7233331772899956,0.5924251810511658,0.8072357707381935,0.6833466305095892,0.18447387218475342,0.24066024457000623
