target,rows,base_rate,om_only,hw_offset0h,roc_gain
h1_0.1mm,1930894,0.4060849533946452,0.7881248964901204,0.8202175817604269,0.03209268527030651
h3_0.1mm,1930894,0.5698997459208015,0.7805159995017618,0.8135170104411987,0.03300101093943697
h6_0.1mm,1930894,0.6986944907384869,0.7918495885766376,0.8201345889243521,0.02828500034771453
h1_1.0mm,1930894,0.19063967260761078,0.7952852898687838,0.8356804402762781,0.04039515040749431
h3_1.0mm,1930894,0.29860468777675003,0.7714750376721273,0.8055312498913322,0.03405621221920485
h6_1.0mm,1930894,0.4159751907665568,0.7600906928857146,0.7861795499100944,0.026088857024379797
