target,base_rate,om_f1,om_prec,om_rec,hw_f1,hw_prec,hw_rec,f1_gain
h1_0.1mm,0.4060849533946452,0.676016258167395,0.5905287569219746,0.7904444163870492,0.7010993383289293,0.6267086093314057,0.7955291816040413,0.025083080161534377
h3_0.1mm,0.5698997459208015,0.771643500381622,0.6756367111505512,0.89945438815866,0.7877401458688439,0.7080609184745299,0.8876261341165523,0.016096645487221894
h6_0.1mm,0.6986944907384869,0.847636854906948,0.7670803836437512,0.9470982614399917,0.8553323084683716,0.7854557834434877,0.9388557599297311,0.0076954535614236486
h1_1.0mm,0.19063967260761078,0.5012604644359744,0.41487526503842725,0.6330802352589614,0.5465188383756088,0.4683402408348735,0.6560274921557707,0.04525837393963439
h3_1.0mm,0.29860468777675003,0.5832585113531766,0.4917738138032333,0.7165602333785429,0.6143415540380974,0.5229461300792405,0.7444491080069514,0.031083042684920792
h6_1.0mm,0.4159751907665568,0.6639686004204439,0.5567934833010433,0.8222381860648105,0.6833533357346702,0.5902449760748215,0.8113380909457623,0.019384735314226242
