target,config,rows,base_rate,roc_auc,pr_auc,pr_lift,f1,precision,recall,brier,brier_skill
h1_0.1mm,Base (om_only),1930894,0.4060849533946452,0.7881248964901204,0.7106182038462608,1.7499249797508785,0.676016258167395,0.5905287569219746,0.7904444163870492,0.18274091184139252,0.2423047553593859
h1_0.1mm,Himawari (hw_offset0h),1930894,0.4060849533946452,0.8202175817604269,0.7577855382006387,1.866076376053758,0.7010993383289293,0.6267086093314057,0.7955291816040413,0.16882555186748505,0.30000175365850357
h3_0.1mm,Base (om_only),1930894,0.5698997459208015,0.7805159995017618,0.8160430910934622,1.4319063957029154,0.771643500381622,0.6756367111505512,0.89945438815866,0.18746338784694672,0.23519926104150213
h3_0.1mm,Himawari (hw_offset0h),1930894,0.5698997459208015,0.8135170104411987,0.8475998252626424,1.48727882637174,0.7877401458688439,0.7080609184745299,0.8876261341165523,0.1734074354171753,0.2925438067073014
h6_0.1mm,Base (om_only),1930894,0.6986944907384869,0.7918495885766376,0.8895932428002545,1.273222065712865,0.847636854906948,0.7670803836437512,0.9470982614399917,0.1604207307100296,0.23798047598590077
h6_0.1mm,Himawari (hw_offset0h),1930894,0.6986944907384869,0.8201345889243521,0.9074222085029394,1.2987396072693191,0.8553323084683716,0.7854557834434877,0.9388557599297311,0.1504320651292801,0.28542794837734076
h1_1.0mm,Base (om_only),1930894,0.19063967260761078,0.7952852898687838,0.4766765959839198,2.5004060774120833,0.5012604644359744,0.41487526503842725,0.6330802352589614,0.1257498562335968,0.18500996040471818
h1_1.0mm,Himawari (hw_offset0h),1930894,0.19063967260761078,0.8356804402762781,0.560245829317165,2.93876831434927,0.5465188383756088,0.4683402408348735,0.6560274921557707,0.1150456890463829,0.2543841124000603
h3_1.0mm,Base (om_only),1930894,0.29860468777675003,0.7714750376721273,0.5848124418201278,1.9584837939897288,0.5832585113531766,0.4917738138032333,0.7165602333785429,0.16866232454776764,0.194698327173648
h3_1.0mm,Himawari (hw_offset0h),1930894,0.29860468777675003,0.8055312498913322,0.6427199996469595,2.152410949849137,0.6143415540380974,0.5229461300792405,0.7444491080069514,0.1568593680858612,0.2510531806274666
h6_1.0mm,Base (om_only),1930894,0.4159751907665568,0.7600906928857146,0.6812181902539157,1.6376413915420547,0.6639686004204439,0.5567934833010433,0.8222381860648105,0.1946728229522705,0.198678858860854
h6_1.0mm,Himawari (hw_offset0h),1930894,0.4159751907665568,0.7861795499100944,0.7161692715208637,1.7216634246891285,0.6833533357346702,0.5902449760748215,0.8113380909457623,0.18454232811927795,0.240378463134164
