probability_threshold,predicted_rain_rate,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
0.6000000000000002,0.4524772190016577,0.8202974036037627,0.7146279178661857,0.8647391656764222,0.7825498655810282,506630,131641,51564,329655,lightgbm,neighbor_grid,1,test,1019490,0.37393108318865315,0.9141829200566195,0.8731503806126156,0.14136920705807834
0.5000000000000001,0.5935575630952731,0.7786893446723362,0.7058728264857236,0.8996592120173048,0.7910710912411058,366724,177984,47640,427142,lightgbm,neighbor_grid,2,test,1019490,0.4657054017204681,0.891709719568178,0.8847623624244229,0.15129487302792574
0.30000000000000004,0.6549529666794182,0.7755926983099393,0.7366013796243325,0.9028815211465139,0.811309192430297,298867,175876,52905,491842,hist_gradient_boosting,neighbor_grid,3,test,1019490,0.5343328527008603,0.8790831391647376,0.8971183325951758,0.14098752009362647
0.30000000000000004,0.797169172821705,0.7863667127681487,0.7915088605227475,0.9300843383423533,0.855219450584149,158429,169442,48355,643264,hist_gradient_boosting,neighbor_grid,6,test,1019490,0.6783970416580839,0.861990098961519,0.9296201842438114,0.14067963183834079
