model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,2,neighbor_relative_humidity_mean,250.0,True
lightgbm,2,neighbor_relative_humidity_max,245.0,True
lightgbm,2,neighbor_pressure_msl_mean,383.0,True
lightgbm,2,neighbor_pressure_msl_min,588.0,True
lightgbm,2,neighbor_pressure_msl_max,489.0,True
lightgbm,2,neighbor_temperature_2m_mean,494.0,True
lightgbm,2,neighbor_dew_point_2m_mean,1133.0,True
lightgbm,2,neighbor_temperature_dew_point_spread_mean,227.0,True
lightgbm,2,neighbor_wind_speed_10m_mean,362.0,True
lightgbm,2,neighbor_wind_speed_10m_max,596.0,True
lightgbm,2,row_minus_precipitation_mean,116.0,True
lightgbm,2,row_plus_precipitation_mean,54.0,True
lightgbm,2,column_minus_precipitation_mean,388.0,True
lightgbm,2,column_plus_precipitation_mean,311.0,True
lightgbm,2,row_minus_cloud_cover_mean,175.0,True
lightgbm,2,row_plus_cloud_cover_mean,208.0,True
lightgbm,2,column_minus_cloud_cover_mean,134.0,True
lightgbm,2,column_plus_cloud_cover_mean,361.0,True
lightgbm,2,neighbor_precipitation_mean_minus_center,222.0,True
lightgbm,2,neighbor_cloud_cover_mean_minus_center,145.0,True
lightgbm,2,neighbor_relative_humidity_mean_minus_center,201.0,True
lightgbm,2,center_pressure_msl_minus_neighbor_mean,536.0,True
