probability_threshold,predicted_rain_rate,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,model,target_type,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
0.1,0.6611408790539953,0.5980322363272759,0.3989955655286638,0.9827907353417558,0.5675684365911051,123011,146237,1700,97084,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.15000000000000002,0.5882803669246153,0.6631271193809234,0.4418122361504993,0.9683248299319728,0.6067747153414317,148397,120851,3129,95655,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.20000000000000004,0.5382140683418833,0.705145204764803,0.4754341680129241,0.9533325234855847,0.6344588767920664,165342,103906,4610,94174,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.25000000000000006,0.5024617424571777,0.7338003217111555,0.5022009279588151,0.94011175898931,0.6546777297625006,177194,92054,5916,92868,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.30000000000000004,0.4736626162942353,0.7557141770280845,0.525467092695743,0.9272857952704892,0.6708066801656494,186526,82722,7183,91601,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.3500000000000001,0.4478577949743501,0.7744163550995565,0.5478140584616504,0.9140549076773566,0.6850574712643678,194716,74532,8490,90294,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.40000000000000013,0.42421854621337274,0.7900454308321015,0.5688994786262378,0.8991334629089731,0.6968734063002628,201942,67306,9964,88820,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.45000000000000007,0.4005195200417355,0.8046528562733676,0.5912119074109251,0.8821975218658892,0.7079711440037695,208991,60257,11637,87147,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.5000000000000001,0.3764781323363186,0.8181136422919746,0.614913825456855,0.8624878522837707,0.7179573607482936,215892,53356,13584,85200,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.5500000000000002,0.3516406182071124,0.8304250717328928,0.6405362593207897,0.839154114026563,0.7265150154032226,222728,46520,15889,82895,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.6000000000000002,0.32695526475958614,0.8409920876445527,0.6673065735892961,0.8128543083900227,0.7329244137754776,229215,40033,18487,80297,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.6500000000000001,0.3023976175984697,0.8494370054777846,0.6948567731732739,0.7828393262066732,0.7362287933890592,235288,33960,21452,77332,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.7000000000000002,0.2777176984610034,0.8555804930006087,0.723233766106703,0.748309442824749,0.7355579547546433,240960,28288,24863,73921,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.7500000000000002,0.2508966611598991,0.8588166246413356,0.7535467521497109,0.7043752024619372,0.728131769236404,246491,22757,29203,69581,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.8000000000000002,0.2220812320667768,0.859341035562125,0.787625561278798,0.6516743602202786,0.7132292249483428,251890,17358,34409,64375,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.8500000000000002,0.1889645465611686,0.8547979523519694,0.8260119347185275,0.5815212989957887,0.6825324216266954,257148,12100,41339,57445,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.9000000000000002,0.14932125467350665,0.8418969002695418,0.8693658447820944,0.48364107547781016,0.6215208892993971,262069,7179,51008,47776,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.1,0.42559886096861144,0.7233474263107555,0.365948644611004,0.9581599050532404,0.5296202017028786,208895,99314,2503,57320,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.15000000000000002,0.3676093383184071,0.7742016998521868,0.41397126215888597,0.936211824883406,0.5740922020346975,228924,79285,3816,56007,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.20000000000000004,0.3325036953308408,0.8032154812624989,0.44851763475304807,0.9174732126439664,0.6024973242953978,240723,67486,4937,54886,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.25000000000000006,0.30683201460742543,0.8230615816015998,0.4765506004038114,0.8995536833659294,0.6230383161502081,249099,59110,6009,53814,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.30000000000000004,0.2857387401095557,0.8383564472654552,0.5015832865796255,0.8817177339819133,0.6394195800804926,255795,52414,7076,52747,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.3500000000000001,0.26653117120250414,0.8514721545952526,0.5263018390898341,0.8629791217424736,0.653845423170693,261743,46466,8197,51626,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.40000000000000013,0.2475844491783323,0.8635009999130511,0.5526070303668829,0.8416996807248048,0.6671834214466483,267443,40766,9470,50353,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.45000000000000007,0.22907518911399008,0.8740109555690809,0.5797976443237216,0.8170937599251125,0.6782904322486644,272783,35426,10942,48881,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.5000000000000001,0.2111419659160073,0.8830427788887922,0.6079632465543645,0.789712986643933,0.6870210135970334,277745,30464,12580,47243,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.5500000000000002,0.19371413355360403,0.8905638640118251,0.6370891952926655,0.7592397572839877,0.6928216236004759,282336,25873,14403,45420,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.6000000000000002,0.1762536953308408,0.8964329188766195,0.6673192840735659,0.7235845744947595,0.6943138984682011,286629,21580,16536,43287,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.6500000000000001,0.15983392748456657,0.9004407225458656,0.6970454236366109,0.6854052789061064,0.6911763466417187,290388,17821,18820,41003,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.7000000000000002,0.14330275628206243,0.9028970306929832,0.7283466059916572,0.6421108938033867,0.6825155690591047,293882,14327,21410,38413,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.7500000000000002,0.12627706286409876,0.9029731110338232,0.759435383225029,0.5899737559132775,0.6640638964411038,297029,11180,24529,35294,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
