probability_threshold,predicted_rain_rate,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,model,target_type,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
0.6000000000000002,0.1762536953308408,0.8964329188766195,0.6673192840735659,0.7235845744947595,0.6943138984682011,286629,21580,16536,43287,lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
0.6500000000000001,0.3023976175984697,0.8494370054777846,0.6948567731732739,0.7828393262066732,0.7362287933890592,235288,33960,21452,77332,lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
0.5000000000000001,0.21629097469785236,0.8382341752891053,0.5015451873068516,0.6678376072665229,0.5728675663459676,268573,39678,19857,39924,lightgbm,exact_hour,neighbor_grid,2,test,368032,0.16243424484827407,0.878950869317946,0.582683408166754,0.10878791820736236
0.6000000000000002,0.34942613685766455,0.7805951656377706,0.5702877138413686,0.7421022807763139,0.6449482469022891,213945,55261,25487,73339,lightgbm,exact_hour,neighbor_grid,2,validation,368032,0.26852556299452224,0.8553734678772918,0.6805217428407976,0.16530852223690032
0.45000000000000007,0.24769041822450222,0.8069434179636553,0.438063581912723,0.6682340735286735,0.5292047946884711,257048,51225,19826,39933,lightgbm,exact_hour,neighbor_grid,3,test,368032,0.16237446743761413,0.8538745932055664,0.5137788770238069,0.11847860161658955
0.5500000000000002,0.3925174984783932,0.7411203373619685,0.5123875978651382,0.7487633402458146,0.6084236829775517,198737,70440,24836,74019,lightgbm,exact_hour,neighbor_grid,3,validation,368032,0.26860436049039216,0.8247065040070408,0.6158251846830691,0.18118362844868846
0.45000000000000007,0.25099719589600905,0.7981941787670638,0.42135859269282816,0.6515181949047572,0.5117508233793725,254838,53452,20819,38923,lightgbm,exact_hour,neighbor_grid,4,test,368032,0.16232827580210415,0.842113128414838,0.48602185877916115,0.12280685840925197
0.5500000000000002,0.4025356490739936,0.7253472524128337,0.4926221430210738,0.7379543960766469,0.5908331005784465,193971,75166,25915,72980,lightgbm,exact_hour,neighbor_grid,4,validation,368032,0.268713046691592,0.8074540088612525,0.5817470073777786,0.19044590636416958
0.40000000000000013,0.28811081645074343,0.775027714981306,0.3911009676141615,0.694604961224729,0.5004314063848145,243765,64564,18233,41470,lightgbm,exact_hour,neighbor_grid,5,test,368032,0.16222230675593427,0.833289153593357,0.46082407895275646,0.12601531428933307
0.5500000000000002,0.41012194591774626,0.7136118598382749,0.4786004849673376,0.7301293713361633,0.5781941587494698,190393,78699,26701,72239,lightgbm,exact_hour,neighbor_grid,5,validation,368032,0.2688353186679419,0.7967514428753807,0.5619057760269335,0.19611049440374315
0.40000000000000013,0.2869723284931745,0.7717209373097992,0.3848411683946409,0.6809462380003015,0.49176063495136235,243373,64970,19044,40645,lightgbm,exact_hour,neighbor_grid,6,test,368032,0.1621842665855143,0.8272186892358924,0.44892604904136896,0.12790158558495668
0.5000000000000001,0.4572129597426311,0.686459329623511,0.4511526187235914,0.7671746468055864,0.5681771404407555,176724,92354,23039,75915,lightgbm,exact_hour,neighbor_grid,6,validation,368032,0.2688733588383619,0.7884430038221351,0.5501602085420949,0.199197603837863
