rain_threshold,strong_threshold,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,moderate_or_heavy_f1,moderate_or_heavy_f2,horizon_h
0.2,0.01,0.2869752004757477,0.04419144284983385,0.9666515939407642,0.08451901455435025,0.18679849530109266,1
0.2,0.03,0.3152834884094275,0.04757576602447933,0.9645037304996609,0.0906786551245875,0.1986782725329384,1
0.2,0.049999999999999996,0.33804450620665666,0.050880497108994505,0.9589645037304997,0.09663382126787036,0.20986304352128565,1
0.2,0.06999999999999999,0.35756017422728487,0.05404103650900684,0.9512774135202351,0.10227210578448113,0.2201738365977844,1
0.2,0.08999999999999998,0.37477623662835174,0.05731754178903741,0.9442685959755822,0.10807488775893076,0.2305980697453566,1
0.2,0.10999999999999997,0.38993048943059455,0.060520142933348925,0.9362423694325118,0.11369111762404509,0.24043290696796749,1
0.2,0.12999999999999998,0.4023952905623245,0.06379773570840645,0.9287813701107845,0.11939430929752666,0.25023451871885777,1
0.2,0.15,0.41305822801514686,0.06689511445728548,0.918042052905268,0.1247034435103075,0.2589885382981573,1
0.2,0.16999999999999998,0.4224826838219557,0.07017681660295684,0.9089984173637803,0.13029458469715138,0.26809410132963474,1
0.2,0.18999999999999997,0.4306421624852417,0.07331633030235825,0.8969025548270405,0.13555210059626524,0.27625348189415044,1
0.2,0.20999999999999996,0.43808502962812357,0.07653830341236124,0.8839023287361519,0.14087780620518178,0.2842404501897602,1
0.2,0.22999999999999998,0.44510004641323464,0.08008601793079088,0.8714673298666064,0.14669140383426096,0.2927994652203308,1
0.2,0.24999999999999997,0.4512032855144628,0.08349771337263762,0.8565453312231517,0.15216234398690645,0.30036708449286054,1
0.2,0.26999999999999996,0.4568767593300303,0.08711151629907547,0.8425276961338458,0.15789752444307914,0.3081254495993915,1
0.2,0.29,0.46246180486927896,0.09074748579739692,0.8252317431607507,0.16351398268543718,0.3151251435330277,1
0.2,0.30999999999999994,0.46781977285416126,0.09466045131899566,0.808048835631924,0.16946821878185828,0.3222839417111528,1
0.2,0.32999999999999996,0.4726919068968725,0.09858736269958102,0.7873615193307709,0.1752333509447254,0.3284385845782405,1
0.2,0.35,0.4776717162297727,0.10296364654089954,0.7693872936920642,0.18162167932005283,0.33532049071291326,1
0.2,0.36999999999999994,0.48233303929096394,0.10758191742658611,0.7508478408320145,0.1881986257703478,0.34193754311543095,1
0.2,0.38999999999999996,0.48727684217807754,0.11284114460873958,0.7324214334162333,0.19555407995412222,0.349080290083081,1
0.2,0.4099999999999999,0.49207721473634614,0.11838620611934411,0.7125254352249605,0.20303767294280606,0.3555994358251058,1
0.2,0.42999999999999994,0.4971402269869987,0.12482454177431496,0.6936468460321049,0.2115752633484475,0.3629008410120534,1
0.2,0.44999999999999996,0.5017217063096627,0.13113342898134864,0.6716029843997287,0.219423464017285,0.36814187807507837,1
0.2,0.4699999999999999,0.5061978485763995,0.13800302354042185,0.6501243499886955,0.2276767156911261,0.3731653191793088,1
0.2,0.48999999999999994,0.5107036112442239,0.14549750590706223,0.6264978521365588,0.23615135503664564,0.3771402128644146,1
0.2,0.5099999999999999,0.5151859680118928,0.15351836922722562,0.6027583088401537,0.24471063380604893,0.3802270523133094,1
0.2,0.5299999999999999,0.5196784913861321,0.16218276530190898,0.577210038435451,0.253217287807781,0.3818026829377721,1
0.2,0.5499999999999999,0.5241570517439196,0.17215082615449795,0.551209586253674,0.26236211998923864,0.3826834934388146,1
0.2,0.57,0.5284550092251874,0.18259944021760555,0.5236264978521366,0.27077426709145647,0.3812282925383944,1
0.2,0.59,0.5329876421947062,0.19514033609719328,0.4975130002260909,0.28032739896175035,0.3798091029911801,1
0.2,0.6099999999999999,0.5370184152853567,0.20802481488893337,0.47004295726882206,0.2884095165429701,0.375460521563245,1
0.2,0.6299999999999999,0.5411555217002482,0.2236834581737092,0.44223377797874747,0.2970951205619897,0.36994307113271424,1
0.2,0.6499999999999999,0.5442400433572283,0.24006611570247935,0.410468008139272,0.30294939718826913,0.35944089172226734,1
0.2,0.6699999999999999,0.546071885353628,0.2567286188015732,0.376328283970156,0.3052308256544263,0.34425347976256954,1
0.2,0.69,0.5469188771878776,0.2752502274795268,0.3419624689125028,0.3050010082677959,0.3261525855004959,1
0.2,0.7099999999999999,0.546015634195736,0.29503173560954254,0.30477051774813474,0.2998220640569395,0.30277166344728446,1
0.2,0.7299999999999999,0.5452841850725857,0.32165689930740543,0.2730047479086593,0.2953405894582365,0.2815210295626224,1
0.2,0.7499999999999999,0.5428756508594174,0.3504343550237666,0.2416911598462582,0.2860774737405499,0.25768350006026275,1
0.25,0.01,0.2986685698359915,0.04688581027602354,0.9576079583992765,0.08939473087131106,0.196036231179735,1
0.25,0.03,0.3267355392955655,0.05029268989149058,0.9556861858467104,0.09555673610561653,0.20773540397090626,1
0.25,0.049999999999999996,0.349779810911578,0.05365041070710552,0.9502600045218178,0.10156651180774133,0.21883216619373652,1
0.25,0.06999999999999999,0.36986501288723583,0.05696159309440559,0.942912050644359,0.10743311995260114,0.22938025256303077,1
0.25,0.08999999999999998,0.38762938128747226,0.060401999051544884,0.9359032330997061,0.11348013515087965,0.2400419834269842,1
0.25,0.10999999999999997,0.4033958431957079,0.06379572933826501,0.9281030974451729,0.11938518809347234,0.25018893683415006,1
0.25,0.12999999999999998,0.4164030718061042,0.06724950673238064,0.9208681890119829,0.12534525339098457,0.26023064881960195,1
0.25,0.15,0.427521811659358,0.07051562636785433,0.9105810535835406,0.13089473171048782,0.2691927226061733,1
0.25,0.16999999999999998,0.43738150214931304,0.07395286744664677,0.9017635089305901,0.13669545548015627,0.2784293193717277,1
0.25,0.18999999999999997,0.44595111449440344,0.07724079742563378,0.8900067827266561,0.14214526874537348,0.2866828827779072,1
0.25,0.20999999999999996,0.4537237191999602,0.08062622715798003,0.8773456929685733,0.1476808905380334,0.294774503771564,1
0.25,0.22999999999999998,0.4611000357274166,0.08432500330556657,0.865136784987565,0.15367161301981888,0.3033534168384335,1
0.25,0.24999999999999997,0.4675282383661043,0.08782868618934192,0.8503278317883789,0.15921261509154408,0.3107545361403973,1
0.25,0.26999999999999996,0.4734666519556651,0.09153527484078403,0.8367623784761474,0.16501878253502916,0.318368330050151,1
0.25,0.29,0.4792725144914853,0.09527563193021178,0.8198055618358581,0.17071161225018244,0.32520179372197305,1
0.25,0.30999999999999994,0.4849204535810083,0.09933173023151773,0.8031878815283744,0.17679846716599895,0.3322826249625861,1
0.25,0.32999999999999996,0.4899713486311448,0.10335512372764992,0.7828397015600271,0.18260204619765846,0.3381810013087727,1
0.25,0.35,0.4951587932631276,0.10785610685197877,0.764978521365589,0.18905667230083675,0.3448152866242038,1
0.25,0.36999999999999994,0.4999857933692817,0.11254621977610033,0.7466651593940764,0.19560807309019293,0.3510646214029829,1
0.25,0.38999999999999996,0.5051178786337521,0.11793341995937116,0.7284648428668324,0.2030021894246066,0.35790058317134127,1
0.25,0.4099999999999999,0.5100634812225086,0.12355942554323202,0.709021026452634,0.21044508195346184,0.3640373788380057,1
0.25,0.42999999999999994,0.5152896653643607,0.13010519143137003,0.6907076644811214,0.21896502293577982,0.37099555533966433,1
0.25,0.44999999999999996,0.5199918703294705,0.13646841862609496,0.6692290300700882,0.22670700417416612,0.3758062058808592,1
0.25,0.4699999999999999,0.5245160343851278,0.14336801040312094,0.6480895319918607,0.23479542941393292,0.38031364432415227,1
0.25,0.48999999999999994,0.529036901936333,0.15080794846598974,0.6245760795839927,0.24295325623323513,0.3835740072202167,1
0.25,0.5099999999999999,0.5335146971695091,0.15876381009256493,0.6010626271761248,0.25118102796674224,0.38599471498678745,1
0.25,0.5299999999999999,0.5379985989779464,0.16736772921459087,0.5757404476599594,0.2593441287300132,0.3869237548242015,1
0.25,0.5499999999999999,0.5424186870613387,0.17722072433141442,0.5498530409224508,0.2680480546676954,0.3870762374661786,1
0.25,0.57,0.5466887728666291,0.18754816467248023,0.5227221342979878,0.2760514611504134,0.3850830293642465,1
0.25,0.59,0.5510886779458352,0.19977267560809275,0.4967216821162107,0.28494536493628614,0.38289269593405256,1
0.25,0.6099999999999999,0.5550938555140195,0.212654858195966,0.46959077549174766,0.2927413671599718,0.37820022579117957,1
0.25,0.6299999999999999,0.5591154425059076,0.22814287381813939,0.44189464164594167,0.30092378752886834,0.3721581172169542,1
0.25,0.6499999999999999,0.562026590523775,0.24422753281723325,0.4101288718064662,0.30614741994008693,0.3610740659646887,1
0.25,0.6699999999999999,0.5637060035331375,0.2605733082706767,0.3761021930816188,0.3078560192467845,0.34546851636484466,1
