horizon_h,split,rain_threshold,strong_threshold,predicted_no_rain,predicted_light,predicted_moderate_or_heavy
1,validation,0.7499999999999998,0.48999999999999994,246514,17782,4952
1,validation,0.7499999999999998,0.48999999999999994,27545,46953,15440
1,validation,0.7499999999999998,0.48999999999999994,1626,2137,5083
1,test,0.7499999999999998,0.48999999999999994,297057,9670,1482
1,test,0.7499999999999998,0.48999999999999994,23668,25243,7009
1,test,0.7499999999999998,0.48999999999999994,828,1217,1858
2,validation,0.7,0.35,232235,19262,17709
2,validation,0.7,0.35,33145,29085,27750
2,validation,0.7,0.35,3137,1365,4344
2,test,0.7,0.35,293156,9119,5976
2,test,0.7,0.35,33186,12020,10672
2,test,0.7,0.35,1758,658,1487
3,validation,0.7,0.29,228868,15817,24492
3,validation,0.7,0.29,37907,19571,32531
3,validation,0.7,0.29,3641,889,4316
3,test,0.7,0.29,293080,6973,8220
3,test,0.7,0.29,37126,6875,11855
3,test,0.7,0.29,2001,408,1494
4,validation,0.5999999999999999,0.32999999999999996,205754,28347,35036
4,validation,0.5999999999999999,0.32999999999999996,28623,26579,34839
4,validation,0.5999999999999999,0.32999999999999996,2738,1478,4638
4,test,0.5999999999999999,0.32999999999999996,280883,14437,12970
4,test,0.5999999999999999,0.32999999999999996,30847,10750,14250
4,test,0.5999999999999999,0.32999999999999996,1683,551,1661
5,validation,0.5999999999999999,0.38999999999999996,202383,36378,30331
5,validation,0.5999999999999999,0.38999999999999996,29588,32022,28476
5,validation,0.5999999999999999,0.38999999999999996,2658,2063,4133
5,test,0.5999999999999999,0.38999999999999996,280394,17043,10892
5,test,0.5999999999999999,0.38999999999999996,31843,12735,11230
5,test,0.5999999999999999,0.38999999999999996,1794,778,1323
6,validation,0.5999999999999999,0.30999999999999994,201668,27282,40128
6,validation,0.5999999999999999,0.30999999999999994,30877,23378,35845
6,validation,0.5999999999999999,0.30999999999999994,2761,1267,4826
6,test,0.5999999999999999,0.30999999999999994,280699,13384,14260
6,test,0.5999999999999999,0.30999999999999994,32482,9312,14000
6,test,0.5999999999999999,0.30999999999999994,1877,451,1567
