model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,2,nearby_rain_rate_now_010mm_100km,286.0,True
lightgbm,2,nearby_rain_rate_now_025mm_100km,186.0,True
lightgbm,2,nearby_humidity_mean_now_100km,1049.0,True
lightgbm,2,nearby_pressure_mean_now_100km,714.0,True
lightgbm,2,nearby_wind_speed_mean_now_100km,966.0,True
lightgbm,2,nearby_precip_mean_lag1_100km,139.0,True
lightgbm,2,nearby_precip_max_lag1_100km,65.0,True
lightgbm,2,nearby_rain_rate_lag1_010mm_100km,96.0,True
lightgbm,2,nearby_rain_rate_lag1_025mm_100km,57.0,True
lightgbm,2,nearby_humidity_mean_lag1_100km,749.0,True
lightgbm,2,nearby_pressure_mean_lag1_100km,701.0,True
lightgbm,2,nearby_wind_speed_mean_lag1_100km,783.0,True
lightgbm,2,nearest_rainy_station_distance_lag1_010mm_km,330.0,True
lightgbm,2,nearest_rainy_station_distance_lag1_025mm_km,189.0,True
lightgbm,2,nearby_precip_mean_now_minus_center,217.0,True
lightgbm,2,nearby_humidity_mean_now_minus_center,784.0,True
lightgbm,2,center_pressure_minus_nearby_mean,1011.0,True
