year,month,precipitation_sum,precipitation_mean,rain_day_share,temp_mean,humidity_mean,cloud_cover_mean,wind_speed_mean,month_name
2021,7,3973.1,5.9123511904761905,1.0,28.071478174603175,82.01599702380952,92.1053447420635,12.138324652777778,Jul
2021,8,13072.0,7.529953917050691,0.9660138248847926,28.080448348694315,80.79068260368663,89.31619623655914,9.480282738095237,Aug
2021,9,22008.0,13.1,0.9863095238095239,26.999836309523808,85.93802083333334,91.72261904761905,7.545677083333333,Sep
2021,10,16086.6,9.26647465437788,0.9308755760368663,26.945346102150538,84.53497023809524,84.89876152073732,7.143970814132104,Oct
2021,11,5703.599999999999,3.3949999999999996,0.736904761904762,26.66790426587302,78.45429067460319,77.35,7.5248735119047625,Nov
2021,12,573.6,0.33041474654377884,0.16705069124423963,25.53262528801843,62.54749903993855,45.14120103686636,8.55811971966206,Dec
2022,1,1078.2,0.6210829493087557,0.31451612903225806,26.656785234254993,68.77916186635944,33.659034178187405,7.384555011520737,Jan
2022,2,6791.8,4.331505102040817,0.6454081632653061,26.608596407312927,75.60249255952381,57.3046343537415,7.961803784013606,Feb
2022,3,5402.099999999999,3.1118087557603684,0.8243087557603687,28.489283314132106,78.73742319508447,61.39597734254993,8.729140264976959,Mar
2022,4,4497.9,2.677321428571428,0.6279761904761905,28.88251736111111,70.76614583333334,63.91698908730159,8.956654265873016,Apr
2022,5,15940.2,9.182142857142857,0.923963133640553,27.618709197388636,81.4517089093702,95.2244383640553,9.28196284562212,May
2022,6,7406.0,4.408333333333333,0.9428571428571428,28.686374007936507,77.7312996031746,95.17271825396824,8.543940972222222,Jun
2022,7,14236.8,8.200921658986175,0.9930875576036866,28.02484639016897,80.9886472734255,93.42953149001535,8.940080165130569,Jul
2022,8,17803.6,10.25552995391705,0.9740783410138248,27.39887432795699,84.00938460061444,94.68365975422428,8.90041762672811,Aug
2022,9,22510.4,13.39904761904762,1.0,26.869925595238094,85.61669146825396,94.04308035714286,7.05265625,Sep
2022,10,11249.4,6.480069124423963,0.6895161290322581,26.504663498463902,78.85099846390169,79.89446524577572,7.39247791858679,Oct
2022,11,8181.9,4.870178571428571,0.65,27.01482142857143,75.40520833333333,77.51934523809524,6.963338293650794,Nov
2022,12,429.2,0.24723502304147466,0.26152073732718895,25.41294162826421,65.75405625960062,60.3919930875576,8.39843990015361,Dec
2023,1,328.3,0.18911290322580646,0.19066820276497695,25.758328533026116,59.227870583717355,62.97215821812596,8.738246447772656,Jan
2023,2,3738.2,2.3840561224489796,0.375,27.164633822278912,67.73756377551021,52.89500956632653,9.217439944727891,Feb
2023,3,1034.2,0.5957373271889401,0.5460829493087558,28.700768049155144,68.94407642089094,39.51759312596006,10.699659178187405,Mar
