date,precipitation_mean,precipitation_max,rain_grid_share,temp_mean,humidity_mean,cloud_cover_mean,wind_speed_mean
2021-07-20,8.535714285714286,13.400000000000002,1.0,27.625148809523807,82.08035714285714,90.27827380952381,15.378645833333334
2021-07-21,1.1446428571428573,2.4000000000000004,1.0,28.05386904761905,80.18898809523809,94.27901785714286,14.867261904761904
2021-07-22,4.885714285714285,8.100000000000001,1.0,28.43965773809524,79.75148809523809,79.77604166666666,14.078199404761905
2021-07-23,2.45,5.1,1.0,27.99032738095238,82.98288690476191,94.609375,10.79702380952381
2021-07-24,12.241071428571429,19.4,1.0,27.22738095238095,88.53050595238095,99.57217261904762,10.520982142857141
2021-07-25,8.505357142857141,9.899999999999999,1.0,27.112053571428568,87.78422619047619,99.82738095238095,10.629761904761905
2021-07-26,0.6839285714285716,2.0000000000000004,1.0,28.182886904761904,80.88095238095238,97.13690476190477,12.246651785714286
2021-07-27,6.85,12.899999999999999,1.0,28.06815476190476,82.21577380952381,86.45014880952381,11.31049107142857
2021-07-28,8.20892857142857,17.0,1.0,28.469494047619047,80.66592261904762,89.83928571428571,11.504389880952383
2021-07-29,5.473214285714286,9.6,1.0,28.379910714285717,80.60788690476191,91.00595238095238,10.951339285714285
2021-07-30,6.642857142857143,15.199999999999998,1.0,28.636830357142856,79.93675595238095,87.20163690476191,11.905282738095238
2021-07-31,5.326785714285714,9.0,1.0,28.672023809523807,78.56622023809523,95.28794642857143,11.469866071428571
2021-08-01,1.8750000000000002,4.5,1.0,28.809747023809525,75.29910714285714,93.57366071428571,12.1515625
2021-08-02,0.9821428571428571,3.3,1.0,28.738095238095237,74.83407738095238,92.80803571428571,11.22157738095238
2021-08-03,4.982142857142857,11.799999999999999,1.0,28.549776785714283,75.85044642857143,87.61458333333334,11.525595238095237
2021-08-04,2.9839285714285713,7.499999999999998,1.0,28.449776785714285,77.28869047619048,77.69196428571429,11.447991071428572
2021-08-05,5.253571428571428,13.199999999999998,1.0,28.491294642857145,77.56845238095238,87.08482142857143,11.995535714285714
2021-08-06,6.160714285714286,9.799999999999999,1.0,28.340104166666666,79.09375,91.00446428571429,10.758482142857144
2021-08-07,2.7767857142857144,7.000000000000001,0.9821428571428571,28.790252976190477,77.46502976190477,97.56398809523809,10.422916666666666
2021-08-08,1.2267857142857144,3.2,1.0,28.96264880952381,76.56994047619048,96.85788690476191,10.91986607142857
2021-08-09,1.367857142857143,3.8,0.9821428571428571,29.401190476190475,74.93377976190477,86.32738095238095,11.271800595238094
2021-08-10,2.455357142857143,5.200000000000001,1.0,29.740104166666665,74.43005952380952,96.42559523809523,11.705505952380951
2021-08-11,12.994642857142855,21.900000000000002,1.0,28.58936011904762,81.89806547619048,99.40178571428571,11.574479166666666
2021-08-12,6.194642857142857,13.399999999999997,1.0,28.17254464285714,82.44419642857143,97.59970238095238,13.566294642857143
2021-08-13,8.801785714285714,15.199999999999998,1.0,28.200148809523807,80.15997023809523,97.23511904761905,11.386607142857143
2021-08-14,6.314285714285714,11.6,1.0,27.633035714285715,82.32663690476191,98.36532738095238,11.205803571428572
2021-08-15,11.80892857142857,20.400000000000002,1.0,26.784151785714283,88.30208333333334,99.41592261904762,12.99092261904762
2021-08-16,11.873214285714285,19.6,1.0,26.966294642857143,84.48065476190477,73.62276785714286,10.275520833333333
2021-08-17,0.26607142857142857,1.1,0.6964285714285714,28.33675595238095,80.21875,49.05729166666667,5.245535714285714
2021-08-18,0.058928571428571434,0.6,0.35714285714285715,29.18578869047619,74.70982142857143,49.498511904761905,7.546875
2021-08-19,2.05,8.1,0.9285714285714286,28.83511904761905,75.62127976190477,82.92485119047619,6.838541666666666
2021-08-20,5.5928571428571425,13.3,1.0,28.93794642857143,79.02678571428571,93.37946428571429,5.986755952380952
2021-08-21,5.975,12.499999999999998,1.0,28.182738095238097,81.58556547619048,79.92261904761905,7.174553571428571
2021-08-22,8.719642857142857,15.799999999999999,1.0,28.348214285714285,82.27157738095238,90.28348214285714,8.481770833333332
2021-08-23,3.705357142857143,8.1,1.0,28.628720238095237,77.96279761904762,87.43675595238095,10.477380952380953
2021-08-24,16.526785714285715,39.1,1.0,28.4109375,78.96354166666666,83.50892857142857,9.787276785714285
2021-08-25,23.24285714285714,41.4,1.0,27.43578869047619,85.10714285714286,98.41145833333334,8.16450892857143
2021-08-26,15.317857142857141,29.199999999999996,1.0,26.63363095238095,88.01934523809523,98.03497023809523,7.816443452380953
2021-08-27,22.289285714285715,51.19999999999999,1.0,25.790922619047617,90.73586309523809,97.77976190476191,6.439583333333333
2021-08-28,5.071428571428571,11.0,1.0,26.29590773809524,87.31994047619048,96.58407738095238,8.161681547619049
2021-08-29,11.049999999999999,16.0,1.0,26.34002976190476,87.28050595238095,97.25,7.7613095238095235
2021-08-30,6.619642857142857,12.3,1.0,27.233779761904763,85.62723214285714,93.17336309523809,4.832142857142856
2021-08-31,18.89107142857143,43.1,1.0,27.27909226190476,87.11607142857143,98.96354166666666,4.753943452380952
2021-09-01,9.823214285714284,20.400000000000002,1.0,26.721875,88.02604166666666,98.44568452380952,3.8970238095238092
2021-09-02,10.571428571428571,16.6,1.0,26.97626488095238,86.49107142857143,97.25520833333334,5.486383928571429
2021-09-03,9.394642857142856,16.7,1.0,26.83675595238095,84.52008928571429,99.38318452380952,8.269717261904763
2021-09-04,7.101785714285714,16.800000000000004,1.0,27.300223214285715,80.94345238095238,91.96205357142857,9.050595238095237
2021-09-05,12.049999999999999,19.800000000000004,1.0,26.602529761904766,86.36830357142857,93.50297619047619,6.229464285714285
2021-09-06,0.7339285714285715,2.6,0.8928571428571429,27.633705357142855,80.76934523809523,81.08407738095238,6.2994047619047615
2021-09-07,26.5125,70.89999999999999,1.0,26.82574404761905,86.59449404761905,99.546875,9.160044642857143
2021-09-08,50.16428571428571,213.29999999999998,1.0,26.156845238095237,89.89806547619048,99.51785714285714,7.253720238095238
2021-09-09,16.001785714285713,24.799999999999994,1.0,26.38110119047619,89.28348214285714,96.22172619047619,8.560267857142858
2021-09-10,14.426785714285714,33.0,1.0,26.656770833333333,88.74851190476191,94.37723214285714,7.007886904761905
2021-09-11,7.439285714285714,15.3,1.0,27.00699404761905,85.97693452380952,89.75818452380952,7.990848214285714
2021-09-12,0.18214285714285716,1.5999999999999999,0.8035714285714286,27.783556547619046,77.16741071428571,98.50892857142857,12.502380952380951
2021-09-13,2.219642857142857,9.0,0.9285714285714286,28.584449404761905,74.796875,75.41369047619048,12.738318452380952
2021-09-14,9.142857142857142,23.700000000000006,1.0,27.759895833333335,80.84895833333334,97.35342261904762,10.539657738095238
2021-09-15,12.9375,21.8,1.0,26.411086309523807,89.22842261904762,98.41964285714286,6.493005952380953
