target,june_rows,roc_deploy_in_sample,roc_oof_reference,op_threshold,flag_rate_at_threshold,base_rate
h1_0.1mm,148274,0.8454682223196945,0.7979272200275696,0.35000000000000003,0.4293335311652751,0.35904474149210247
h3_0.1mm,148274,0.8207041466492865,0.7980868188454903,0.4,0.6187598634959601,0.5222628377193574
h6_0.1mm,148274,0.8289082889531433,0.8009868838968047,0.4,0.8182284149614902,0.6666846513886453
h1_1.0mm,148274,0.8621163004374348,0.8188591621159177,0.25,0.22306675479180435,0.15191469846365513
h3_1.0mm,148274,0.8267169862262731,0.8029008444047651,0.3,0.345374104698059,0.2597690761697938
h6_1.0mm,148274,0.8117082961177906,0.7843103484289161,0.35000000000000003,0.47432456128518824,0.3818538651415622
