model,target_type,feature_set,horizon_h,split,rows,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,rain_threshold,strong_threshold
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,validation,368032,0.8265476915050866,0.6516711554008575,0.6179452052126541,0.6516711554008575,0.6315890930775807,0.8292468712031335,0.7,0.6500000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,test,368032,0.8897324145726458,0.6006448603829616,0.6147801643914362,0.6006448603829616,0.6062845568319847,0.8868329516324198,0.7,0.6500000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,validation,368032,0.7670746022085037,0.5444211508821577,0.5288103425340089,0.5444211508821577,0.5350897853328713,0.7728440398278578,0.6499999999999999,0.6500000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,test,368032,0.8523769672202417,0.488611868327338,0.5258929591699864,0.488611868327338,0.5031596559673184,0.8455671998266322,0.6499999999999999,0.6500000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,validation,368032,0.7451145552560647,0.5095383691777606,0.5006635816977629,0.5095383691777606,0.503470525363203,0.7501948867253029,0.6499999999999999,0.6500000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,test,368032,0.8405193026693331,0.45610689241133756,0.49133003139299336,0.45610689241133756,0.4695820590870581,0.8306479759946354,0.6499999999999999,0.6500000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,validation,368032,0.7252956264672638,0.5006424743543241,0.4796090476079385,0.5006424743543241,0.48721335805424276,0.7346232961367618,0.6499999999999999,0.6000000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,test,368032,0.8333813364055299,0.4525582907748255,0.48091916783808086,0.4525582907748255,0.4622423812097709,0.82228443850113,0.6499999999999999,0.6000000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,validation,368032,0.7142802799756542,0.4973304876769474,0.4731871868954512,0.4973304876769474,0.4814856209958522,0.724788471998439,0.6499999999999999,0.6000000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,5,test,368032,0.8295392791931137,0.4431710122752209,0.4707366295330036,0.4431710122752209,0.4508878675472446,0.8177050789510101,0.6499999999999999,0.6000000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,validation,368032,0.7092725632553691,0.4885532594621696,0.46702011821369793,0.4885532594621696,0.4745525872937355,0.7193372321229389,0.6499999999999999,0.6000000000000001
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,6,test,368032,0.8280122380662551,0.4337341021782728,0.46381833268131206,0.4337341021782728,0.44274088203227907,0.8156739715779036,0.6499999999999999,0.6000000000000001
