model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,rain_threshold,strong_threshold,mean_rain_probability,mean_strong_probability
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,validation,0,no_rain,368032,0.7315885575167377,0.7225377141118163,0.9063429566368453,0.8951301402424531,0.9007016527612979,0.7,0.6500000000000001,0.3892527389906005,0.22459582863976318
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,validation,1,light,368032,0.2443754890879054,0.24369076602034606,0.6654104319514752,0.663545998354422,0.6644769073175076,0.7,0.6500000000000001,0.3892527389906005,0.22459582863976318
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.03377151986783758,0.282082227049642,0.3963373276056975,0.32958871915393656,0.7,0.6500000000000001,0.3892527389906005,0.22459582863976318
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,test,0,no_rain,368032,0.837451634640466,0.8570314537866273,0.9319309481159742,0.9537197161666272,0.9426994471027415,0.7,0.6500000000000001,0.23296631493925465,0.14875542169145675
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,test,1,light,368032,0.15194330927745414,0.1311271845926441,0.6726206510702667,0.5804721030042919,0.6231582180669809,0.7,0.6500000000000001,0.23296631493925465,0.14875542169145675
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,1,test,2,moderate_or_heavy,368032,0.010605056082079818,0.011841361620728632,0.2397888939880679,0.26774276197796565,0.2529960053262317,0.7,0.6500000000000001,0.23296631493925465,0.14875542169145675
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,validation,0,no_rain,368032,0.7314744370054778,0.6885624076167289,0.8804678528725834,0.8288151081328053,0.8538610345203677,0.6499999999999999,0.6500000000000001,0.4205691709291828,0.2894132614439333
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,validation,1,light,368032,0.2444896095991653,0.2868364707416746,0.5470278975039076,0.6417759502111581,0.5906261985732184,0.6499999999999999,0.6500000000000001,0.4205691709291828,0.2894132614439333
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.024601121641596384,0.1589352772255357,0.1626723943025096,0.16078212290502794,0.6499999999999999,0.6500000000000001,0.4205691709291828,0.2894132614439333
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,test,0,no_rain,368032,0.8375657551517259,0.8652807364576993,0.9037497134567013,0.9336547164486084,0.9184588528519136,0.6499999999999999,0.6500000000000001,0.24742773278501864,0.20467270172309687
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,test,1,light,368032,0.15182918876619425,0.12887466307277629,0.5400379506641366,0.458391495758617,0.4958764084098037,0.6499999999999999,0.6500000000000001,0.24742773278501864,0.20467270172309687
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,2,test,2,moderate_or_heavy,368032,0.010605056082079818,0.005844600469524389,0.13389121338912133,0.07378939277478862,0.09514370664023786,0.6499999999999999,0.6500000000000001,0.24742773278501864,0.20467270172309687
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,validation,0,no_rain,368032,0.7313956395096078,0.6911464220502564,0.8614387256058247,0.8140331454767681,0.8370652919255608,0.6499999999999999,0.6500000000000001,0.4299735685234897,0.2960715326096274
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,validation,1,light,368032,0.24456840709503522,0.28784181810277365,0.5107188370227026,0.6010843360108433,0.5522292083452415,0.6499999999999999,0.6500000000000001,0.4299735685234897,0.2960715326096274
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.02101175984696983,0.12983318246476142,0.11349762604567036,0.12111707581880693,0.6499999999999999,0.6500000000000001,0.4299735685234897,0.2960715326096274
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,test,0,no_rain,368032,0.8376255325623859,0.8753858360142597,0.892299096750163,0.9325240939037801,0.9119682508965917,0.6499999999999999,0.6500000000000001,0.2519849803764974,0.2142306290084381
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,test,1,light,368032,0.1517694113555343,0.11869620033040605,0.4962915483930043,0.38814093382984816,0.43560377737592926,0.6499999999999999,0.6500000000000001,0.2519849803764974,0.2142306290084381
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,3,test,2,moderate_or_heavy,368032,0.010605056082079818,0.005917963655334319,0.08539944903581267,0.04765564950038432,0.061174148988653185,0.6499999999999999,0.6500000000000001,0.2519849803764974,0.2142306290084381
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,validation,0,no_rain,368032,0.731286953308408,0.6899861968524477,0.8529399024167411,0.8047685751123034,0.8281543338036301,0.6499999999999999,0.6000000000000001,0.4376038539221769,0.3003966498593773
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,validation,1,light,368032,0.24465535605599514,0.27150356490739935,0.49021236564520326,0.5440077298119745,0.5157109542384569,0.6499999999999999,0.6000000000000001,0.4376038539221769,0.3003966498593773
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.03851023824015303,0.09567487476187117,0.15315111813869436,0.11777478612064099,0.6499999999999999,0.6000000000000001,0.4376038539221769,0.3003966498593773
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,test,0,no_rain,368032,0.8376717241978958,0.8815564950873837,0.8867097561652195,0.9331635797463427,0.9093437811645075,0.6499999999999999,0.6000000000000001,0.25565000290533096,0.2149602245856373
lightgbm_two_stage,exact_hour_3class_two_stage,neighbor_grid,4,test,1,light,368032,0.15174495696026433,0.10637661942439788,0.47701149425287354,0.3343957598438591,0.3931703106413887,0.6499999999999999,0.6000000000000001,0.25565000290533096,0.2149602245856373
