rain_threshold,strong_threshold,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,horizon_h
0.2,0.05,0.33804450620665666,0.050880497108994505,0.9589645037304997,1
0.2,0.1,0.3827327989370286,0.058907679669131185,0.9403120054261813,1
0.2,0.15000000000000002,0.41305822801514686,0.06689511445728548,0.918042052905268,1
0.2,0.2,0.4343515271615758,0.07493439318449778,0.8909111462808049,1
0.2,0.25,0.4512032855144628,0.08349771337263762,0.8565453312231517,1
0.2,0.3,0.46500049195663684,0.09252637110521526,0.8160750621749944,1
0.2,0.35000000000000003,0.4776717162297727,0.10296364654089954,0.7693872936920642,1
0.2,0.4,0.4896204047144474,0.11550421231514625,0.7222473434320597,1
0.2,0.45,0.5017217063096627,0.13113342898134864,0.6716029843997287,1
0.2,0.5,0.5129325679935329,0.14945876147041046,0.6149672168211621,1
0.2,0.55,0.5241570517439196,0.17215082615449795,0.551209586253674,1
0.2,0.6000000000000001,0.5348922748749204,0.20112073836880767,0.48281709247117344,1
0.2,0.6500000000000001,0.5442400433572283,0.24006611570247935,0.410468008139272,1
0.2,0.7000000000000001,0.5464810866522789,0.2842649691665009,0.3230838797196473,1
0.2,0.7500000000000001,0.5428756508594174,0.3504343550237666,0.2416911598462582,1
0.25,0.05,0.349779810911578,0.05365041070710552,0.9502600045218178,1
0.25,0.1,0.39589739960503284,0.06209571143491848,0.9321727334388424,1
0.25,0.15000000000000002,0.427521811659358,0.07051562636785433,0.9105810535835406,1
0.25,0.2,0.4498168432206948,0.0789197481026966,0.8840153741804205,1
0.25,0.25,0.4675282383661043,0.08782868618934192,0.8503278317883789,1
0.25,0.3,0.4819665944041367,0.09713628054972581,0.8109880171829076,1
0.25,0.35000000000000003,0.4951587932631276,0.10785610685197877,0.764978521365589,1
0.25,0.4,0.50755129953321,0.12064841881477545,0.7185168437711961,1
0.25,0.45,0.5199918703294705,0.13646841862609496,0.6692290300700882,1
0.25,0.5,0.5313073584060707,0.15483428962918558,0.6131584897128646,1
0.25,0.55,0.5424186870613387,0.17722072433141442,0.5498530409224508,1
0.25,0.6000000000000001,0.55296998610847,0.2057107027444171,0.48213881980556184,1
0.25,0.6500000000000001,0.562026590523775,0.24422753281723325,0.4101288718064662,1
0.25,0.7000000000000001,0.5638538505829819,0.28733782560595394,0.3229708342753787,1
0.25,0.7500000000000001,0.5598953533762526,0.3522333937695731,0.2415781144019896,1
0.3,0.05,0.35799672095232976,0.055965514231422604,0.9422337779787474,1
0.3,0.1,0.4053360138178655,0.06460529953007148,0.924711734117115,1
0.3,0.15000000000000002,0.43808278642461773,0.07327471600546442,0.903459190594619,1
0.3,0.2,0.46120199037161463,0.0818785008280678,0.8774587384128419,1
0.3,0.25,0.47957922548582294,0.09094120369806448,0.8439972869093375,1
0.3,0.3,0.4945822000412814,0.10044554734645536,0.8053357449694777,1
0.3,0.35000000000000003,0.5081908556155703,0.11134286849423917,0.7603436581505766,1
0.3,0.4,0.5208594757825977,0.12426733802761497,0.7142211168889894,1
0.3,0.45,0.5335156950171405,0.14017378883466253,0.6656115758534931,1
0.3,0.5,0.5448975826335265,0.15857025375939848,0.6103323536061497,1
0.3,0.55,0.5559908817932956,0.1807768366851983,0.5477051774813475,1
0.3,0.6000000000000001,0.5664026968693616,0.20903232154277562,0.4803300926972643,1
0.3,0.6500000000000001,0.5752939416832612,0.2472993299603446,0.40888537191951163,1
0.3,0.7000000000000001,0.5768799122692322,0.28998778998779,0.3221795161654985,1
0.3,0.7500000000000001,0.5726824923227326,0.35402489626556016,0.24112593262491522,1
0.35,0.05,0.3641417541606296,0.05812653385557673,0.9344336423242143,1
0.35,0.1,0.41235253189398496,0.06687265686153339,0.917476825683925,1
0.35,0.15000000000000002,0.4460289262085461,0.0756930655261952,0.8963373276056975,1
0.35,0.2,0.46993056151066,0.08443743082267592,0.871015148089532,1
0.35,0.25,0.48894683800475663,0.0937223584118881,0.8384580601401763,1
0.35,0.3,0.5044135047464559,0.10330940290667133,0.8003617454216595,1
0.35,0.35000000000000003,0.5183993672866736,0.11440533151059466,0.7568392493782501,1
0.35,0.4,0.5313036046738634,0.1274182112832979,0.7110558444494687,1
0.35,0.45,0.5440850625145882,0.14322375656849567,0.6624463034139724,1
0.35,0.5,0.5555373741682982,0.16163073870298547,0.607732308387972,1
0.35,0.55,0.5666663926837506,0.1839027920618596,0.5457834049287814,1
0.35,0.6000000000000001,0.5770948652860352,0.21239159857636974,0.47897354736604114,1
0.35,0.6500000000000001,0.5858489578011473,0.2504684572142411,0.4079810083653629,1
0.35,0.7000000000000001,0.587053463896416,0.29220645691959696,0.32127515261134976,1
0.35,0.7500000000000001,0.5827156499618803,0.35584155106134047,0.24067375084784084,1
0.39999999999999997,0.05,0.3694472712926031,0.0603416537810176,0.926407415781144,1
0.39999999999999997,0.1,0.418459644236335,0.06915629322268327,0.9100158263621976,1
0.39999999999999997,0.15000000000000002,0.45300576529840414,0.07809799988082707,0.8889893737282387,1
0.39999999999999997,0.2,0.4776099225256533,0.08704163157535338,0.8645715577662221,1
0.39999999999999997,0.25,0.49720719978954464,0.09653293515134845,0.8331449242595523,1
0.39999999999999997,0.3,0.5131831199358002,0.10630622471774437,0.7961790639837214,1
0.39999999999999997,0.35000000000000003,0.5275114213332739,0.11754432389521037,0.753221795161655,1
0.39999999999999997,0.4,0.5406797633328525,0.13062424419331972,0.7082297083427538,1
0.39999999999999997,0.45,0.5536808888943647,0.14657400205735505,0.6604114854171377,1
0.39999999999999997,0.5,0.5651693297627669,0.16495447834645668,0.6062627176124802,1
0.39999999999999997,0.55,0.5762711104618611,0.18709702478054843,0.5445399050418268,1
0.39999999999999997,0.6000000000000001,0.5867062095240279,0.21561735941320292,0.47852136558896674,1
0.39999999999999997,0.6500000000000001,0.5953378499960469,0.25358649789029536,0.4076418720325571,1
0.39999999999999997,0.7000000000000001,0.5962959218176666,0.29493039684188654,0.32093601627854396,1
0.39999999999999997,0.7500000000000001,0.5917872802906005,0.35812857623695726,0.24056070540357224,1
0.44999999999999996,0.05,0.3741055362566828,0.06289064617815401,0.9179290074609994,1
0.44999999999999996,0.1,0.4236408369029366,0.07186658622459546,0.9022156907076645,1
0.44999999999999996,0.15000000000000002,0.45916647714045916,0.08103980301094037,0.8817544652950486,1
0.44999999999999996,0.2,0.48451763689657246,0.09017981293749926,0.8577888311101063,1
0.44999999999999996,0.25,0.5046871655142282,0.09991129307403616,0.8276056974903911,1
0.44999999999999996,0.3,0.5211679112742159,0.10988717852155219,0.7916572462129776,1
0.44999999999999996,0.35000000000000003,0.5358615104114336,0.12123761108876129,0.7494912955007913,1
0.44999999999999996,0.4,0.5493287500695835,0.13441068735186382,0.7051774813475017,1
0.44999999999999996,0.45,0.5625213295910473,0.15044042053057113,0.658376667420303,1
0.44999999999999996,0.5,0.5740823201566237,0.16871610543574223,0.6049061722812571,1
0.44999999999999996,0.55,0.5852083038111114,0.1907386115846648,0.5438616323762152,1
0.44999999999999996,0.6000000000000001,0.5955926357878848,0.21905748316934232,0.478182229256161,1
0.44999999999999996,0.6500000000000001,0.6040619513451608,0.2568049023799344,0.4074157811440199,1
0.44999999999999996,0.7000000000000001,0.6047988064666175,0.29779643231899267,0.32082297083427536,1
0.44999999999999996,0.7500000000000001,0.6000243633155843,0.3600812595226003,0.24044765995930364,1
0.49999999999999994,0.05,0.3781627162808067,0.06571790782317098,0.9083201446981687,1
0.49999999999999994,0.1,0.42813168468553503,0.07487558652068818,0.8929459642776396,1
0.49999999999999994,0.15000000000000002,0.4645143129125146,0.08426911114748731,0.8729369206420982,1
