model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,strong_if_rain,1,cloud_cover_lag_1h,321.0,False
lightgbm,strong_if_rain,1,cloud_cover_lag_3h,361.0,False
lightgbm,strong_if_rain,1,cloud_cover_lag_6h,492.0,False
lightgbm,strong_if_rain,1,humidity_lag_1h,518.0,False
lightgbm,strong_if_rain,1,humidity_lag_3h,604.0,False
lightgbm,strong_if_rain,1,humidity_lag_6h,906.0,False
lightgbm,strong_if_rain,1,wind_speed_lag_1h,795.0,False
lightgbm,strong_if_rain,1,wind_speed_lag_3h,863.0,False
lightgbm,strong_if_rain,1,hour_sin,707.0,False
lightgbm,strong_if_rain,1,hour_cos,832.0,False
lightgbm,strong_if_rain,1,month_sin,693.0,False
lightgbm,strong_if_rain,1,month_cos,770.0,False
lightgbm,strong_if_rain,1,grid_row,254.0,False
lightgbm,strong_if_rain,1,grid_column,244.0,False
lightgbm,strong_if_rain,1,latitude,51.0,False
lightgbm,strong_if_rain,1,longitude,44.0,False
lightgbm,strong_if_rain,1,neighbor_count,93.0,True
lightgbm,strong_if_rain,1,neighbor_precipitation_mean,395.0,True
lightgbm,strong_if_rain,1,neighbor_precipitation_max,584.0,True
lightgbm,strong_if_rain,1,neighbor_precipitation_sum,158.0,True
lightgbm,strong_if_rain,1,neighbor_rain_count,142.0,True
lightgbm,strong_if_rain,1,neighbor_rain_rate,243.0,True
lightgbm,strong_if_rain,1,neighbor_cloud_cover_mean,285.0,True
lightgbm,strong_if_rain,1,neighbor_cloud_cover_max,229.0,True
lightgbm,strong_if_rain,1,neighbor_relative_humidity_mean,331.0,True
lightgbm,strong_if_rain,1,neighbor_relative_humidity_max,323.0,True
lightgbm,strong_if_rain,1,neighbor_pressure_msl_mean,757.0,True
lightgbm,strong_if_rain,1,neighbor_pressure_msl_min,875.0,True
lightgbm,strong_if_rain,1,neighbor_pressure_msl_max,603.0,True
lightgbm,strong_if_rain,1,neighbor_temperature_2m_mean,912.0,True
lightgbm,strong_if_rain,1,neighbor_dew_point_2m_mean,1067.0,True
lightgbm,strong_if_rain,1,neighbor_temperature_dew_point_spread_mean,329.0,True
lightgbm,strong_if_rain,1,neighbor_wind_speed_10m_mean,578.0,True
lightgbm,strong_if_rain,1,neighbor_wind_speed_10m_max,957.0,True
lightgbm,strong_if_rain,1,row_minus_precipitation_mean,458.0,True
lightgbm,strong_if_rain,1,row_plus_precipitation_mean,309.0,True
lightgbm,strong_if_rain,1,column_minus_precipitation_mean,343.0,True
lightgbm,strong_if_rain,1,column_plus_precipitation_mean,253.0,True
lightgbm,strong_if_rain,1,row_minus_cloud_cover_mean,247.0,True
lightgbm,strong_if_rain,1,row_plus_cloud_cover_mean,277.0,True
lightgbm,strong_if_rain,1,column_minus_cloud_cover_mean,219.0,True
lightgbm,strong_if_rain,1,column_plus_cloud_cover_mean,285.0,True
lightgbm,strong_if_rain,1,neighbor_precipitation_mean_minus_center,369.0,True
