target,score,rows,base_rate,roc_auc,pr_auc_lift
h1_0.1mm,hw_neg_tbmin_env_lag1,81704,0.26643738372662296,0.7134477156475765,1.8432545304609034
h1_0.1mm,hw_cold235_env_lag1,81704,0.26643738372662296,0.7068881192563017,1.829878352614658
h1_0.1mm,imerg_fresh_persist,81704,0.26643738372662296,0.7617811776989649,2.183322845825717
h1_0.1mm,gauge_idw_persist,81704,0.26643738372662296,0.6866921053859,1.744300917320841
h3_0.1mm,hw_neg_tbmin_env_lag1,81704,0.4135905218838735,0.6965624630151728,1.501808542975132
h3_0.1mm,hw_cold235_env_lag1,81704,0.4135905218838735,0.6855845753737636,1.4747204129997409
h3_0.1mm,imerg_fresh_persist,81704,0.4135905218838735,0.7021406798274741,1.5505084044556787
h3_0.1mm,gauge_idw_persist,81704,0.4135905218838735,0.6518791704160437,1.3745310650757347
h6_0.1mm,hw_neg_tbmin_env_lag1,81704,0.5578062273572897,0.6833309889273924,1.3051693148069572
h6_0.1mm,hw_cold235_env_lag1,81704,0.5578062273572897,0.6703903360735751,1.268905071785858
h6_0.1mm,imerg_fresh_persist,81704,0.5578062273572897,0.6648401517042142,1.2747073774915703
h6_0.1mm,gauge_idw_persist,81704,0.5578062273572897,0.6201848811794914,1.1981798157066657
h1_1.0mm,hw_neg_tbmin_env_lag1,81704,0.05885880740233036,0.7795295551123197,4.72597563812696
h1_1.0mm,hw_cold235_env_lag1,81704,0.05885880740233036,0.7503520658610782,2.7704539621730038
h1_1.0mm,imerg_fresh_persist,81704,0.05885880740233036,0.8297276327652067,6.091564959257445
h1_1.0mm,gauge_idw_persist,81704,0.05885880740233036,0.7763422915323752,4.276073137854567
h3_1.0mm,hw_neg_tbmin_env_lag1,81704,0.10221041809458534,0.7136155624747329,2.846197566412656
h3_1.0mm,hw_cold235_env_lag1,81704,0.10221041809458534,0.6948229313790961,2.010462849588813
h3_1.0mm,imerg_fresh_persist,81704,0.10221041809458534,0.7188325993668687,3.2044884084491607
h3_1.0mm,gauge_idw_persist,81704,0.10221041809458534,0.7014840876305873,2.5969067125865224
h6_1.0mm,hw_neg_tbmin_env_lag1,81704,0.15938020170371095,0.6612823528052159,1.9687981961933108
h6_1.0mm,hw_cold235_env_lag1,81704,0.15938020170371095,0.6512281648511616,1.5729440812096727
h6_1.0mm,imerg_fresh_persist,81704,0.15938020170371095,0.6412724275500268,1.9943109262784837
h6_1.0mm,gauge_idw_persist,81704,0.15938020170371095,0.6197127978706394,1.7101023308054872
