target,base_rate,roc_without,roc_with,pr_lift_without,precision_without,recall_without,f1_without,pr_lift_with,precision_with,recall_with,f1_with
h1_0.1mm,0.32545155993431857,0.7388802617852296,0.7656384832344557,1.622448528533317,0.4688048873615884,0.7743440968718466,0.5840270180278743,1.8544973556161704,0.5608202038924931,0.6106205852674067,0.5846618357487923
h3_0.1mm,0.46970443349753693,0.757336746253018,0.7806617028946709,1.4853218353684654,0.5586374182661885,0.9258870826778535,0.6968361507597185,1.5915187278120027,0.6561398354876615,0.7808075511274253,0.713065687604757
h6_0.1mm,0.5897783251231528,0.7597080920380606,0.7852035925391387,1.358219430795943,0.636706879086472,0.9624834690610427,0.7664126368297076,1.40774594280038,0.7121646411373538,0.8646899143871372,0.7810505799880545
h1_1.0mm,0.08160919540229886,0.7277265978312212,0.7978042805375072,2.265139727681591,0.21216617210682492,0.3596579476861167,0.26689063083240017,4.0285803945807634,0.45554335894621295,0.20875251509054327,0.2863056226284926
h3_1.0mm,0.13485221674876846,0.7018655631207671,0.7358261337435519,1.848800881343999,0.25796121686532647,0.441400304414003,0.3256231753873793,2.5841337689415043,0.40388864339372516,0.27823439878234396,0.3294881038211968
h6_1.0mm,0.19819376026272578,0.6652010769911539,0.6693911344856553,1.5257996810311791,0.26092633315008246,0.7864540182270091,0.39184726522187824,1.8518276314188533,0.3905242500700869,0.2885252692626346,0.3318642048838594
