target,hw_offset0h,hw_tmd_offset0h,tmd_offset0h,imerg_offset0h,imerg_offset6h
h1_0.1mm,0.03473245391145274,0.03621727359193316,0.011542019603335008,0.06392892284432539,0.003152625283418753
h1_1.0mm,0.08044830325704821,0.09343181253616123,0.03847131573454843,0.15269226283339432,0.0041759656112040355
h3_0.1mm,0.015162901052195421,0.016157694813633827,0.0016999127125961744,0.024764197828762602,0.004161925340684269
h3_1.0mm,0.040256788087180195,0.0477239899566273,0.019375250282481882,0.06973289535693072,0.003320156176267186
h6_0.1mm,0.010694922825501219,0.008846720805543162,0.0006884691355295569,0.014408018437047976,0.005026910013802288
h6_1.0mm,0.02738540969880332,0.03164622629647551,0.00913074395552993,0.030921973408901904,0.005395656705965313
