model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,strong_vs_rest,1,temperature_2m,785.0,False
lightgbm,strong_vs_rest,1,relative_humidity_2m,76.0,False
lightgbm,strong_vs_rest,1,pressure_msl,409.0,False
lightgbm,strong_vs_rest,1,surface_pressure,362.0,False
lightgbm,strong_vs_rest,1,dew_point_2m,614.0,False
lightgbm,strong_vs_rest,1,precipitation,257.0,False
lightgbm,strong_vs_rest,1,cloud_cover,156.0,False
lightgbm,strong_vs_rest,1,wind_speed_10m,566.0,False
lightgbm,strong_vs_rest,1,wind_direction_10m,1205.0,False
lightgbm,strong_vs_rest,1,temperature_dew_point_spread,208.0,False
lightgbm,strong_vs_rest,1,pressure_msl_change_3h,1320.0,False
lightgbm,strong_vs_rest,1,pressure_msl_change_6h,1509.0,False
lightgbm,strong_vs_rest,1,precipitation_lag_1h,278.0,False
lightgbm,strong_vs_rest,1,precipitation_lag_2h,191.0,False
lightgbm,strong_vs_rest,1,precipitation_lag_3h,259.0,False
lightgbm,strong_vs_rest,1,precipitation_lag_6h,236.0,False
lightgbm,strong_vs_rest,1,precipitation_sum_past_3h,242.0,False
lightgbm,strong_vs_rest,1,precipitation_sum_past_6h,302.0,False
lightgbm,strong_vs_rest,1,precipitation_sum_past_12h,423.0,False
lightgbm,strong_vs_rest,1,precipitation_sum_past_24h,755.0,False
lightgbm,strong_vs_rest,1,cloud_cover_lag_1h,327.0,False
lightgbm,strong_vs_rest,1,cloud_cover_lag_3h,412.0,False
lightgbm,strong_vs_rest,1,cloud_cover_lag_6h,447.0,False
lightgbm,strong_vs_rest,1,humidity_lag_1h,432.0,False
lightgbm,strong_vs_rest,1,humidity_lag_3h,582.0,False
lightgbm,strong_vs_rest,1,humidity_lag_6h,753.0,False
lightgbm,strong_vs_rest,1,wind_speed_lag_1h,714.0,False
lightgbm,strong_vs_rest,1,wind_speed_lag_3h,779.0,False
lightgbm,strong_vs_rest,1,hour_sin,832.0,False
lightgbm,strong_vs_rest,1,hour_cos,721.0,False
lightgbm,strong_vs_rest,1,month_sin,844.0,False
lightgbm,strong_vs_rest,1,month_cos,797.0,False
lightgbm,strong_vs_rest,1,grid_row,251.0,False
lightgbm,strong_vs_rest,1,grid_column,267.0,False
lightgbm,strong_vs_rest,1,latitude,44.0,False
lightgbm,strong_vs_rest,1,longitude,55.0,False
lightgbm,strong_vs_rest,1,neighbor_count,134.0,True
lightgbm,strong_vs_rest,1,neighbor_precipitation_mean,523.0,True
lightgbm,strong_vs_rest,1,neighbor_precipitation_max,559.0,True
lightgbm,strong_vs_rest,1,neighbor_precipitation_sum,136.0,True
lightgbm,strong_vs_rest,1,neighbor_rain_count,89.0,True
lightgbm,strong_vs_rest,1,neighbor_rain_rate,181.0,True
lightgbm,strong_vs_rest,1,neighbor_cloud_cover_mean,340.0,True
lightgbm,strong_vs_rest,1,neighbor_cloud_cover_max,289.0,True
lightgbm,strong_vs_rest,1,neighbor_relative_humidity_mean,324.0,True
lightgbm,strong_vs_rest,1,neighbor_relative_humidity_max,367.0,True
lightgbm,strong_vs_rest,1,neighbor_pressure_msl_mean,672.0,True
lightgbm,strong_vs_rest,1,neighbor_pressure_msl_min,916.0,True
lightgbm,strong_vs_rest,1,neighbor_pressure_msl_max,584.0,True
lightgbm,strong_vs_rest,1,neighbor_temperature_2m_mean,872.0,True
lightgbm,strong_vs_rest,1,neighbor_dew_point_2m_mean,1191.0,True
lightgbm,strong_vs_rest,1,neighbor_temperature_dew_point_spread_mean,340.0,True
lightgbm,strong_vs_rest,1,neighbor_wind_speed_10m_mean,614.0,True
lightgbm,strong_vs_rest,1,neighbor_wind_speed_10m_max,1039.0,True
lightgbm,strong_vs_rest,1,row_minus_precipitation_mean,363.0,True
lightgbm,strong_vs_rest,1,row_plus_precipitation_mean,209.0,True
lightgbm,strong_vs_rest,1,column_minus_precipitation_mean,298.0,True
lightgbm,strong_vs_rest,1,column_plus_precipitation_mean,200.0,True
lightgbm,strong_vs_rest,1,row_minus_cloud_cover_mean,243.0,True
lightgbm,strong_vs_rest,1,row_plus_cloud_cover_mean,256.0,True
lightgbm,strong_vs_rest,1,column_minus_cloud_cover_mean,237.0,True
lightgbm,strong_vs_rest,1,column_plus_cloud_cover_mean,309.0,True
lightgbm,strong_vs_rest,1,neighbor_precipitation_mean_minus_center,297.0,True
lightgbm,strong_vs_rest,1,neighbor_cloud_cover_mean_minus_center,158.0,True
lightgbm,strong_vs_rest,1,neighbor_relative_humidity_mean_minus_center,256.0,True
lightgbm,strong_vs_rest,1,center_pressure_msl_minus_neighbor_mean,594.0,True
lightgbm,light_vs_no_rain,1,temperature_2m,659.0,False
lightgbm,light_vs_no_rain,1,relative_humidity_2m,96.0,False
lightgbm,light_vs_no_rain,1,pressure_msl,359.0,False
lightgbm,light_vs_no_rain,1,surface_pressure,279.0,False
lightgbm,light_vs_no_rain,1,dew_point_2m,668.0,False
lightgbm,light_vs_no_rain,1,precipitation,297.0,False
lightgbm,light_vs_no_rain,1,cloud_cover,196.0,False
lightgbm,light_vs_no_rain,1,wind_speed_10m,398.0,False
lightgbm,light_vs_no_rain,1,wind_direction_10m,1605.0,False
lightgbm,light_vs_no_rain,1,temperature_dew_point_spread,198.0,False
lightgbm,light_vs_no_rain,1,pressure_msl_change_3h,1390.0,False
