model,target_type,feature_set,horizon_h,split,rows,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,rain_precision,rain_recall,strong_average_precision,strong_threshold,light_threshold
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,validation,368032,0.7131852664985654,0.6713989297119395,0.5319663448029918,0.6713989297119395,0.4991946377089824,0.7528020125819104,0.6397318414947354,0.8346290897311306,0.2815065925229276,0.42999999999999994,0.5999999999999999
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,test,368032,0.8340796452482393,0.684028103984911,0.5286058960758128,0.684028103984911,0.5131040521831606,0.8507460031542436,0.644513871891962,0.748307507146081,0.19130846945247656,0.42999999999999994,0.5999999999999999
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,validation,368032,0.5201803104077907,0.5450911872225159,0.45509074302597624,0.5450911872225159,0.36205425530089724,0.6086373038964282,0.4610627247303236,0.8758120332705968,0.11117701630100978,0.26999999999999996,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,test,368032,0.7264558516650726,0.5872546925709717,0.4459992680474123,0.5872546925709717,0.40424939449343283,0.7749507097853284,0.44708704108677905,0.7421086967431123,0.07605401019557102,0.26999999999999996,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,validation,368032,0.48525128249717414,0.5229310336223884,0.44574350810655566,0.5229310336223884,0.3435456728612758,0.5798634485368505,0.4321221595050087,0.8696778109352081,0.08354744111495231,0.26999999999999996,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,test,368032,0.7042838666202939,0.5696174225898795,0.43152929429700104,0.5696174225898795,0.38606744116056424,0.7568460717571078,0.40838926497635947,0.709683896986228,0.060016497441784,0.26999999999999996,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,validation,368032,0.4579574602208504,0.5079293110878093,0.4358328088157441,0.5079293110878093,0.32512726269804365,0.5556065002247369,0.41544719767717125,0.8695383993124021,0.07362269406646088,0.24999999999999997,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,test,368032,0.6865462785844709,0.5547803778783128,0.42464103373372414,0.5547803778783128,0.3703874111335679,0.7438683129712498,0.388886329927868,0.7066050684610492,0.05041716511758751,0.24999999999999997,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,validation,368032,0.46942657160246937,0.5130678029857036,0.44350644164641073,0.5130678029857036,0.3308302425555725,0.563325709479843,0.4163299755784511,0.8425611481706085,0.06998077520613677,0.26999999999999996,0.5499999999999999
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,test,368032,0.6994120076515086,0.5452572682746796,0.43052394498810526,0.5452572682746796,0.3711257675008764,0.7485322586666121,0.3912544301901862,0.6564159254978812,0.04330195395374839,0.26999999999999996,0.5499999999999999
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,validation,368032,0.45371054690896445,0.510326689779523,0.4321858124295468,0.510326689779523,0.3274943688095034,0.5508914588137387,0.40503158509777254,0.8546496351840249,0.06790744560198188,0.26999999999999996,0.49999999999999994
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,test,368032,0.685445830797322,0.5481015662877785,0.42504480660407,0.5481015662877785,0.37623455360606717,0.7424646365955943,0.3720170231622093,0.6751327715324431,0.04010131549403759,0.26999999999999996,0.49999999999999994
