model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,strong_threshold,light_threshold,mean_strong_probability,mean_light_probability
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,validation,0,no_rain,368032,0.7315885575167377,0.6498157768889662,0.9316922639481838,0.8275530366056573,0.8765403687246878,0.42999999999999994,0.5999999999999999,0.20151293556938626,0.393423539040839
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,validation,1,light,368032,0.2443754890879054,0.15648367533257979,0.5615808025559549,0.3596032822611132,0.438449389611534,0.42999999999999994,0.5999999999999999,0.20151293556938626,0.393423539040839
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.19370054777845405,0.10262596790483672,0.8270404702690481,0.18259415479072552,0.42999999999999994,0.5999999999999999,0.20151293556938626,0.393423539040839
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,test,0,no_rain,368032,0.837451634640466,0.8112745630814712,0.9495704596834966,0.9198887767716063,0.934493987975952,0.42999999999999994,0.5999999999999999,0.09848451361979606,0.23769425821325885
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,test,1,light,368032,0.15194330927745414,0.10258347100252152,0.541902844731684,0.3658619456366238,0.4368127762239255,0.42999999999999994,0.5999999999999999,0.09848451361979606,0.23769425821325885
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,1,test,2,moderate_or_heavy,368032,0.010605056082079818,0.0861419659160073,0.09434438381225752,0.7663335895465027,0.168005392349604,0.42999999999999994,0.5999999999999999,0.09848451361979606,0.23769425821325885
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,validation,0,no_rain,368032,0.7314744370054778,0.48992207199373966,0.9319327591274881,0.6241837106156624,0.7476268761971289,0.26999999999999996,0.49999999999999994,0.2592628092083009,0.4214301091870859
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,validation,1,light,368032,0.2444896095991653,0.11386238153204069,0.3828182794415941,0.17828406312513892,0.2432725480532282,0.26999999999999996,0.49999999999999994,0.2592628092083009,0.4214301091870859
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.39621554647421964,0.05052119050884652,0.8328057879267465,0.0952633416523347,0.26999999999999996,0.49999999999999994,0.2592628092083009,0.4214301091870859
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,test,0,no_rain,368032,0.8375657551517259,0.7303794235283888,0.9426457294003415,0.8220119318347711,0.878205505897195,0.26999999999999996,0.49999999999999994,0.12663407181087033,0.25014776447764225
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,test,1,light,368032,0.15182918876619425,0.08535670811233806,0.3526771503151461,0.19827123375926126,0.2538376941758695,0.26999999999999996,0.49999999999999994,0.12663407181087033,0.25014776447764225
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,2,test,2,moderate_or_heavy,368032,0.010605056082079818,0.1842638683592731,0.04267492442674924,0.7414809121188829,0.0807049834072339,0.26999999999999996,0.49999999999999994,0.12663407181087033,0.25014776447764225
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,validation,0,no_rain,368032,0.7313956395096078,0.45941385531692897,0.9238048486210588,0.5802724601284657,0.7128071264283888,0.26999999999999996,0.49999999999999994,0.27434160529369594,0.43221323130972944
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,validation,1,light,368032,0.24456840709503522,0.11192504999565255,0.3674257137308215,0.1681498516814985,0.23071470491840762,0.26999999999999996,0.49999999999999994,0.27434160529369594,0.43221323130972944
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.4286610946874185,0.04599996196778672,0.820370789057201,0.08711518723703086,0.26999999999999996,0.49999999999999994,0.27434160529369594,0.43221323130972944
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,test,0,no_rain,368032,0.8376255325623859,0.7178316015998609,0.9343301095823002,0.8007058678508984,0.8623724360564443,0.26999999999999996,0.49999999999999994,0.13637253833514706,0.2545393774987686
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,test,1,light,368032,0.1517694113555343,0.08012890183462308,0.32149881315700235,0.16974004583213978,0.2221779579593654,0.26999999999999996,0.49999999999999994,0.13637253833514706,0.2545393774987686
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,3,test,2,moderate_or_heavy,368032,0.010605056082079818,0.20203949656551604,0.03875896015170058,0.7384063540866,0.07365192946588295,0.26999999999999996,0.49999999999999994,0.13637253833514706,0.2545393774987686
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,validation,0,no_rain,368032,0.731286953308408,0.4375787974958699,0.919884751277609,0.5504297068035982,0.6887395973778419,0.24999999999999997,0.49999999999999994,0.2814793702248284,0.43907909224363584
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,validation,1,light,368032,0.24465535605599514,0.10315950786888096,0.3442290470420903,0.14514498950478116,0.2041919582522831,0.24999999999999997,0.49999999999999994,0.2814793702248284,0.43907909224363584
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.45926169463524913,0.04338462812753294,0.8282132369550486,0.08245023246400603,0.24999999999999997,0.49999999999999994,0.2814793702248284,0.43907909224363584
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,test,0,no_rain,368032,0.8376717241978958,0.7050501043387531,0.9324497747426593,0.7848227318433942,0.852290800340278,0.24999999999999997,0.49999999999999994,0.14296564636720085,0.25755671784095524
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,test,1,light,368032,0.15174495696026433,0.06942874532649335,0.3067861615529117,0.14036564184289219,0.19260678878118895,0.24999999999999997,0.49999999999999994,0.14296564636720085,0.25755671784095524
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,4,test,2,moderate_or_heavy,368032,0.01058331884183984,0.2255211503347535,0.034687164905601274,0.7391527599486521,0.06626464427923677,0.24999999999999997,0.49999999999999994,0.14296564636720085,0.25755671784095524
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,validation,0,no_rain,368032,0.731164681332058,0.4559358968785323,0.90716869588019,0.5656875715368721,0.696842004069665,0.26999999999999996,0.5499999999999999,0.29021307208625824,0.4443301147171739
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,validation,1,light,368032,0.244777628032345,0.09477165029127901,0.3790819690931506,0.14677086339719822,0.2116112511503221,0.26999999999999996,0.5499999999999999,0.29021307208625824,0.4443301147171739
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.4492924528301887,0.04426865996589136,0.8267449740230405,0.08403747244673035,0.26999999999999996,0.5499999999999999,0.29021307208625824,0.4443301147171739
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,test,0,no_rain,368032,0.8377776932440657,0.7278361664203112,0.9234209514423203,0.8022404639200335,0.8585759012558227,0.26999999999999996,0.5499999999999999,0.1484591529357344,0.2593720762838408
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,test,1,light,368032,0.15163898791409441,0.05966600730371272,0.33316635548066853,0.13109231651376146,0.18815178674759217,0.26999999999999996,0.5499999999999999,0.1484591529357344,0.2593720762838408
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,5,test,2,moderate_or_heavy,368032,0.01058331884183984,0.212497826275976,0.034984528041326755,0.7024390243902439,0.06664961449921439,0.26999999999999996,0.5499999999999999,0.1484591529357344,0.2593720762838408
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,validation,0,no_rain,368032,0.7311266411616382,0.43265531258151463,0.9096721115863117,0.5383123109284297,0.6763714981473655,0.26999999999999996,0.49999999999999994,0.2919573642258019,0.44688312096189853
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,validation,1,light,368032,0.24481566820276499,0.11735664290061734,0.3425945220068996,0.16422863485016648,0.22202549309405736,0.26999999999999996,0.49999999999999994,0.2919573642258019,0.44688312096189853
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.449988044517868,0.04429080369542902,0.8284391235599728,0.0840861151870873,0.26999999999999996,0.49999999999999994,0.2919573642258019,0.44688312096189853
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,test,0,no_rain,368032,0.8378157334144857,0.7056696156855926,0.9253356641471802,0.7793852949475097,0.8461126798250864,0.26999999999999996,0.49999999999999994,0.15176602280563195,0.2605572385228839
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,test,1,light,368032,0.15160094774367447,0.0794713503173637,0.3153378008752735,0.16530451303007493,0.21690458832106488,0.26999999999999996,0.49999999999999994,0.15176602280563195,0.2605572385228839
lightgbm_strong_first,exact_hour_3class_strong_first_recall_constrained,neighbor_grid,6,test,2,moderate_or_heavy,368032,0.01058331884183984,0.21485903399704373,0.03446095478975656,0.699614890885751,0.06568639267205013,0.26999999999999996,0.49999999999999994,0.15176602280563195,0.2605572385228839
