strong_threshold,light_threshold,meets_recall_constraint,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,moderate_or_heavy_f1,horizon_h
0.01,0.2,True,0.19047118108341468,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.25,True,0.19189920142729547,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.3,True,0.19292100111019528,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.35,True,0.1933297910534915,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.39999999999999997,True,0.19339847869412866,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.44999999999999996,True,0.19336043394551386,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.49999999999999994,True,0.1930919438094835,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.5499999999999999,True,0.1927716471670776,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.5999999999999999,True,0.1925389921716669,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.6499999999999999,True,0.19223318376294432,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.7,True,0.19179029001248846,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.7499999999999998,True,0.1914253327596774,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.01,0.7999999999999998,True,0.19092477389331533,0.03223967014650408,0.9970608184490165,0.06245972339265355,1
0.03,0.2,True,0.2533293480704763,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.25,True,0.256692572991373,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.3,True,0.25908448373086096,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.35,True,0.26025922363584103,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.39999999999999997,True,0.26062152267446614,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.44999999999999996,True,0.26056178509649897,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.49999999999999994,True,0.2596169244040047,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.5499999999999999,True,0.25843221017302415,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.5999999999999999,True,0.2571762053425803,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.6499999999999999,True,0.25554911215960696,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.7,True,0.2540975987609028,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.7499999999999998,True,0.25254320027660393,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.03,0.7999999999999998,True,0.25057440762741434,0.0387241012927218,0.988808501017409,0.07452945136030947,1
0.049999999999999996,0.2,True,0.2868240133225446,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.25,True,0.29152969626838526,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.3,True,0.29474635242330044,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.35,True,0.2965896212332059,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.39999999999999997,True,0.2974099434879914,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.44999999999999996,True,0.2977084405483684,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.49999999999999994,True,0.29660444821937376,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.5499999999999999,True,0.294860436254247,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.5999999999999999,True,0.2928075084119915,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.6499999999999999,True,0.2904628810395754,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.7,True,0.28795300255482953,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.7499999999999998,True,0.28533632755048716,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.049999999999999996,0.7999999999999998,True,0.2820991119282183,0.043669091606211345,0.9785213655889667,0.08360700073407255,1
0.06999999999999999,0.2,True,0.30935108228823965,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.25,True,0.3151850015211785,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.3,True,0.3190904607979514,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.35,True,0.32156466074154155,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.39999999999999997,True,0.32272859928097325,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.44999999999999996,True,0.3234180979779253,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.49999999999999994,True,0.32250829866659775,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.5499999999999999,True,0.32060613237891583,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.5999999999999999,True,0.3182352742468702,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.6499999999999999,True,0.3153766091636986,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.7,True,0.31210814175462837,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.7499999999999998,True,0.3085388645980091,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.06999999999999999,0.7999999999999998,True,0.3040790374994175,0.04787239994181688,0.9673298666063758,0.09122990319416606,1
0.08999999999999998,0.2,True,0.3258552665369735,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
0.08999999999999998,0.25,True,0.33269417122654016,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
0.08999999999999998,0.3,True,0.3373472907337482,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
0.08999999999999998,0.35,True,0.34045945830253155,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
0.08999999999999998,0.39999999999999997,True,0.3420305485624069,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
0.08999999999999998,0.44999999999999996,True,0.3430299133382768,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
0.08999999999999998,0.49999999999999994,True,0.34231131062984854,0.051597216297578276,0.9571557766222021,0.0979160884448145,1
