horizon_h,split,strong_threshold,light_threshold,actual_class,predicted_no_rain,predicted_light,predicted_moderate_or_heavy
1,validation,0.42999999999999994,0.5999999999999999,actual_no_rain,222817,24537,21894
1,validation,0.42999999999999994,0.5999999999999999,actual_light,15518,32342,42078
1,validation,0.42999999999999994,0.5999999999999999,actual_moderate_or_heavy,818,712,7316
1,test,0.42999999999999994,0.5999999999999999,actual_no_rain,283518,16864,7827
1,test,0.42999999999999994,0.5999999999999999,actual_light,14576,20459,20885
1,test,0.42999999999999994,0.5999999999999999,actual_moderate_or_heavy,481,431,2991
2,validation,0.26999999999999996,0.49999999999999994,actual_no_rain,168034,25323,75849
2,validation,0.26999999999999996,0.49999999999999994,actual_light,11334,16042,62604
2,validation,0.26999999999999996,0.49999999999999994,actual_moderate_or_heavy,939,540,7367
2,test,0.26999999999999996,0.49999999999999994,actual_no_rain,253386,19995,34870
2,test,0.26999999999999996,0.49999999999999994,actual_light,14748,11079,30051
2,test,0.26999999999999996,0.49999999999999994,actual_moderate_or_heavy,669,340,2894
3,validation,0.26999999999999996,0.49999999999999994,actual_no_rain,156196,25461,87520
3,validation,0.26999999999999996,0.49999999999999994,actual_light,11890,15135,62984
3,validation,0.26999999999999996,0.49999999999999994,actual_moderate_or_heavy,993,596,7257
3,test,0.26999999999999996,0.49999999999999994,actual_no_rain,246836,19693,41744
3,test,0.26999999999999996,0.49999999999999994,actual_light,16644,9481,29731
3,test,0.26999999999999996,0.49999999999999994,actual_moderate_or_heavy,705,316,2882
4,validation,0.24999999999999997,0.49999999999999994,actual_no_rain,148141,24330,96666
4,validation,0.24999999999999997,0.49999999999999994,actual_light,11948,13069,65024
4,validation,0.24999999999999997,0.49999999999999994,actual_moderate_or_heavy,954,567,7333
4,test,0.24999999999999997,0.49999999999999994,actual_no_rain,241953,17421,48916
4,test,0.24999999999999997,0.49999999999999994,actual_light,16804,7839,31204
4,test,0.24999999999999997,0.49999999999999994,actual_moderate_or_heavy,724,292,2879
5,validation,0.26999999999999996,0.5499999999999999,actual_no_rain,152222,21160,95710
5,validation,0.26999999999999996,0.5499999999999999,actual_light,14540,13222,62324
5,validation,0.26999999999999996,0.5499999999999999,actual_moderate_or_heavy,1037,497,7320
5,test,0.26999999999999996,0.5499999999999999,actual_no_rain,247354,14379,46596
5,test,0.26999999999999996,0.5499999999999999,actual_light,19618,7316,28874
5,test,0.26999999999999996,0.5499999999999999,actual_moderate_or_heavy,895,264,2736
6,validation,0.26999999999999996,0.49999999999999994,actual_no_rain,144848,27823,96407
6,validation,0.26999999999999996,0.49999999999999994,actual_light,13435,14797,61868
6,validation,0.26999999999999996,0.49999999999999994,actual_moderate_or_heavy,948,571,7335
6,test,0.26999999999999996,0.49999999999999994,actual_no_rain,240318,19694,48331
6,test,0.26999999999999996,0.49999999999999994,actual_light,18552,9223,28019
6,test,0.26999999999999996,0.49999999999999994,actual_moderate_or_heavy,839,331,2725
