horizon_h,model,probability_threshold,rain_rate,roc_auc,pr_auc,precision,recall,f1
1,lightgbm,0.5500000000000002,0.162376345254919,0.9107023925504096,0.7001009405255896,0.6562489648547484,0.6631686416281717,0.6596906581422839
2,lightgbm,0.5500000000000002,0.21837971518643332,0.8952092891292741,0.7257915346991561,0.6651016432745617,0.662858565117292,0.6639782097868973
3,hist_gradient_boosting,0.3500000000000001,0.2631699097728014,0.8928724839233725,0.7628671346291617,0.6899373947045487,0.6851067784708167,0.6875136014591127
6,hist_gradient_boosting,0.3500000000000001,0.3644363517773671,0.8869404865009274,0.8187619760757175,0.717806402066534,0.7667153872540977,0.7414552180952141
