model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
lightgbm,baseline,1,validation,368032,0.268713046691592,0.8905761514210169,0.7609810113172404,0.12934251709127564
lightgbm,baseline,1,test,367960,0.162376345254919,0.9107023925504096,0.7001009405255896,0.0901636044141908
lightgbm,baseline,2,validation,368032,0.3494886314233545,0.8759993253956377,0.7968221303391749,0.14740328504520192
lightgbm,baseline,2,test,367960,0.21837971518643332,0.8952092891292741,0.7257915346991561,0.10901009348648502
hist_gradient_boosting,baseline,3,validation,368032,0.41112185896878534,0.875983457319474,0.8339546952198601,0.1410987278754583
hist_gradient_boosting,baseline,3,test,367960,0.2631699097728014,0.8928724839233725,0.7628671346291617,0.1134338423365045
hist_gradient_boosting,baseline,6,validation,368032,0.5388933570993827,0.8737850369954835,0.885706530356085,0.14500323255311803
hist_gradient_boosting,baseline,6,test,367960,0.3644363517773671,0.8869404865009274,0.8187619760757175,0.13280638771436934
