probability_threshold,predicted_rain_rate,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
0.3500000000000001,0.2613273181867594,0.836101750190238,0.6899373947045487,0.6851067784708167,0.6875136014591127,241309,29815,30493,66343,hist_gradient_boosting,baseline,3,test,367960,0.2631699097728014,0.8928724839233725,0.7628671346291617,0.1134338423365045
0.3500000000000001,0.38926785520165236,0.8051337101858898,0.717806402066534,0.7667153872540977,0.7414552180952141,193442,40420,31283,102815,hist_gradient_boosting,baseline,6,test,367960,0.3644363517773671,0.8869404865009274,0.8187619760757175,0.13280638771436934
0.5500000000000002,0.16408848787911728,0.888900967496467,0.6562489648547484,0.6631686416281717,0.6596906581422839,287457,20755,20125,39623,lightgbm,baseline,1,test,367960,0.162376345254919,0.9107023925504096,0.7001009405255896,0.0901636044141908
0.5500000000000002,0.21764322208935755,0.8534867920426134,0.6651016432745617,0.662858565117292,0.6639782097868973,260785,26820,27091,53264,lightgbm,baseline,2,test,367960,0.21837971518643332,0.8952092891292741,0.7257915346991561,0.10901009348648502
