horizon_h,base_rate,roc_auc_V0,roc_auc_V1,pr_auc_V0,pr_auc_V1,f1_V0,f1_V1,roc_auc_delta,pr_auc_delta,f1_delta
1,0.162376345254919,0.9107023925504096,0.9254831512769016,0.7001009405255896,0.7292574635709533,0.6596906581422839,0.6808510638297872,0.014780758726491983,0.029156523045363758,0.021160405687503325
2,0.21837971518643332,0.8952092891292741,0.911800383295692,0.7257915346991561,0.765952130254451,0.6639782097868973,0.6891300826178519,0.016591094166417908,0.04016059555529483,0.025151872830954658
3,0.2631699097728014,0.8928724839233725,0.9024122104716918,0.7628671346291617,0.7813881518742156,0.6875136014591127,0.7038852531765017,0.00953972654831936,0.01852101724505395,0.01637165171738908
6,0.3644363517773671,0.8869404865009274,0.8927994819179894,0.8187619760757175,0.8274396034050104,0.7414552180952141,0.7495026525198939,0.0058589954170620295,0.008677627329292892,0.008047434424679811
