config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill
om_only,h1_0.1mm,1,0.1,calibrated,2453360,0.1778532298561972,0.8499766726229295,0.5505856301512115,3.095730286126297,0.4501338155298103,0.6868941050286704,0.5438639786604729,0.1088730245828628,0.2554237544187159
om_only,h3_0.1mm,3,0.1,calibrated,2453360,0.2746657645025597,0.8522351202535967,0.6749870455282352,2.457485179307611,0.5511896628982377,0.7794537095572631,0.6457430086963685,0.1357597261667251,0.3185590215083043
om_only,h6_0.1mm,6,0.1,calibrated,2453360,0.3730308637949587,0.8615173958903083,0.7740819777823317,2.07511509880806,0.649635772741338,0.8304298940425862,0.7289905820139824,0.1462934017181396,0.3744906435877764
om_only,h1_1.0mm,1,1.0,calibrated,2453360,0.0478095346789708,0.8715588995641261,0.2706728602901979,5.661482842443433,0.2704961365323308,0.4318635224308149,0.3326427218192743,0.040235236287117,0.1161710742971993
om_only,h3_1.0mm,3,1.0,calibrated,2453360,0.0807325463853653,0.8590104447585782,0.343495931858866,4.254739225234354,0.3203249845982568,0.5171508487069967,0.3956086398177025,0.0625068023800849,0.1577582852792121
om_only,h6_1.0mm,6,1.0,calibrated,2453360,0.1241004173867675,0.8444549039855007,0.4143031963420382,3.33845127249519,0.3572272324572363,0.6197994501794963,0.4532306971773056,0.0885677561163902,0.1852055158731795
om_only,h1_0.1mm,1,0.1,raw,2453360,0.1778532298561972,0.8505705052861166,0.5534410876953386,3.111785420724841,0.451434437317013,0.6883677332709963,0.5452751509958373,0.1563128232955932,-0.069014253545073
om_only,h3_0.1mm,3,0.1,raw,2453360,0.2746657645025597,0.8521631269138581,0.6756140625036412,2.4597680155997192,0.5503813196722083,0.7817034550510942,0.6459573554884498,0.1353830397129058,0.3204497853815308
om_only,h6_0.1mm,6,0.1,raw,2453360,0.3730308637949587,0.8614492645015165,0.7743152654492294,2.075740483165065,0.6498466356087732,0.8299261674492094,0.7289290985832769,0.1459634900093078,0.3759012530769304
om_only,h1_1.0mm,1,1.0,raw,2453360,0.0478095346789708,0.872050197860039,0.2728777302833959,5.7076006306211085,0.2603813487386194,0.4576619434924207,0.3319204716546558,0.1232218742370605,-1.7067582243800068
om_only,h3_1.0mm,3,1.0,raw,2453360,0.0807325463853653,0.8592023141123426,0.3446192433834357,4.268653211289095,0.3233735559233253,0.5080579200872436,0.3952039367620289,0.0617461279034614,0.1680079181374091
