target,tmd_offset0h,tmd_offset1h,imerg_offset0h,imerg_offset1h,imerg_offset6h
h1_0.1mm,0.011542019603335008,0.005124595249150099,0.06392892284432539,0.025238523932500923,0.003152625283418753
h1_1.0mm,0.03847131573454843,0.014262889951088487,0.15269226283339432,0.04659922516753179,0.0041759656112040355
h3_0.1mm,0.0016999127125961744,-0.0015630368441995612,0.024764197828762602,0.012339225346588267,0.004161925340684269
h3_1.0mm,0.019375250282481882,0.00461953316294661,0.06973289535693072,0.023208756427110178,0.003320156176267186
h6_0.1mm,0.0006884691355295569,-0.0002319567517772292,0.014408018437047976,0.01007900251456395,0.005026910013802288
h6_1.0mm,0.00913074395552993,0.004186487487379209,0.030921973408901904,0.010359890422289408,0.005395656705965313
