horizon_h,label_source,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1
1,open_meteo,367904,0.16239290684526397,0.9254991433850833,0.7292910324485796,4.490904477394966,0.6741595156447405,0.6877228219934722,0.6808736287409273
1,imerg,367904,0.10050991563016438,0.7602125574998043,0.2679493510091895,2.6658996709850413,0.267708008597634,0.44123532911460867,0.33323461833035484
2,open_meteo,367904,0.21835587544576845,0.911818777063388,0.7659791173159902,3.507939118891404,0.6900278287347286,0.6883013418975776,0.6891635040226339
2,imerg,367904,0.1369107158389145,0.7701551010570303,0.3459109220898185,2.526543813391554,0.31395305304930554,0.4994639666468136,0.3855543550722972
3,open_meteo,367904,0.2631365791075933,0.9024274541412121,0.7814000087925713,2.969560566009587,0.6955206421555775,0.7124544205600719,0.7038856997065952
3,imerg,367904,0.1686472558058624,0.7684533948576789,0.39601222104218925,2.3481687807482445,0.35242926002863884,0.5632756342068788,0.43357814554747787
6,open_meteo,367904,0.3643640732364965,0.8927813723771234,0.8273721442952464,2.270729210336352,0.7252124645892352,0.7753466964065915,0.7494420789634025
6,imerg,367904,0.24624086718274332,0.7671551283342312,0.5069720835085927,2.058846239898726,0.420770594063551,0.6656584945856744,0.5156149133644847
