probability_threshold,predicted_rain_rate,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
0.1,0.7536464220502564,0.5095834057908007,0.35291275787226983,0.989797259719905,0.5203090407988072,89657,179480,1009,97886,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.15000000000000002,0.6448977262846709,0.6102404138770542,0.40615059218093646,0.9747408867991304,0.5733855185909981,128191,140946,2498,96397,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.20000000000000004,0.5681054908268847,0.6783757934092688,0.4534319235128969,0.9586328934728753,0.6156583629893239,154860,114277,4091,94804,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.25000000000000006,0.5194575471698113,0.7181821145987305,0.4873860349309802,0.9421811011679053,0.6424404975316473,171137,98000,5718,93177,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.30000000000000004,0.48546050343448394,0.7440820363446656,0.5131782945736434,0.9271146165124627,0.6606643608589133,182159,86978,7208,91687,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.3500000000000001,0.45496858968785325,0.7655529953917051,0.537657590941395,0.9103291369634461,0.6760357140175266,191721,77416,8868,90027,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.40000000000000013,0.42631618989653075,0.7844127684549169,0.5623079962778366,0.8921077910915618,0.6898155930772147,200464,68673,10670,88225,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.45000000000000007,0.39463687940179115,0.8028051908529693,0.5906127142158787,0.8673845998281005,0.7027288292495105,209678,59459,13115,85780,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.5000000000000001,0.360414311798974,0.8205726675941223,0.6238653840354633,0.8367662672531473,0.7147996665788485,219245,49892,16143,82752,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.5500000000000002,0.3253195374315277,0.8361474002260673,0.6611653080315382,0.8004449163253956,0.724169003261322,228569,40568,19735,79160,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.6000000000000002,0.2933413398834884,0.8463666202938875,0.6961531692587001,0.7599575307143941,0.7266574492153887,236334,32803,23739,75156,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.6500000000000001,0.2596567689766107,0.8527329145291713,0.733858646742429,0.7091258405379443,0.7212802830445806,243704,25433,28766,70129,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.7000000000000002,0.219768933136249,0.8526840057386315,0.7761924779308128,0.6348147024622074,0.6984208213508958,251035,18102,36115,62780,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.7500000000000002,0.16867826710720807,0.8429049647856708,0.8308606775238003,0.5215531624450175,0.6408364083640836,258637,10500,47316,51579,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.8000000000000002,0.12005477784540475,0.8223279497435005,0.8791644034039471,0.3927903331816573,0.5429867415903102,263798,5339,60050,38845,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.8500000000000002,0.0,0.731286953308408,0.0,0.0,0.0,269137,0,98895,0,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.9000000000000002,0.0,0.731286953308408,0.0,0.0,0.0,269137,0,98895,0,lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
0.1,0.5215132079573866,0.6318295466898576,0.3026952099053654,0.9721831693111066,0.46165217529525837,174402,133810,1662,58086,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.15000000000000002,0.42445918034568975,0.7214751603435156,0.3631806074886032,0.949370690232309,0.5253783598540281,208751,99461,3025,56723,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.20000000000000004,0.3674013479726057,0.7714235242961192,0.40990761082632465,0.9274787440583785,0.5685426573713559,228438,79774,4333,55415,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.25000000000000006,0.32994890748994454,0.8017991085987607,0.445711979441223,0.905687219655888,0.5974187992669302,240917,67295,5635,54113,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.30000000000000004,0.3022937275790847,0.8227144254810306,0.475339830264672,0.8849333868916114,0.6184699964908177,249853,58359,6875,52873,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.3500000000000001,0.27954668985759323,0.8388737906294162,0.5022360055219615,0.8646481890607217,0.6353975770247833,257011,51201,8087,51661,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.40000000000000013,0.2574926622458963,0.8536335471246874,0.5310880555584874,0.8421871861819642,0.6513997216738405,263784,44428,9429,50319,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.45000000000000007,0.2335389716273508,0.8677818241113164,0.5645677446382646,0.8119937069023231,0.6660443022768927,270794,37418,11233,48515,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.5000000000000001,0.2100989237960648,0.8798075877812805,0.6003906452113623,0.7768460868983063,0.6773143824422134,277319,30893,13333,46415,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.5500000000000002,0.1866344167844331,0.8894281987172519,0.638786149052043,0.7342170449220058,0.6831851240441669,283406,24806,15880,43868,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.6000000000000002,0.16563756930101098,0.8953147081204479,0.6741484544201615,0.6876882908214501,0.6808510638297872,288352,19860,18660,41088,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.6500000000000001,0.1437085552777476,0.8984971192520926,0.7117948523988729,0.629962509205329,0.6683832473563177,292972,15240,22109,37639,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.7000000000000002,0.11859713012283944,0.8984590716382216,0.7564792960425307,0.5525205864631452,0.6386102701500188,297585,10627,26736,33012,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.7500000000000002,0.0900532666594195,0.8924720078269377,0.8045328343795268,0.4461906674700408,0.5740278196460101,301735,6477,33089,26659,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.8000000000000002,0.05802804652679639,0.8783291662137189,0.8507399775196703,0.30402691303474594,0.44796547472256476,305025,3187,41583,18165,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.8500000000000002,0.0,0.8376236547450809,0.0,0.0,0.0,308212,0,59748,0,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.9000000000000002,0.0,0.8376236547450809,0.0,0.0,0.0,308212,0,59748,0,lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
0.1,0.723977806277715,0.6122130684288323,0.47355008688407074,0.9809754087527114,0.6387526261168907,99138,140271,2447,126176,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.15000000000000002,0.6703656203808365,0.6563641205112599,0.5043653431475867,0.9674397269539663,0.6630539325782826,117128,122281,4188,124435,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.20000000000000004,0.6236577254151813,0.6914915007390662,0.5328546657023605,0.9508719280377538,0.6829783134952213,132187,107222,6319,122304,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.25000000000000006,0.581261955482132,0.7209590470393878,0.5605989070833898,0.932376013621203,0.7001979296211311,145411,93998,8698,119925,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.30000000000000004,0.5441646378575776,0.744753173637075,0.5865930993159235,0.9133436477146389,0.7143782324342567,156616,82793,11146,117477,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.3500000000000001,0.5117544126597687,0.7638330362577167,0.610718798780941,0.894272408511697,0.725783603867935,166091,73318,13599,115024,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.40000000000000013,0.4826971567689766,0.7785708851404226,0.6326499594704134,0.8737861813206036,0.7339186537412945,174150,65259,16234,112389,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.45000000000000007,0.45524573950091296,0.7910399095730806,0.6543436091796234,0.8523514456978923,0.7403365657329624,181496,57913,18991,109632,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.5000000000000001,0.4276829188766194,0.8013270585166508,0.6763171771462697,0.8276358038608957,0.7443641093055128,188461,50948,22170,106453,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.5500000000000002,0.4004407225458656,0.8096687244587427,0.6987277353689567,0.8005955389005077,0.7462010594279669,195009,44400,25648,102975,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.6000000000000002,0.3729675680375619,0.8162306538561864,0.7221631309010375,0.7706786500081634,0.7456325431480291,201272,38137,29496,99127,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.6500000000000001,0.34401628119293975,0.820863403182332,0.7475929831212631,0.7358870497500447,0.7416938314944834,207452,31957,33971,94652,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.7000000000000002,0.3134265498652291,0.8225317363707504,0.7744189473866719,0.694510313085529,0.7322911457778288,213388,26021,39293,89330,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.7500000000000002,0.2821222067646292,0.8204694157029824,0.8012135221034383,0.6467739051336076,0.7157575940082511,218769,20640,45433,83190,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.8000000000000002,0.24816320319972177,0.8148775106512477,0.8311654184732624,0.5901899349261018,0.6902502784660499,223989,15420,52711,75912,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.8500000000000002,0.21096806799408746,0.8041202938874881,0.8640572878430767,0.5215863414785847,0.6504998400124111,228854,10555,61535,67088,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.9000000000000002,0.16762129380053908,0.7846899182679767,0.9002431512400714,0.43177347752734735,0.58362802330897,233255,6154,73087,55536,lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
0.1,0.49401565387542123,0.701312642678552,0.4187195370176809,0.9472217036898761,0.5807281036725631,181941,105664,4241,76114,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.15000000000000002,0.4353000326122405,0.7486465920208718,0.4621253269901919,0.9211623421069006,0.61547927891971,201452,86153,6335,74020,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.20000000000000004,0.3917599739102076,0.7809680400043483,0.4991675453687774,0.8954763238130795,0.641013420516955,215409,72196,8399,71956,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.25000000000000006,0.35755516904011303,0.8039651049027068,0.5312466746727879,0.8698151950718686,0.6596231614611106,225933,61672,10461,69894,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.30000000000000004,0.3288618328079139,0.8211300141319708,0.5600704085680286,0.843419824528654,0.6731425336332891,234370,53235,12582,67773,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.3500000000000001,0.3037150777258398,0.8345200565278834,0.5870878260480515,0.8165017733806235,0.6830461714642653,241460,46145,14745,65610,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.40000000000000013,0.28110120665289706,0.844752146972497,0.612293829881857,0.7881525729575011,0.6891816158747259,247503,40102,17023,63332,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.45000000000000007,0.25978910751168605,0.8527910642461137,0.6369779897899406,0.7577624292203348,0.6921402467788595,252903,34702,19465,60890,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.5000000000000001,0.2386590933797152,0.8594955973475378,0.6631517815457144,0.7247339929064776,0.6925766477178127,258024,29581,22119,58236,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
0.5500000000000002,0.21780356560495706,0.8644037395369062,0.6900415507280736,0.6882210192271794,0.6891300826178519,262764,24841,25053,55302,lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
