model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.9069826908983433,0.7910642174506395,0.12266697586334308
lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9254831512769015,0.7292574635709533,0.08582195310649741
lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8946596945469187,0.8302214577685362,0.13637555923318317
lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9118003832956919,0.765952130254451,0.09827150322362228
hist_gradient_boosting,neighbor_grid,3,validation,368032,0.41112185896878534,0.886220575600812,0.8484160933227085,0.13510778003317855
hist_gradient_boosting,neighbor_grid,3,test,367960,0.2631699097728014,0.9024122104716918,0.7813881518742156,0.10841320214893253
hist_gradient_boosting,neighbor_grid,6,validation,368032,0.5388933570993827,0.881102914424364,0.8932005891515289,0.14073013637142887
hist_gradient_boosting,neighbor_grid,6,test,367960,0.3644363517773671,0.8927994819179894,0.8274396034050104,0.12945470082469834
