horizon_h,V1_headline_roc_auc,CV_mean_roc_auc,CV_worst_month_roc_auc,CV_worst_month,V1_headline_f1,CV_mean_f1,CV_worst_month_f1,f1_spread,best_threshold_min,best_threshold_max
1,0.9141829200566196,0.9382605753440916,0.9088145341650034,2025-09,0.7871383951444448,0.714179142440554,0.5332174668694329,0.290196151426114,0.45000000000000007,0.8500000000000002
2,0.891709719568178,0.920993639591608,0.8839806966752958,2026-05,0.7981177175354554,0.7139478254104482,0.49742770977470285,0.33861883253288794,0.30000000000000004,0.8000000000000002
3,0.8790831391647376,0.9090159593379057,0.8681409615416879,2026-05,0.8149787955746219,0.7292780716562431,0.5255743651753325,0.33443424383627696,0.20000000000000004,0.5000000000000001
6,0.861990098961519,0.8930010937821987,0.8459501431408667,2026-05,0.8564707196358889,0.7585789585663624,0.5694056493830815,0.32057542061888034,0.25000000000000006,0.5500000000000002
