target,0,1,2,3,4,5,6
h1_0.1mm,0.06392892284432539,0.025238523932500923,0.012670869473497937,0.006469371545249736,0.004551607076709541,0.0029199924900851215,0.003152625283418753
h1_1.0mm,0.15269226283339432,0.04659922516753179,0.014880225052797513,0.005939558871290718,0.005494257335199315,0.006498119574392003,0.0041759656112040355
h3_0.1mm,0.024764197828762602,0.012339225346588267,0.00837787464172357,0.0051831054425113265,0.004349812280056153,0.004228010357297585,0.004161925340684269
h3_1.0mm,0.06973289535693072,0.023208756427110178,0.0072795173699592985,0.005661391099055002,0.0033476616192287256,0.0027035503962765106,0.003320156176267186
h6_0.1mm,0.014408018437047976,0.01007900251456395,0.008011655382108351,0.006189471533861068,0.006233415526263997,0.005190563884343358,0.005026910013802288
h6_1.0mm,0.030921973408901904,0.010359890422289408,0.0029767476493011147,0.006013308120010941,0.004548887366337628,0.005317927704352743,0.005395656705965313
