config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill
offset1h,h1_0.1mm,1,0.1,calibrated,2453360,0.17785322985619723,0.8686870700437487,0.6038702393646115,3.395329057857815,0.5030283301073377,0.6551595322891887,0.5691025025929738,0.10216180235147476,0.3013214106237695
offset1h,h3_0.1mm,3,0.1,calibrated,2453360,0.27466576450255975,0.8653187986935196,0.7034174723409943,2.560994354774924,0.5732528273291597,0.7723779928589872,0.6580822340429567,0.12987254559993744,0.3481095089707076
offset1h,h6_0.1mm,6,0.1,calibrated,2453360,0.37303086379495876,0.8730500387492214,0.7917775717651491,2.122552444347768,0.6611373855910465,0.8378295393578743,0.7390695845285463,0.14019551873207092,0.4005634726921389
offset1h,h1_1.0mm,1,1.0,calibrated,2453360,0.04780953467897088,0.8922584389296117,0.3440014691483541,7.1952482168721845,0.33602111609905083,0.43522260303169813,0.37924194698680613,0.037691496312618256,0.17204824009498942
offset1h,h3_1.0mm,3,1.0,calibrated,2453360,0.08073254638536538,0.8700812572852079,0.38555065919339143,4.775653394518487,0.3378514802427846,0.5508214433572648,0.41881739624481273,0.06036936864256859,0.18655892437191735
offset1h,h6_1.0mm,6,1.0,calibrated,2453360,0.12410041738676754,0.8512471404326193,0.4384404112269577,3.5329487237784853,0.37225882212447503,0.6143078140857838,0.463590587599595,0.08676893264055252,0.20175410545361683
offset1h,h1_0.1mm,1,0.1,raw,2453360,0.17785322985619723,0.8690877061069207,0.6059729038707121,3.407151528036179,0.5108895832657577,0.6497485893962937,0.5720125253210017,0.14748059213161469,-0.008611141338191963
offset1h,h3_0.1mm,3,0.1,raw,2453360,0.27466576450255975,0.8653198383158902,0.70432889089308,2.5643126371015783,0.5661635191841708,0.7846684890198767,0.6577437763368631,0.1295633167028427,0.3496616721060055
offset1h,h6_0.1mm,6,0.1,raw,2453360,0.37303086379495876,0.8730102242045351,0.792156091014613,2.123567157301043,0.6562423697775366,0.8457919161169564,0.7390570196481691,0.13987712562084198,0.4019248319041874
offset1h,h1_1.0mm,1,1.0,raw,2453360,0.04780953467897088,0.8926424172540142,0.346472268993146,7.246928281557664,0.34394338911908734,0.43593022661005676,0.3845118402153723,0.11218971014022827,-1.4644197509011687
offset1h,h3_1.0mm,3,1.0,raw,2453360,0.08073254638536538,0.8702522482264958,0.38619408818851164,4.783623278089964,0.34487591641510174,0.532958710732786,0.41876822374293365,0.05977170169353485,0.19461212845241427
offset1h,h6_1.0mm,6,1.0,raw,2453360,0.12410041738676754,0.8512300721717427,0.43960617342880565,3.5423424246732593,0.3590528890378431,0.6615253741833983,0.4654666973264726,0.0859590470790863,0.20920478860504987
offset2h,h1_0.1mm,1,0.1,calibrated,2453360,0.17785322985619723,0.85983778176313,0.5738639372090243,3.2266152134151316,0.4609076154074101,0.7022308393951477,0.5565348481339708,0.10589081048965454,0.27581894212979696
offset2h,h3_0.1mm,3,0.1,calibrated,2453360,0.27466576450255975,0.8606875098467656,0.6896847127276098,2.5109962793385643,0.5578989485106433,0.7904516408598895,0.654120883338092,0.13235557079315186,0.3356460548590987
offset2h,h6_0.1mm,6,0.1,calibrated,2453360,0.37303086379495876,0.8700297420137194,0.785156907183544,2.104804141930507,0.6610322244871406,0.83270158078365,0.7370022373960907,0.14190059900283813,0.393273029990877
offset2h,h1_1.0mm,1,1.0,calibrated,2453360,0.04780953467897088,0.87943152369167,0.29350177126292215,6.138979875744733,0.2867022426146659,0.4410967312906031,0.3475229468720718,0.03951122239232063,0.13207515444887152
offset2h,h3_1.0mm,3,1.0,calibrated,2453360,0.08073254638536538,0.8630962967994747,0.35460216895539265,4.392307499663759,0.3286417005920065,0.5204729736552463,0.4028881571876618,0.06198509410023689,0.16478799179869474
offset2h,h6_1.0mm,6,1.0,calibrated,2453360,0.12410041738676754,0.8471766889018633,0.4238521619146157,3.41539674756815,0.364614168956611,0.6092562971526918,0.4562074448266067,0.08787602931261063,0.19156917697239073
offset2h,h1_0.1mm,1,0.1,raw,2453360,0.17785322985619723,0.8602839773423611,0.5763644142852585,3.240674429985199,0.46141077211624865,0.7013805811091401,0.5566339216046475,0.1522855907678604,-0.04147224589835852
offset2h,h3_0.1mm,3,0.1,raw,2453360,0.27466576450255975,0.8606269485228191,0.6904038976642833,2.5136146796986383,0.5555783520419952,0.7956723563264446,0.6542950671633367,0.13197077810764313,0.33757750766571004
offset2h,h6_0.1mm,6,0.1,raw,2453360,0.37303086379495876,0.8700064797708464,0.7855060134943994,2.1057400063447913,0.6527738871882794,0.8453701407047146,0.7366922573349997,0.1415308713912964,0.39485388105884855
offset2h,h1_1.0mm,1,1.0,raw,2453360,0.04780953467897088,0.8798385430713564,0.2957718804541679,6.186462228511581,0.27549,0.4697426978362065,0.34729935012953284,0.11822816729545593,-1.5970637612984957
offset2h,h3_1.0mm,3,1.0,raw,2453360,0.08073254638536538,0.8633022693207867,0.35566227500961994,4.405438586216722,0.3314055232085353,0.5143941918350449,0.40310506908066535,0.061203308403491974,0.1753220857004556
offset2h,h6_1.0mm,6,1.0,raw,2453360,0.12410041738676754,0.8472015833662625,0.42474729337209943,3.4226097084616978,0.3558922428786766,0.6351116556034724,0.456166341903005,0.08695448189973831,0.20004711275618725
