config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill
offset1h,h1_0.1mm,1,0.1,calibrated,2453360,0.1778532298561972,0.8686870700437487,0.6038702393646115,3.395329057857815,0.5030283301073377,0.6551595322891887,0.5691025025929738,0.1021618023514747,0.3013214106237695
offset1h,h3_0.1mm,3,0.1,calibrated,2453360,0.2746657645025597,0.8653187986935196,0.7034174723409943,2.560994354774924,0.5732528273291597,0.7723779928589872,0.6580822340429567,0.1298725455999374,0.3481095089707076
offset1h,h6_0.1mm,6,0.1,calibrated,2453360,0.3730308637949587,0.8730500387492214,0.7917775717651491,2.122552444347768,0.6611373855910465,0.8378295393578743,0.7390695845285463,0.1401955187320709,0.4005634726921389
offset1h,h1_1.0mm,1,1.0,calibrated,2453360,0.0478095346789708,0.8922584389296117,0.3440014691483541,7.1952482168721845,0.3360211160990508,0.4352226030316981,0.3792419469868061,0.0376914963126182,0.1720482400949894
offset1h,h3_1.0mm,3,1.0,calibrated,2453360,0.0807325463853653,0.8700812572852079,0.3855506591933914,4.775653394518487,0.3378514802427846,0.5508214433572648,0.4188173962448127,0.0603693686425685,0.1865589243719173
offset1h,h6_1.0mm,6,1.0,calibrated,2453360,0.1241004173867675,0.8512471404326193,0.4384404112269577,3.5329487237784853,0.372258822124475,0.6143078140857838,0.463590587599595,0.0867689326405525,0.2017541054536168
offset1h,h1_0.1mm,1,0.1,raw,2453360,0.1778532298561972,0.8690877061069207,0.6059729038707121,3.407151528036179,0.5108895832657577,0.6497485893962937,0.5720125253210017,0.1474805921316146,-0.0086111413381919
offset1h,h3_0.1mm,3,0.1,raw,2453360,0.2746657645025597,0.8653198383158902,0.70432889089308,2.5643126371015783,0.5661635191841708,0.7846684890198767,0.6577437763368631,0.1295633167028427,0.3496616721060055
offset1h,h6_0.1mm,6,0.1,raw,2453360,0.3730308637949587,0.8730102242045351,0.792156091014613,2.123567157301043,0.6562423697775366,0.8457919161169564,0.7390570196481691,0.1398771256208419,0.4019248319041874
offset1h,h1_1.0mm,1,1.0,raw,2453360,0.0478095346789708,0.8926424172540142,0.346472268993146,7.246928281557664,0.3439433891190873,0.4359302266100567,0.3845118402153723,0.1121897101402282,-1.4644197509011687
offset1h,h3_1.0mm,3,1.0,raw,2453360,0.0807325463853653,0.8702522482264958,0.3861940881885116,4.783623278089964,0.3448759164151017,0.532958710732786,0.4187682237429336,0.0597717016935348,0.1946121284524142
offset1h,h6_1.0mm,6,1.0,raw,2453360,0.1241004173867675,0.8512300721717427,0.4396061734288056,3.5423424246732598,0.3590528890378431,0.6615253741833983,0.4654666973264726,0.0859590470790863,0.2092047886050498
offset2h,h1_0.1mm,1,0.1,calibrated,2453360,0.1778532298561972,0.85983778176313,0.5738639372090243,3.226615213415132,0.4609076154074101,0.7022308393951477,0.5565348481339708,0.1058908104896545,0.2758189421297969
offset2h,h3_0.1mm,3,0.1,calibrated,2453360,0.2746657645025597,0.8606875098467656,0.6896847127276098,2.5109962793385643,0.5578989485106433,0.7904516408598895,0.654120883338092,0.1323555707931518,0.3356460548590987
offset2h,h6_0.1mm,6,0.1,calibrated,2453360,0.3730308637949587,0.8700297420137194,0.785156907183544,2.104804141930507,0.6610322244871406,0.83270158078365,0.7370022373960907,0.1419005990028381,0.393273029990877
offset2h,h1_1.0mm,1,1.0,calibrated,2453360,0.0478095346789708,0.87943152369167,0.2935017712629221,6.138979875744733,0.2867022426146659,0.4410967312906031,0.3475229468720718,0.0395112223923206,0.1320751544488715
offset2h,h3_1.0mm,3,1.0,calibrated,2453360,0.0807325463853653,0.8630962967994747,0.3546021689553926,4.392307499663759,0.3286417005920065,0.5204729736552463,0.4028881571876618,0.0619850941002368,0.1647879917986947
