config,fold,target,model,train_rows,fit_seconds
offset3h,2022,h3_1.0mm,hist_gradient_boosting,1960112,47.313671827316284
offset3h,2022,h6_1.0mm,hist_gradient_boosting,1960112,48.044065952301025
offset3h,2023,h1_0.1mm,lightgbm,1960112,57.64277410507202
offset3h,2023,h3_0.1mm,hist_gradient_boosting,1960112,53.30997681617737
offset3h,2023,h6_0.1mm,hist_gradient_boosting,1960112,53.643309354782104
offset3h,2023,h1_1.0mm,lightgbm,1960112,51.45403718948364
offset3h,2023,h3_1.0mm,hist_gradient_boosting,1960112,45.45967650413513
offset3h,2023,h6_1.0mm,hist_gradient_boosting,1960112,47.306711196899414
offset3h,2024,h1_0.1mm,lightgbm,1958768,57.072696685791016
offset3h,2024,h3_0.1mm,hist_gradient_boosting,1958768,53.898210287094116
offset3h,2024,h6_0.1mm,hist_gradient_boosting,1958768,54.2174346446991
offset3h,2024,h1_1.0mm,lightgbm,1958768,53.80362558364868
offset3h,2024,h3_1.0mm,hist_gradient_boosting,1958768,46.38115310668945
offset3h,2024,h6_1.0mm,hist_gradient_boosting,1958768,47.43381452560425
offset3h,2025,h1_0.1mm,lightgbm,1960112,58.43046283721924
offset3h,2025,h3_0.1mm,hist_gradient_boosting,1960112,53.97016143798828
offset3h,2025,h6_0.1mm,hist_gradient_boosting,1960112,55.10177755355835
offset3h,2025,h1_1.0mm,lightgbm,1960112,52.75487422943115
offset3h,2025,h3_1.0mm,hist_gradient_boosting,1960112,46.51902747154236
offset3h,2025,h6_1.0mm,hist_gradient_boosting,1960112,47.65107011795044
offset3h,2026,h1_0.1mm,lightgbm,2183608,64.81567621231079
offset3h,2026,h3_0.1mm,hist_gradient_boosting,2183608,58.4695508480072
offset3h,2026,h6_0.1mm,hist_gradient_boosting,2183608,58.81684875488281
offset3h,2026,h1_1.0mm,lightgbm,2183608,62.21607828140259
offset3h,2026,h3_1.0mm,hist_gradient_boosting,2183608,49.50211572647095
offset3h,2026,h6_1.0mm,hist_gradient_boosting,2183608,51.80974626541138
offset4h,2021,h1_0.1mm,lightgbm,2230648,65.82541918754578
offset4h,2021,h3_0.1mm,hist_gradient_boosting,2230648,58.29984450340271
offset4h,2021,h6_0.1mm,hist_gradient_boosting,2230648,60.29553842544556
offset4h,2021,h1_1.0mm,lightgbm,2230648,59.989763021469116
offset4h,2021,h3_1.0mm,hist_gradient_boosting,2230648,51.21604371070862
offset4h,2021,h6_1.0mm,hist_gradient_boosting,2230648,52.257962703704834
offset4h,2022,h1_0.1mm,lightgbm,1960112,58.04962134361267
offset4h,2022,h3_0.1mm,hist_gradient_boosting,1960112,52.5163676738739
offset4h,2022,h6_0.1mm,hist_gradient_boosting,1960112,55.022886753082275
offset4h,2022,h1_1.0mm,lightgbm,1960112,51.66220283508301
offset4h,2022,h3_1.0mm,hist_gradient_boosting,1960112,47.223726749420166
offset4h,2022,h6_1.0mm,hist_gradient_boosting,1960112,47.39363169670105
offset4h,2023,h1_0.1mm,lightgbm,1960112,56.101011991500854
offset4h,2023,h3_0.1mm,hist_gradient_boosting,1960112,55.059027433395386
offset4h,2023,h6_0.1mm,hist_gradient_boosting,1960112,54.641573429107666
offset4h,2023,h1_1.0mm,lightgbm,1960112,58.39661145210266
offset4h,2023,h3_1.0mm,hist_gradient_boosting,1960112,46.442946672439575
offset4h,2023,h6_1.0mm,hist_gradient_boosting,1960112,49.40459489822388
offset4h,2024,h1_0.1mm,lightgbm,1958768,63.56420588493347
offset4h,2024,h3_0.1mm,hist_gradient_boosting,1958768,55.85414385795593
offset4h,2024,h6_0.1mm,hist_gradient_boosting,1958768,56.706679821014404
offset4h,2024,h1_1.0mm,lightgbm,1958768,57.94577074050903
offset4h,2024,h3_1.0mm,hist_gradient_boosting,1958768,47.64469933509827
offset4h,2024,h6_1.0mm,hist_gradient_boosting,1958768,50.115655183792114
offset4h,2025,h1_0.1mm,lightgbm,1960112,61.66578722000122
offset4h,2025,h3_0.1mm,hist_gradient_boosting,1960112,56.10335731506348
offset4h,2025,h6_0.1mm,hist_gradient_boosting,1960112,56.25397539138794
offset4h,2025,h1_1.0mm,lightgbm,1960112,54.78804087638855
offset4h,2025,h3_1.0mm,hist_gradient_boosting,1960112,48.19734263420105
offset4h,2025,h6_1.0mm,hist_gradient_boosting,1960112,50.87642312049866
offset4h,2026,h1_0.1mm,lightgbm,2183608,70.38773083686829
offset4h,2026,h3_0.1mm,hist_gradient_boosting,2183608,61.454060554504395
offset4h,2026,h6_0.1mm,hist_gradient_boosting,2183608,62.40772891044617
offset4h,2026,h1_1.0mm,lightgbm,2183608,62.70185446739197
offset4h,2026,h3_1.0mm,hist_gradient_boosting,2183608,51.37353491783142
offset4h,2026,h6_1.0mm,hist_gradient_boosting,2183608,53.06379795074463
offset5h,2021,h1_0.1mm,lightgbm,2230648,70.00409841537476
offset5h,2021,h3_0.1mm,hist_gradient_boosting,2230648,60.49562382698059
offset5h,2021,h6_0.1mm,hist_gradient_boosting,2230648,62.32933568954468
offset5h,2021,h1_1.0mm,lightgbm,2230648,65.4240562915802
offset5h,2021,h3_1.0mm,hist_gradient_boosting,2230648,51.95604705810547
offset5h,2021,h6_1.0mm,hist_gradient_boosting,2230648,52.450562953948975
offset5h,2022,h1_0.1mm,lightgbm,1960112,58.328513860702515
offset5h,2022,h3_0.1mm,hist_gradient_boosting,1960112,54.13341522216797
offset5h,2022,h6_0.1mm,hist_gradient_boosting,1960112,54.569923400878906
offset5h,2022,h1_1.0mm,lightgbm,1960112,53.35506081581116
offset5h,2022,h3_1.0mm,hist_gradient_boosting,1960112,45.30554699897766
offset5h,2022,h6_1.0mm,hist_gradient_boosting,1960112,48.608463525772095
offset5h,2023,h1_0.1mm,lightgbm,1960112,57.7836229801178
offset5h,2023,h3_0.1mm,hist_gradient_boosting,1960112,52.72570013999939
offset5h,2023,h6_0.1mm,hist_gradient_boosting,1960112,54.81142592430115
offset5h,2023,h1_1.0mm,lightgbm,1960112,52.19432020187378
offset5h,2023,h3_1.0mm,hist_gradient_boosting,1960112,47.366801738739014
offset5h,2023,h6_1.0mm,hist_gradient_boosting,1960112,48.18589687347412
offset5h,2024,h1_0.1mm,lightgbm,1958768,61.42326521873474
offset5h,2024,h3_0.1mm,hist_gradient_boosting,1958768,52.488181829452515
offset5h,2024,h6_0.1mm,hist_gradient_boosting,1958768,55.57710075378418
offset5h,2024,h1_1.0mm,lightgbm,1958768,53.719056129455566
offset5h,2024,h3_1.0mm,hist_gradient_boosting,1958768,44.286582708358765
offset5h,2024,h6_1.0mm,hist_gradient_boosting,1958768,48.08537435531616
offset5h,2025,h1_0.1mm,lightgbm,1960112,57.56132793426514
offset5h,2025,h3_0.1mm,hist_gradient_boosting,1960112,53.447856187820435
offset5h,2025,h6_0.1mm,hist_gradient_boosting,1960112,55.15550780296326
offset5h,2025,h1_1.0mm,lightgbm,1960112,51.586968183517456
offset5h,2025,h3_1.0mm,hist_gradient_boosting,1960112,45.315346240997314
offset5h,2025,h6_1.0mm,hist_gradient_boosting,1960112,48.49456524848938
offset5h,2026,h1_0.1mm,lightgbm,2183608,67.54748702049255
offset5h,2026,h3_0.1mm,hist_gradient_boosting,2183608,55.44750237464905
offset5h,2026,h6_0.1mm,hist_gradient_boosting,2183608,58.777891635894775
offset5h,2026,h1_1.0mm,lightgbm,2183608,57.52116775512695
offset5h,2026,h3_1.0mm,hist_gradient_boosting,2183608,50.02555584907532
offset5h,2026,h6_1.0mm,hist_gradient_boosting,2183608,52.8299241065979
