target,base_rate,roc_auc,f1_always_yes,f1_global,f1_monthly,f1_gain,precision_global,precision_monthly,recall_global,recall_monthly,fired_global,fired_monthly,threshold_global,threshold_min,threshold_max
h1_0.1mm,0.17785322985619723,0.8505046698404265,0.30199557185560566,0.5447135602305444,0.5292016281659642,-0.015511932064580236,0.45534460458240944,0.43049000041667923,0.6777291915900059,0.6866511740898111,0.2647145139726742,0.2836840088694688,0.27455446124076843,0.0514487624168396,0.3065217435359955
h3_0.1mm,0.27466576450255975,0.852190161801836,0.43096123258593755,0.6455898674269493,0.632406478437588,-0.013183388989361333,0.5553405490008253,0.5251863759453657,0.770864311853903,0.7946365236386517,0.3812616167215574,0.4155847490788144,0.3265325129032135,0.07275103777647018,0.38502538204193115
h6_0.1mm,0.37303086379495876,0.8614772438882057,0.543368504862197,0.7278846670288527,0.7164568374867222,-0.011427829542130508,0.6441383615207048,0.6150691960875714,0.8366614618560959,0.8578671494866031,0.4845240812599863,0.5202844262562364,0.3668016195297241,0.09968847781419754,0.43412527441978455
h1_1.0mm,0.04780953467897088,0.8724691530540101,0.09125615504848182,0.33304583997104775,0.30652583322294724,-0.02652000674810051,0.27602949009054467,0.23143252222009636,0.41974866574590347,0.45375722543352603,0.0727023347572309,0.09373756806991228,0.17155204713344574,0.014341250993311405,0.2100403904914856
h3_1.0mm,0.08073254638536538,0.8588758792807776,0.1494033776541378,0.3924793324747091,0.37181716644752655,-0.02066216602718257,0.3082549453589708,0.2860281362328771,0.5400321105086183,0.5311158906627084,0.1414354191802263,0.14990951185313203,0.19786730408668518,0.01145374495536089,0.25843432545661926
h6_1.0mm,0.12410041738676754,0.8441481216431072,0.2207995219417635,0.45506194012150847,0.41468578718975313,-0.04037615293175534,0.3613430120030442,0.304665543306164,0.6144194861116129,0.6490805122461514,0.21101754328757297,0.2643920989989239,0.22822822630405426,0.010355835780501366,0.2640334665775299
