target,scheme,season,rows,base_rate,roc_auc,precision,recall,f1,f1_always_yes,tss,fired_share
h1_0.1mm,global_f1,all,2453360,0.17785322985619723,0.8505046698404265,0.45534460458240944,0.6777291915900059,0.5447135602305443,0.30199557185560566,0.5023612481565679,0.2647145139726742
h1_0.1mm,global_f1,wet,1235696,0.29848360761870235,0.8505046698404265,0.46312333299571223,0.7438149850204021,0.5708296270865519,0.4597418186373464,0.37693378953462064,0.47938975281946367
h1_0.1mm,global_f1,dry,1217664,0.05543647508672343,0.8505046698404265,0.3745881528215913,0.31663777906167134,0.34318377046153353,0.10504938268723055,0.28561081848832554,0.046860217596972564
h1_0.1mm,monthly_f1,all,2453360,0.17785322985619723,0.8505046698404265,0.43049000041667923,0.6866511740898111,0.5292016281659642,0.30199557185560566,0.4901401791675941,0.2836840088694688
h1_0.1mm,monthly_f1,wet,1235696,0.29848360761870235,0.8505046698404265,0.46381245743404653,0.727485189854542,0.5664691681735031,0.4597418186373464,0.3696515810060646,0.4681685463091246
h1_0.1mm,monthly_f1,dry,1217664,0.05543647508672343,0.8505046698404265,0.26637721874600945,0.46353495400204436,0.3383287920072661,0.10504938268723055,0.38861066079439777,0.09646749842321034
h1_0.1mm,monthly_tss,all,2453360,0.17785322985619723,0.8505046698404265,0.34573940354753674,0.6892340341661739,0.4604859510282266,0.30199557185560566,0.40708341805985476,0.3545517168291649
h1_0.1mm,monthly_tss,wet,1235696,0.29848360761870235,0.8505046698404265,0.47614853619897857,0.6771808532270528,0.5591441178248343,0.4597418186373464,0.36018539490097745,0.424504894407686
h1_0.1mm,monthly_tss,dry,1217664,0.05543647508672343,0.8505046698404265,0.14762050949363423,0.755092366265203,0.24696029671477054,0.10504938268723055,0.49920384283239666,0.2835626248291811
h1_0.1mm,monthly_precision,all,2453360,0.17785322985619723,0.8505046698404265,0.4839386208523384,0.5595043292126746,0.518985256306009,0.30199557185560566,0.4304338480776151,0.20562453125509506
h1_0.1mm,monthly_precision,wet,1235696,0.29848360761870235,0.8505046698404265,0.4937253578547788,0.6386216058671221,0.5569029475809597,0.4597418186373464,0.3599921600851571,0.38608120443863214
h1_0.1mm,monthly_precision,dry,1217664,0.05543647508672343,0.8505046698404265,0.31348568925233644,0.12720916107432262,0.18097897676379154,0.10504938268723055,0.11085927614516922,0.022495532429307265
h3_0.1mm,global_f1,all,2453360,0.27466576450255975,0.852190161801836,0.5553405490008253,0.770864311853903,0.6455898674269493,0.43096123258593755,0.5371354005717832,0.3812616167215574
h3_0.1mm,global_f1,wet,1235696,0.4495393689062682,0.852190161801836,0.5672387565502812,0.8511757102686978,0.6807881092490818,0.6202513412870773,0.32084942484172163,0.6745607333842628
h3_0.1mm,global_f1,dry,1217664,0.09720251235151897,0.852190161801836,0.4579355725790611,0.3939422102061507,0.4235352893087474,0.1771824458243265,0.34373498818203363,0.08361912645853044
h3_0.1mm,monthly_f1,all,2453360,0.27466576450255975,0.852190161801836,0.5251863759453657,0.7946365236386517,0.632406478437588,0.43096123258593755,0.5225891127279831,0.4155847490788144
h3_0.1mm,monthly_f1,wet,1235696,0.4495393689062682,0.852190161801836,0.5663129160814544,0.8485294170594102,0.6792745132089122,0.6202513412870773,0.3178547057236599,0.6735629151506519
h3_0.1mm,monthly_f1,dry,1217664,0.09720251235151897,0.852190161801836,0.3423902595322012,0.5417032781345049,0.419579870427328,0.1771824458243265,0.42968330913593855,0.15378626616209398
h3_0.1mm,monthly_tss,all,2453360,0.27466576450255975,0.852190161801836,0.4733666817312276,0.6808136480602623,0.5584473918695861,0.43096123258593755,0.3939964077699795,0.39503456484168653
h3_0.1mm,monthly_tss,wet,1235696,0.4495393689062682,0.852190161801836,0.6285497380874054,0.6707111147915189,0.6489463522284802,0.6202513412870773,0.347014624631243,0.47969322551825044
h3_0.1mm,monthly_tss,dry,1217664,0.09720251235151897,0.852190161801836,0.22898883389522512,0.7282274417032781,0.3484185485289035,0.1771824458243265,0.46422949391085677,0.3091222209082308
h3_0.1mm,monthly_precision,all,2453360,0.27466576450255975,0.852190161801836,0.5050223353605142,0.8105108821792257,0.6222968650214235,0.43096123258593755,0.5096953749541868,0.4408113770502495
h3_0.1mm,monthly_precision,wet,1235696,0.4495393689062682,0.852190161801836,0.5171598242898652,0.9215059028540362,0.6625108554551655,0.6202513412870773,0.21888962122005107,0.801015783817379
h3_0.1mm,monthly_precision,dry,1217664,0.09720251235151897,0.852190161801836,0.3739485254808689,0.28958262926664413,0.3264021483975107,0.1771824458243265,0.23738414731806576,0.07527281746031746
h6_0.1mm,global_f1,all,2453360,0.37303086379495876,0.8614772438882057,0.6441383615207048,0.8366614618560959,0.7278846670288528,0.543368504862197,0.5616502635640874,0.4845240812599863
h6_0.1mm,global_f1,wet,1235696,0.5975604032059665,0.8614772438882057,0.6637555473534001,0.9278957425687598,0.7739081423114197,0.7480911544963044,0.2299410156773699,0.8353583729331486
h6_0.1mm,global_f1,dry,1217664,0.14517633764322507,0.8614772438882057,0.5147159392316394,0.45557089197628636,0.4833407854422801,0.2535440750408766,0.3826245231066289,0.12849439582676336
h6_0.1mm,monthly_f1,all,2453360,0.37303086379495876,0.8614772438882057,0.6150691960875714,0.8578671494866031,0.7164568374867222,0.543368504862197,0.5384359512075969,0.5202844262562364
h6_0.1mm,monthly_f1,wet,1235696,0.5975604032059665,0.8614772438882057,0.6681999954679937,0.9185024979584319,0.7736086223042467,0.7480911544963044,0.24128001543806665,0.8214018658310782
h6_0.1mm,monthly_f1,dry,1217664,0.14517633764322507,0.8614772438882057,0.4087981273093076,0.6045899895913472,0.4877800546759832,0.2535440750408766,0.4560965878036429,0.21470783401660884
h6_0.1mm,monthly_tss,all,2453360,0.37303086379495876,0.8614772438882057,0.5767181113368489,0.6780487751576467,0.6232918850698362,0.543368504862197,0.38195748291050546,0.43857322203019533
h6_0.1mm,monthly_tss,wet,1235696,0.5975604032059665,0.8614772438882057,0.7524851015465218,0.670673060645745,0.7092275469468861,0.7480911544963044,0.34310963224437996,0.5325921585891675
