target,season,base_rate,threshold,precision,recall,f1,fired_share
h1_0.1mm,wet,0.29848360761870235,0.3,0.48330920364517904,0.6978215191074599,0.5710859199400026,0.4309627934378682
h1_0.1mm,wet,0.29848360761870235,0.35,0.5326444697699094,0.5879675193514715,0.5589403836959504,0.3294855692662273
h1_0.1mm,wet,0.29848360761870235,0.4,0.5676943016062546,0.5130342836227582,0.5389820225391188,0.26974433841333145
h1_0.1mm,wet,0.29848360761870235,0.45,0.6097487203350396,0.42632071251372566,0.5017974677484981,0.2086921055016768
h1_0.1mm,wet,0.29848360761870235,0.5,0.645516351545829,0.3526726042810471,0.4561379515907039,0.16307408942005153
h1_0.1mm,wet,0.29848360761870235,0.55,0.6775136115002124,0.2898098065530657,0.40596575048518246,0.12767784309409433
h1_0.1mm,wet,0.29848360761870235,0.6,0.7256294804746856,0.2110401670123497,0.326981806572486,0.08681018632414444
h1_0.1mm,wet,0.29848360761870235,0.65,0.770925597874225,0.15102688193907846,0.25257373195100336,0.05847392886276236
h1_0.1mm,wet,0.29848360761870235,0.7,0.7995768662569078,0.11886073718600458,0.20695645605951885,0.04437094560474421
h1_0.1mm,wet,0.29848360761870235,0.75,0.8321962013645584,0.08565076524733282,0.15531617813351165,0.03072033898305085
h1_0.1mm,wet,0.29848360761870235,0.8,0.8563375023333956,0.0621876991066466,0.11595470400889742,0.021676043298675403
h1_0.1mm,wet,0.29848360761870235,0.85,0.8936384794414275,0.031230767145200428,0.06035234789442661,0.010431368232963447
h1_0.1mm,wet,0.29848360761870235,0.9,0.9195573174760489,0.015093469979801266,0.029699457706147687,0.004899263249213399
h1_0.1mm,dry,0.05543647508672343,0.05,0.15428880445935828,0.8241855917514778,0.25992015753586256,0.2961325948701777
h1_0.1mm,dry,0.05543647508672343,0.1,0.2239476786955952,0.6584299957038946,0.3342194015091985,0.16298913329128562
h1_0.1mm,dry,0.05543647508672343,0.15,0.2794163159197821,0.5349984445135771,0.3671035979486762,0.10614422369389256
h1_0.1mm,dry,0.05543647508672343,0.2,0.3220818982013012,0.43636579115002294,0.3706136212081179,0.07510692604856511
h1_0.1mm,dry,0.05543647508672343,0.25,0.357562895167352,0.3594062486111728,0.35848220222527594,0.05572226821192053
h1_0.1mm,dry,0.05543647508672343,0.3,0.39428775587407,0.2779283883679244,0.3260372767954121,0.0390764611584148
h1_0.1mm,dry,0.05543647508672343,0.35,0.4379246652153836,0.19668755462720175,0.27145500454912547,0.024898494165878273
h1_0.1mm,dry,0.05543647508672343,0.4,0.46631229839625643,0.15205250137030946,0.22932725607167595,0.018076415168716494
h1_0.1mm,dry,0.05543647508672343,0.45,0.4971697469822001,0.10799520021332386,0.17744565878830662,0.012041909755072007
h1_0.1mm,dry,0.05543647508672343,0.5,0.5221537850188754,0.0778632060797298,0.13551805489306296,0.008266648270787344
h1_0.1mm,dry,0.05543647508672343,0.55,0.5470748886014086,0.05638267928832793,0.1022293849046468,0.005713398770104068
