target,horizon_h,threshold_mm,model,rows,base_rate,roc_auc,pr_auc,brier_raw,brier_calibrated,brier_climatology,probability_threshold,precision,recall,f1,isotonic_knots,pr_auc_lift,brier_skill,brier_skill_raw
h1_0.1mm,1,0.1,lightgbm,2453360,0.17785322985619723,0.8505046698404265,0.5508376356884571,0.15646475553512573,0.10770399868488312,0.1462214584859159,0.27455446124076843,0.45530850378470467,0.6786573711205534,0.5449872506140043,591,3.097147215902885,0.26341865414194854,-0.07005330924254505
h3_0.1mm,3,0.1,hist_gradient_boosting,2453360,0.27466576450255975,0.852190161801836,0.6735127196598263,0.1353674679994583,0.13521163165569305,0.19922448231278414,0.3265325129032135,0.5553134777331695,0.7720010566087016,0.6459698593922581,647,2.4521174704084734,0.3213101618534532,0.320527947027463
h6_0.1mm,6,0.1,hist_gradient_boosting,2453360,0.37303086379495876,0.8614772438882057,0.772333088418211,0.1459781378507614,0.1457519680261612,0.2338788384513457,0.3668016195297241,0.6435148304216951,0.8411807963250905,0.7291896167125274,667,2.0704267753102967,0.3768056614643984,0.3758386230350227
h1_1.0mm,1,1.0,lightgbm,2453360,0.04780953467897088,0.8724691530540101,0.2707544663817874,0.12381605058908463,0.03920114040374756,0.045523783072751164,0.17155204713344574,0.28316752790347804,0.4059883711016761,0.3336334306022146,378,5.663189742377462,0.13888658284175204,-1.7198102229600574
h3_1.0mm,3,1.0,hist_gradient_boosting,2453360,0.08073254638536538,0.8588758792807776,0.34166826862995525,0.06178516522049904,0.061644889414310455,0.0742148023395002,0.19786730408668518,0.3132868835182321,0.532807246069492,0.3945696248202992,467,4.232100731705527,0.16937204612750845,0.16748191367728804
h6_1.0mm,6,1.0,hist_gradient_boosting,2453360,0.12410041738676754,0.8441481216431072,0.4125383901243329,0.08769238740205765,0.08749741315841675,0.10869950379119762,0.22822822630405426,0.36369663297095284,0.6108229899856469,0.45592568803290984,540,3.324230480536004,0.19505232216614588,0.1932586226841737
