target,roc_v2,roc_deploy,roc_delta,f1_v2,f1_deploy,f1_delta,bss_v2,bss_deploy,bss_delta
h1_0.1mm,0.8499766726229295,0.8505046698404265,0.0005279972174969672,0.5438639786604729,0.5449872506140043,0.0011232719535314573,0.2554237544187159,0.26341865414194854,0.00799489972323264
h3_0.1mm,0.8521897998085571,0.852190161801836,3.6199327890784616e-07,0.6459644316134547,0.6459698593922581,5.4277788034129415e-06,0.3186431668209107,0.3213101618534532,0.002666995032542474
h6_0.1mm,0.8616120262429079,0.8614772438882057,-0.000134782354702212,0.7274159487978195,0.7291896167125274,0.0017736679147078993,0.3747400806315902,0.3768056614643984,0.0020655808328082226
h1_1.0mm,0.8715588995641261,0.8724691530540101,0.0009102534898839387,0.3326427218192743,0.3336334306022146,0.0009907087829403305,0.1161710742971993,0.13888658284175204,0.02271550854455273
h3_1.0mm,0.8589510964433763,0.8588758792807776,-7.521716259872857e-05,0.3956516365265621,0.3945696248202992,-0.0010820117062628754,0.1577555746922432,0.16937204612750845,0.011616471435265258
h6_1.0mm,0.8444057295260705,0.8441481216431072,-0.0002576078829633621,0.4559765358002265,0.45592568803290984,-5.0847767316675174e-05,0.1860477026413018,0.19505232216614588,0.009004619524844076
