target,scheme,month,threshold,base_rate,rows
h1_0.1mm,global_f1,1,0.27455446124076843,0.0107286866359447,208320
h1_0.1mm,global_f1,2,0.27455446124076843,0.05054246876055387,189504
h1_0.1mm,global_f1,3,0.27455446124076843,0.04800787250384025,208320
h1_0.1mm,global_f1,4,0.27455446124076843,0.059712301587301585,201600
h1_0.1mm,global_f1,5,0.27455446124076843,0.2532786098310292,208320
h1_0.1mm,global_f1,6,0.27455446124076843,0.233872410639736,201208
h1_0.1mm,global_f1,7,0.27455446124076843,0.2855796237159017,207928
h1_0.1mm,global_f1,8,0.27455446124076843,0.271150153609831,208320
h1_0.1mm,global_f1,9,0.27455446124076843,0.4324801587301587,201600
h1_0.1mm,global_f1,10,0.27455446124076843,0.31663306451612905,208320
h1_0.1mm,global_f1,11,0.27455446124076843,0.14165178571428572,201600
h1_0.1mm,global_f1,12,0.27455446124076843,0.024452764976958526,208320
h1_0.1mm,monthly_f1,1,0.0514487624168396,0.0107286866359447,208320
h1_0.1mm,monthly_f1,2,0.17610205709934235,0.05054246876055387,189504
h1_0.1mm,monthly_f1,3,0.16569535434246063,0.04800787250384025,208320
h1_0.1mm,monthly_f1,4,0.2252165526151657,0.059712301587301585,201600
h1_0.1mm,monthly_f1,5,0.2601093053817749,0.2532786098310292,208320
h1_0.1mm,monthly_f1,6,0.23461854457855225,0.233872410639736,201208
h1_0.1mm,monthly_f1,7,0.2880758047103882,0.2855796237159017,207928
h1_0.1mm,monthly_f1,8,0.2909844219684601,0.271150153609831,208320
h1_0.1mm,monthly_f1,9,0.3065217435359955,0.4324801587301587,201600
h1_0.1mm,monthly_f1,10,0.2909844219684601,0.31663306451612905,208320
h1_0.1mm,monthly_f1,11,0.2118167281150818,0.14165178571428572,201600
h1_0.1mm,monthly_f1,12,0.10523632913827896,0.024452764976958526,208320
h1_0.1mm,monthly_tss,1,0.013920733705163002,0.0107286866359447,208320
h1_0.1mm,monthly_tss,2,0.045534152537584305,0.05054246876055387,189504
h1_0.1mm,monthly_tss,3,0.056477367877960205,0.04800787250384025,208320
h1_0.1mm,monthly_tss,4,0.06017699092626572,0.059712301587301585,201600
h1_0.1mm,monthly_tss,5,0.24617010354995728,0.2532786098310292,208320
h1_0.1mm,monthly_tss,6,0.23461854457855225,0.233872410639736,201208
