span,regime,target,rows,base_rate,om_roc,hw_roc,om_pr,hw_pr,roc_gain,pr_gain
2025-11..2025-12,dry,h6_1.0mm,304878,0.1247,0.8972,0.9136,0.6078,0.6604,0.0164,0.0526
2026-01..2026-02,dry,h1_0.1mm,294882,0.0428,0.9018,0.927,0.3453,0.4498,0.0252,0.1045
2026-01..2026-02,dry,h3_0.1mm,294882,0.0672,0.8978,0.9205,0.4149,0.5138,0.0227,0.0989
2026-01..2026-02,dry,h6_0.1mm,294882,0.0951,0.8894,0.911,0.4795,0.5654,0.0216,0.0859
2026-01..2026-02,dry,h1_1.0mm,294882,0.0195,0.9279,0.9517,0.2348,0.3377,0.0238,0.1029
2026-01..2026-02,dry,h3_1.0mm,294882,0.0335,0.9161,0.9395,0.2849,0.3891,0.0234,0.1042
2026-01..2026-02,dry,h6_1.0mm,294882,0.0496,0.9128,0.9309,0.3412,0.4206,0.0181,0.0794
2026-03..2026-04,dry,h1_0.1mm,304878,0.0948,0.8559,0.8972,0.4178,0.5076,0.0413,0.0898
2026-03..2026-04,dry,h3_0.1mm,304878,0.1409,0.8387,0.8761,0.4899,0.5617,0.0374,0.0718
2026-03..2026-04,dry,h6_0.1mm,304878,0.1954,0.8264,0.8549,0.5515,0.6031,0.0285,0.0516
2026-03..2026-04,dry,h1_1.0mm,304878,0.0395,0.8853,0.9236,0.2856,0.3611,0.0383,0.0755
2026-03..2026-04,dry,h3_1.0mm,304878,0.0664,0.869,0.8996,0.3605,0.4207,0.0306,0.0602
2026-03..2026-04,dry,h6_1.0mm,304878,0.0993,0.8518,0.8757,0.4227,0.4627,0.0239,0.04
2026-05..2026-06,wet,h1_0.1mm,303212,0.3642,0.7848,0.8048,0.6626,0.6939,0.02,0.0313
2026-05..2026-06,wet,h3_0.1mm,303212,0.5275,0.7712,0.7929,0.7803,0.8018,0.0217,0.0215
2026-05..2026-06,wet,h6_0.1mm,303212,0.6691,0.7742,0.7938,0.8641,0.8767,0.0196,0.0126
2026-05..2026-06,wet,h1_1.0mm,303212,0.1635,0.8001,0.8241,0.4256,0.4673,0.024,0.0417
2026-05..2026-06,wet,h3_1.0mm,303212,0.2699,0.7774,0.7973,0.5528,0.5822,0.0199,0.0294
2026-05..2026-06,wet,h6_1.0mm,303212,0.3916,0.761,0.7747,0.6568,0.672,0.0137,0.0152
2026-07..2026-07,wet,h1_0.1mm,94962,0.4297,0.751,0.7659,0.6885,0.7116,0.0149,0.0231
2026-07..2026-07,wet,h3_0.1mm,94962,0.6027,0.7577,0.7722,0.8156,0.8284,0.0145,0.0128
2026-07..2026-07,wet,h6_0.1mm,94962,0.7403,0.7802,0.7885,0.902,0.9053,0.0083,0.0033
2026-07..2026-07,wet,h1_1.0mm,94962,0.1648,0.7794,0.7948,0.415,0.4387,0.0154,0.0237
2026-07..2026-07,wet,h3_1.0mm,94962,0.2788,0.7601,0.7724,0.5439,0.5597,0.0123,0.0158
2026-07..2026-07,wet,h6_1.0mm,94962,0.3952,0.7561,0.7597,0.6591,0.6622,0.0036,0.0031
ALL DRY,dry,h1_0.1mm,1809276,0.1008,0.8967,0.9166,0.5639,0.6206,0.0199,0.0567
ALL DRY,dry,h3_0.1mm,1809276,0.1487,0.888,0.9061,0.6281,0.6736,0.0181,0.0455
ALL DRY,dry,h6_0.1mm,1809276,0.1983,0.8809,0.8959,0.6794,0.7137,0.015,0.0343
ALL DRY,dry,h1_1.0mm,1809276,0.0423,0.9217,0.9418,0.4397,0.5214,0.0201,0.0817
ALL DRY,dry,h3_1.0mm,1809276,0.0671,0.9062,0.9238,0.4842,0.5434,0.0176,0.0592
ALL DRY,dry,h6_1.0mm,1809276,0.0962,0.8959,0.9095,0.53,0.5723,0.0136,0.0423
ALL WET,wet,h1_0.1mm,1930894,0.4061,0.7881,0.8219,0.7106,0.7594,0.0338,0.0488
ALL WET,wet,h3_0.1mm,1930894,0.5699,0.7805,0.8144,0.816,0.8478,0.0339,0.0318
ALL WET,wet,h6_0.1mm,1930894,0.6987,0.7918,0.8216,0.8896,0.908,0.0298,0.0184
ALL WET,wet,h1_1.0mm,1930894,0.1906,0.7953,0.8366,0.4767,0.5614,0.0413,0.0847
ALL WET,wet,h3_1.0mm,1930894,0.2986,0.7715,0.8059,0.5848,0.6425,0.0344,0.0577
ALL WET,wet,h6_1.0mm,1930894,0.416,0.7601,0.7864,0.6812,0.716,0.0263,0.0348
ALL,all,h1_0.1mm,3740170,0.2584,0.8701,0.8906,0.6896,0.7385,0.0205,0.0489
ALL,all,h3_0.1mm,3740170,0.3661,0.8774,0.895,0.7903,0.823,0.0176,0.0327
ALL,all,h6_0.1mm,3740170,0.4567,0.8925,0.9057,0.862,0.8817,0.0132,0.0197
ALL,all,h1_1.0mm,3740170,0.1189,0.8705,0.8971,0.4736,0.557,0.0266,0.0834
ALL,all,h3_1.0mm,3740170,0.1866,0.86,0.881,0.5714,0.6286,0.021,0.0572
ALL,all,h6_1.0mm,3740170,0.2613,0.8599,0.8749,0.6611,0.6964,0.015,0.0353
