config,fold,span,target,model,train_rows,fit_seconds
hw_allseason,10,2026-03..2026-04,h3_1.0mm,hist_gradient_boosting,3425296,89.40556716918945
hw_allseason,10,2026-03..2026-04,h6_1.0mm,hist_gradient_boosting,3425296,91.6516101360321
hw_allseason,11,2026-05..2026-06,h1_0.1mm,lightgbm,3426962,116.03340649604797
hw_allseason,11,2026-05..2026-06,h3_0.1mm,hist_gradient_boosting,3426962,88.34994506835938
hw_allseason,11,2026-05..2026-06,h6_0.1mm,hist_gradient_boosting,3426962,89.42259407043457
hw_allseason,11,2026-05..2026-06,h1_1.0mm,lightgbm,3426962,106.83826351165771
hw_allseason,11,2026-05..2026-06,h3_1.0mm,hist_gradient_boosting,3426962,86.9849739074707
hw_allseason,11,2026-05..2026-06,h6_1.0mm,hist_gradient_boosting,3426962,89.37214493751526
hw_allseason,12,2026-07..2026-07,h1_0.1mm,lightgbm,3640210,123.27303123474121
hw_allseason,12,2026-07..2026-07,h3_0.1mm,hist_gradient_boosting,3640210,93.70491623878479
hw_allseason,12,2026-07..2026-07,h6_0.1mm,hist_gradient_boosting,3640210,96.68742108345032
hw_allseason,12,2026-07..2026-07,h1_1.0mm,lightgbm,3640210,114.39900517463684
hw_allseason,12,2026-07..2026-07,h3_1.0mm,hist_gradient_boosting,3640210,92.3761932849884
hw_allseason,12,2026-07..2026-07,h6_1.0mm,hist_gradient_boosting,3640210,94.08118724822998
