target,model,op_threshold,trained_rows,fit_minutes
h1_0.1mm,lightgbm,0.35000000000000003,3740170,2.19
h3_0.1mm,hist_gradient_boosting,0.35000000000000003,3740170,1.96
h6_0.1mm,hist_gradient_boosting,0.4,3740170,1.91
h1_1.0mm,lightgbm,0.25,3740170,2.43
h3_1.0mm,hist_gradient_boosting,0.3,3740170,1.86
h6_1.0mm,hist_gradient_boosting,0.35000000000000003,3740170,1.88
