horizon_h,V1_headline_roc_auc,V1_test_rain_rate,CV_mean_roc_auc,CV_worst_month_roc_auc,CV_worst_month,V1_headline_f1,CV_mean_f1,CV_worst_month_f1,f1_spread,best_threshold_min,best_threshold_max,mean_brier_skill,mean_cost_of_unseen_season_roc
1,0.9254831512769016,0.162376345254919,0.9225615880096515,0.8621844545375975,2025-10,0.6808510638297872,0.6817646283175806,0.3333333333333333,0.5459798377182199,0.3500000000000001,0.8500000000000002,0.28879139185953884,0.0017260969849254386
2,0.911800383295692,0.2183797151864333,0.899175452018582,0.819837536065056,2025-10,0.6891300826178519,0.6817768155417316,0.23809523809523808,0.6527238454451176,0.30000000000000004,0.8000000000000002,0.30702131080032974,0.002486499008171874
3,0.9024122104716918,0.2631699097728014,0.8862191584409955,0.7936501491825464,2025-10,0.7038852531765017,0.6926942030828221,0.171875,0.7292540349882357,0.1,0.5000000000000001,0.37503135859564934,0.0025766670703914842
6,0.8927994819179894,0.3644363517773671,0.8671474089348448,0.7531955078359448,2026-03,0.7495026525198939,0.7315098211552463,0.08379888268156424,0.8282932706301954,0.15000000000000002,0.5500000000000002,0.3338232061516131,0.003669145602991003
