horizon_h,calendar_month,pr_auc_A_seen,pr_auc_B_unseen,roc_auc_A_seen,roc_auc_B_unseen,roc_auc_cost_of_unseen,pr_auc_cost_of_unseen
1,1,0.60391508633681,0.5914871164192528,0.9700386680291179,0.9687995229314257,0.0012391450976921847,0.012427969917557236
1,2,0.7405855973424259,0.7389785254282875,0.9476635081035142,0.9457491686907042,0.00191433941280994,0.001607071914138447
1,3,0.6727260376459913,0.6752276364502853,0.9279243567876129,0.9268637511806171,0.0010606056069957237,-0.002501598804294014
1,4,0.6419317402622929,0.6384569473926375,0.9203050083151193,0.9198773300648169,0.00042767825030243234,0.003474792869655463
1,5,0.806158452362582,0.8052189264268513,0.9002096175152828,0.9006419615154166,-0.0004323440001338108,0.0009395259357306562
1,6,0.8088250099958504,0.8108591281059999,0.8964647393267243,0.896081738616936,0.0003830007097883614,-0.00203411811014953
1,7,0.853006860519822,0.8470946622236699,0.8971057847931982,0.8947494288630344,0.0023563559301638115,0.0059121982961520825
1,8,0.8605000829715038,0.8552195582682043,0.9179370902066811,0.9150445941648011,0.0028924960418800216,0.005280524703299538
1,9,0.9077309065990691,0.9048725332684883,0.9082503157872744,0.9065354663128946,0.0017148494743798315,0.00285837333058081
1,10,0.8532491363681394,0.8508976911909198,0.9182609667411268,0.9164363845425354,0.0018245821985913846,0.0023514451772195244
1,11,0.7783617143689875,0.7659398396103387,0.941548136570613,0.938017603138872,0.003530533431741034,0.012421874758648754
1,12,0.5531973697121381,0.5334889818144618,0.956750685784621,0.9529487641197266,0.0038019216648943477,0.01970838789767626
2,1,0.5912308792689747,0.581008771330314,0.9565404486593649,0.9546453721966499,0.0018950764627150285,0.01022210793866063
2,2,0.7251816473581979,0.7256213620620006,0.9259747692197124,0.9249326418988432,0.0010421273208692794,-0.00043971470380266275
2,3,0.670423942294902,0.671674830646754,0.9005327680475276,0.8983587523133032,0.002174015734224377,-0.001250888351852053
2,4,0.640978261689199,0.6346386627277624,0.8913864158682325,0.89053703410618,0.0008493817620525146,0.006339598961436654
2,5,0.8153488151151252,0.8163576104755155,0.8683138133177756,0.8699982085543067,-0.0016843952365310777,-0.0010087953603902244
2,6,0.8217628085367894,0.8217856992002409,0.8666665700890421,0.863318212675925,0.00334835741311712,-2.2890663451513582e-05
2,7,0.8698005404633397,0.8659505756413657,0.8712626076922791,0.8698770267967254,0.0013855808955537396,0.0038499648219739724
2,8,0.874371976308357,0.8703825321201731,0.8985861429849982,0.8949484990425474,0.003637643942450808,0.0039894441881838105
2,9,0.9212124252154092,0.9187884795126322,0.8895042656614208,0.8873612599023143,0.002143005759106531,0.0024239457027770417
2,10,0.8615744269579515,0.8579600947681827,0.8939612784287425,0.8903408500764479,0.0036204283522945913,0.0036143321897688097
2,11,0.7833768797529743,0.7691334638924988,0.9223559629642551,0.9162176078721888,0.006138355092066394,0.014243415860475506
2,12,0.5308611577489039,0.5140429422129897,0.9357381834465659,0.9304497728464227,0.0052884106001431785,0.016818215535914116
3,1,0.600408886997313,0.5759939918904206,0.9487006800367194,0.9449647426469288,0.003735937389790611,0.02441489510689243
3,2,0.7249874636809264,0.7223330176467735,0.9137213228920741,0.9127528878781019,0.0009684350139721465,0.0026544460341528797
3,3,0.6817738472570254,0.6790223559615327,0.883136576987304,0.8802904533339957,0.0028461236533082745,0.0027514912954926807
3,4,0.650372496475858,0.647044976158542,0.8726864916335466,0.87311817209715,-0.00043168046360342327,0.0033275203173160905
3,5,0.8326450394517626,0.8349660371181907,0.8528655613335362,0.8539483428028992,-0.0010827814693630256,-0.002320997666428126
3,6,0.8371849658186745,0.8371929069933766,0.8501794493332853,0.8477115349749255,0.0024679143583598018,-7.94117470204192e-06
3,7,0.8844648060876212,0.8834705486689391,0.8565341876828697,0.857102431712107,-0.0005682440292372748,0.0009942574186820874
3,8,0.8884535026206145,0.8856139077174435,0.888564599827209,0.8850350395144699,0.0035295603127390995,0.0028395949031709833
3,9,0.9323430492657172,0.9312929267152474,0.8797233269421854,0.8783432244027403,0.0013801025394450939,0.0010501225504697675
3,10,0.871201986226158,0.8685526174141902,0.87986724004127,0.8758584328338401,0.00400880720742991,0.002649368811967756
3,11,0.797533966239481,0.7830755219385392,0.9138061143171293,0.9070515387817529,0.006754575535376395,0.014458444300941786
3,12,0.5179648485092698,0.5148957524995101,0.9241326723550355,0.9168214175585553,0.007311254796480204,0.0030690960097596864
6,1,0.6249946178927007,0.5956301130213437,0.9336269859129003,0.9272400703214138,0.0063869155914865194,0.029364504871357
6,2,0.7640790304831652,0.7576941486688269,0.9000378663286388,0.896465840863234,0.0035720254654048045,0.006384881814338272
6,3,0.7330083133066011,0.7256436935159697,0.8562009412729121,0.8493562359137228,0.006844705359189351,0.00736461979063141
6,4,0.692683684359195,0.6942320120488288,0.8399568395638062,0.8425484135472732,-0.002591573983466988,-0.001548327689633755
6,5,0.8756195334902087,0.8768483090933323,0.8274072826213424,0.8289106606834911,-0.0015033780621486192,-0.0012287756031236219
6,6,0.884042706995548,0.8815637172399526,0.8295711733781629,0.8229789297354823,0.006592243642680629,0.002478989755595351
6,7,0.9213051896537294,0.9212785653869393,0.8365871031781428,0.8376373423153114,-0.0010502391371686182,2.6624266790120643e-05
6,8,0.9194620939600295,0.9152818442540864,0.8739410947545989,0.8675873651435853,0.006353729611013659,0.0041802497059431065
6,9,0.9594690877724998,0.9576224336181692,0.8721448315962359,0.8678936981404428,0.004251133455793088,0.001846654154330607
6,10,0.9043205453998364,0.9008861754362091,0.863090851510171,0.8576718018628251,0.005419049647345853,0.0034343699636273373
6,11,0.8326606214414529,0.8181381148261828,0.9017533502402846,0.8942500827309758,0.007503267509308742,0.014522506615270103
6,12,0.5471598557840834,0.5486140778887952,0.9052653598334128,0.9030134916969592,0.0022518681364536164,-0.0014542221047117998
