calendar_month,A_seen_full,A_seen_matched,B_unseen,cost_of_unseen_volume_matched,cost_of_volume_alone
1,0.9700386680291179,0.9697458478477783,0.9687995229314257,0.0009463249163526033,0.00029282018133958143
2,0.9476635081035142,0.9476128314977669,0.9457491686907042,0.001863662807062627,5.067660574731292e-05
3,0.9279243567876129,0.9280628893185165,0.9268637511806171,0.0011991381378994026,-0.0001385325309036789
4,0.9203050083151193,0.920482343340634,0.9198773300648169,0.000605013275817079,-0.00017733502551464664
5,0.9002096175152828,0.8999426554155642,0.9006419615154166,-0.0006993060998524703,0.0002669620997186595
6,0.8964647393267243,0.8961503278908135,0.896081738616936,6.858927387753955e-05,0.0003144114359108219
7,0.8971057847931982,0.8967093706661482,0.8947494288630344,0.0019599418031137628,0.00039641412705004875
8,0.9179370902066811,0.9177736078436333,0.9150445941648011,0.0027290136788321595,0.00016348236304786212
9,0.9082503157872744,0.9080120058189945,0.9065354663128946,0.0014765395060999387,0.00023830996827989281
10,0.9182609667411268,0.918117889585398,0.9164363845425354,0.0016815050428625744,0.0001430771557288102
11,0.941548136570613,0.9413438119309241,0.938017603138872,0.0033262087920521433,0.00020432463968889092
12,0.956750685784621,0.9565761908514228,0.9529487641197266,0.0036274267316961373,0.0001744949331982104
