model,feature_set,horizon_h,feature,importance,is_neighbor_feature
lightgbm,neighbor_grid,3,pressure_msl_change_6h,1348.0,False
lightgbm,neighbor_grid,3,precipitation_lag_1h,145.0,False
lightgbm,neighbor_grid,3,precipitation_lag_2h,72.0,False
lightgbm,neighbor_grid,3,precipitation_lag_3h,97.0,False
lightgbm,neighbor_grid,3,precipitation_lag_6h,120.0,False
lightgbm,neighbor_grid,3,precipitation_sum_past_3h,158.0,False
lightgbm,neighbor_grid,3,precipitation_sum_past_6h,267.0,False
lightgbm,neighbor_grid,3,precipitation_sum_past_12h,472.0,False
lightgbm,neighbor_grid,3,precipitation_sum_past_24h,965.0,False
lightgbm,neighbor_grid,3,cloud_cover_lag_1h,353.0,False
lightgbm,neighbor_grid,3,cloud_cover_lag_3h,432.0,False
lightgbm,neighbor_grid,3,cloud_cover_lag_6h,582.0,False
lightgbm,neighbor_grid,3,humidity_lag_1h,329.0,False
lightgbm,neighbor_grid,3,humidity_lag_3h,554.0,False
lightgbm,neighbor_grid,3,humidity_lag_6h,1039.0,False
lightgbm,neighbor_grid,3,wind_speed_lag_1h,359.0,False
lightgbm,neighbor_grid,3,wind_speed_lag_3h,529.0,False
lightgbm,neighbor_grid,3,hour_sin,1039.0,False
lightgbm,neighbor_grid,3,hour_cos,1244.0,False
lightgbm,neighbor_grid,3,month_sin,1579.0,False
lightgbm,neighbor_grid,3,month_cos,1268.0,False
lightgbm,neighbor_grid,3,grid_row,282.0,False
lightgbm,neighbor_grid,3,grid_column,227.0,False
lightgbm,neighbor_grid,3,latitude,59.0,False
lightgbm,neighbor_grid,3,longitude,45.0,False
lightgbm,neighbor_grid,3,neighbor_count,39.0,True
lightgbm,neighbor_grid,3,neighbor_precipitation_mean,350.0,True
lightgbm,neighbor_grid,3,neighbor_precipitation_max,151.0,True
lightgbm,neighbor_grid,3,neighbor_precipitation_sum,86.0,True
lightgbm,neighbor_grid,3,neighbor_rain_count,40.0,True
lightgbm,neighbor_grid,3,neighbor_rain_rate,273.0,True
lightgbm,neighbor_grid,3,neighbor_cloud_cover_mean,390.0,True
lightgbm,neighbor_grid,3,neighbor_cloud_cover_max,305.0,True
lightgbm,neighbor_grid,3,neighbor_relative_humidity_mean,429.0,True
lightgbm,neighbor_grid,3,neighbor_relative_humidity_max,425.0,True
lightgbm,neighbor_grid,3,neighbor_pressure_msl_mean,1075.0,True
lightgbm,neighbor_grid,3,neighbor_pressure_msl_min,1020.0,True
lightgbm,neighbor_grid,3,neighbor_pressure_msl_max,856.0,True
lightgbm,neighbor_grid,3,neighbor_temperature_2m_mean,951.0,True
lightgbm,neighbor_grid,3,neighbor_dew_point_2m_mean,1741.0,True
lightgbm,neighbor_grid,3,neighbor_temperature_dew_point_spread_mean,401.0,True
lightgbm,neighbor_grid,3,neighbor_wind_speed_10m_mean,700.0,True
lightgbm,neighbor_grid,3,neighbor_wind_speed_10m_max,614.0,True
lightgbm,neighbor_grid,3,row_minus_precipitation_mean,166.0,True
lightgbm,neighbor_grid,3,row_plus_precipitation_mean,42.0,True
lightgbm,neighbor_grid,3,column_minus_precipitation_mean,146.0,True
lightgbm,neighbor_grid,3,column_plus_precipitation_mean,99.0,True
lightgbm,neighbor_grid,3,row_minus_cloud_cover_mean,323.0,True
lightgbm,neighbor_grid,3,row_plus_cloud_cover_mean,213.0,True
lightgbm,neighbor_grid,3,column_minus_cloud_cover_mean,225.0,True
lightgbm,neighbor_grid,3,column_plus_cloud_cover_mean,220.0,True
lightgbm,neighbor_grid,3,neighbor_precipitation_mean_minus_center,46.0,True
lightgbm,neighbor_grid,3,neighbor_cloud_cover_mean_minus_center,32.0,True
lightgbm,neighbor_grid,3,neighbor_relative_humidity_mean_minus_center,173.0,True
lightgbm,neighbor_grid,3,center_pressure_msl_minus_neighbor_mean,215.0,True
lightgbm,neighbor_grid,6,temperature_2m,523.0,False
lightgbm,neighbor_grid,6,relative_humidity_2m,49.0,False
lightgbm,neighbor_grid,6,pressure_msl,423.0,False
lightgbm,neighbor_grid,6,surface_pressure,289.0,False
lightgbm,neighbor_grid,6,dew_point_2m,522.0,False
lightgbm,neighbor_grid,6,precipitation,105.0,False
lightgbm,neighbor_grid,6,cloud_cover,71.0,False
lightgbm,neighbor_grid,6,wind_speed_10m,258.0,False
lightgbm,neighbor_grid,6,wind_direction_10m,1865.0,False
lightgbm,neighbor_grid,6,temperature_dew_point_spread,116.0,False
lightgbm,neighbor_grid,6,pressure_msl_change_3h,955.0,False
lightgbm,neighbor_grid,6,pressure_msl_change_6h,1225.0,False
lightgbm,neighbor_grid,6,precipitation_lag_1h,102.0,False
lightgbm,neighbor_grid,6,precipitation_lag_2h,72.0,False
lightgbm,neighbor_grid,6,precipitation_lag_3h,86.0,False
lightgbm,neighbor_grid,6,precipitation_lag_6h,111.0,False
lightgbm,neighbor_grid,6,precipitation_sum_past_3h,113.0,False
lightgbm,neighbor_grid,6,precipitation_sum_past_6h,254.0,False
lightgbm,neighbor_grid,6,precipitation_sum_past_12h,632.0,False
lightgbm,neighbor_grid,6,precipitation_sum_past_24h,1174.0,False
lightgbm,neighbor_grid,6,cloud_cover_lag_1h,320.0,False
lightgbm,neighbor_grid,6,cloud_cover_lag_3h,491.0,False
lightgbm,neighbor_grid,6,cloud_cover_lag_6h,558.0,False
lightgbm,neighbor_grid,6,humidity_lag_1h,260.0,False
lightgbm,neighbor_grid,6,humidity_lag_3h,553.0,False
lightgbm,neighbor_grid,6,humidity_lag_6h,1024.0,False
lightgbm,neighbor_grid,6,wind_speed_lag_1h,335.0,False
lightgbm,neighbor_grid,6,wind_speed_lag_3h,543.0,False
lightgbm,neighbor_grid,6,hour_sin,1065.0,False
lightgbm,neighbor_grid,6,hour_cos,1115.0,False
lightgbm,neighbor_grid,6,month_sin,1789.0,False
lightgbm,neighbor_grid,6,month_cos,1445.0,False
lightgbm,neighbor_grid,6,grid_row,349.0,False
lightgbm,neighbor_grid,6,grid_column,318.0,False
lightgbm,neighbor_grid,6,latitude,68.0,False
lightgbm,neighbor_grid,6,longitude,72.0,False
lightgbm,neighbor_grid,6,neighbor_count,28.0,True
lightgbm,neighbor_grid,6,neighbor_precipitation_mean,267.0,True
lightgbm,neighbor_grid,6,neighbor_precipitation_max,101.0,True
lightgbm,neighbor_grid,6,neighbor_precipitation_sum,56.0,True
lightgbm,neighbor_grid,6,neighbor_rain_count,27.0,True
lightgbm,neighbor_grid,6,neighbor_rain_rate,216.0,True
lightgbm,neighbor_grid,6,neighbor_cloud_cover_mean,443.0,True
lightgbm,neighbor_grid,6,neighbor_cloud_cover_max,277.0,True
lightgbm,neighbor_grid,6,neighbor_relative_humidity_mean,383.0,True
lightgbm,neighbor_grid,6,neighbor_relative_humidity_max,398.0,True
lightgbm,neighbor_grid,6,neighbor_pressure_msl_mean,1208.0,True
lightgbm,neighbor_grid,6,neighbor_pressure_msl_min,988.0,True
lightgbm,neighbor_grid,6,neighbor_pressure_msl_max,918.0,True
lightgbm,neighbor_grid,6,neighbor_temperature_2m_mean,1053.0,True
lightgbm,neighbor_grid,6,neighbor_dew_point_2m_mean,1931.0,True
lightgbm,neighbor_grid,6,neighbor_temperature_dew_point_spread_mean,366.0,True
lightgbm,neighbor_grid,6,neighbor_wind_speed_10m_mean,718.0,True
lightgbm,neighbor_grid,6,neighbor_wind_speed_10m_max,592.0,True
lightgbm,neighbor_grid,6,row_minus_precipitation_mean,130.0,True
lightgbm,neighbor_grid,6,row_plus_precipitation_mean,39.0,True
lightgbm,neighbor_grid,6,column_minus_precipitation_mean,85.0,True
lightgbm,neighbor_grid,6,column_plus_precipitation_mean,83.0,True
lightgbm,neighbor_grid,6,row_minus_cloud_cover_mean,334.0,True
lightgbm,neighbor_grid,6,row_plus_cloud_cover_mean,208.0,True
lightgbm,neighbor_grid,6,column_minus_cloud_cover_mean,229.0,True
lightgbm,neighbor_grid,6,column_plus_cloud_cover_mean,250.0,True
lightgbm,neighbor_grid,6,neighbor_precipitation_mean_minus_center,42.0,True
lightgbm,neighbor_grid,6,neighbor_cloud_cover_mean_minus_center,31.0,True
lightgbm,neighbor_grid,6,neighbor_relative_humidity_mean_minus_center,158.0,True
lightgbm,neighbor_grid,6,center_pressure_msl_minus_neighbor_mean,191.0,True
