horizon_h,rows_om,rain_rows_om,rain_rate_om,rows_tmd,rain_rows_tmd,rain_rate_tmd,rain_rate_diff_tmd_minus_om
1,2453568,541154,0.2205579792367686,1826881,106344,0.0582106880524785,-0.1623472911842901
2,2453568,696173,0.2837390282233873,1826881,152989,0.083743276108296,-0.1999957521150913
3,2453568,815989,0.3325724006834128,1826881,191641,0.1049006476064943,-0.2276717530769185
6,2453568,1076591,0.4387858824373321,1826881,285571,0.1563161475761147,-0.2824697348612174
