target,base_rate,roc_v2,roc_om_only,roc_deploy,roc_research,f1_v2,f1_om_only,f1_deploy,f1_research,roc_gain_deploy,roc_gain_research,f1_gain_deploy
h1_0.1mm,0.1778532298561972,0.8499766726229295,0.8499766726229295,0.8533253428549917,0.8882285390379153,0.5438639786604729,0.5438639786604729,0.5470166039438916,0.6077929015047983,0.003348670232062201,0.03825186641498579,0.003152625283418753
h3_0.1mm,0.2746657645025597,0.8521897998085571,0.8522351202535967,0.8562279581670912,0.8754669860108507,0.6459644316134547,0.6457430086963685,0.6499049340370527,0.6705072065251311,0.003992837913494474,0.023231865757254,0.004161925340684269
h6_0.1mm,0.3730308637949587,0.8616120262429079,0.8615173958903083,0.8671980848836093,0.878729812102134,0.7274159487978195,0.7289905820139824,0.7340174920277847,0.7433986004510303,0.005680688993300986,0.017212416211825676,0.005026910013802288
h1_1.0mm,0.0478095346789708,0.8715588995641261,0.8715588995641261,0.8737434789646255,0.9212304596718012,0.3326427218192743,0.3326427218192743,0.3368186874304783,0.4853349846526686,0.00218457940049932,0.04967156010767504,0.0041759656112040355
h3_1.0mm,0.0807325463853653,0.8589510964433763,0.8590104447585782,0.859870107117433,0.8865545818541483,0.3956516365265621,0.3956086398177025,0.3989287959939697,0.4653415351746332,0.000859662358854707,0.02754413709557002,0.003320156176267186
h6_1.0mm,0.1241004173867675,0.8444057295260705,0.8444549039855007,0.8456109931539685,0.8612240495013141,0.4559765358002265,0.4532306971773056,0.4586263538832709,0.4841526705862075,0.0011560891684677665,0.016769145515813433,0.005395656705965313
