config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill,run_type
imerg_deploy,h1_0.1mm,1,0.1,calibrated,2059008,0.1893037812383439,0.8532475035792623,0.5712621668860052,3.017700772531081,0.4622977057024146,0.7099374515749991,0.559960095067633,0.11239928007125854,0.26760378147163033,permanent
imerg_deploy,h3_0.1mm,3,0.1,calibrated,2059008,0.2903305863794604,0.8570065606449871,0.6961907702728249,2.397924307440717,0.5659395557025262,0.801611929212955,0.6634688405792085,0.13711261749267578,0.3345299068786912,permanent
imerg_deploy,h6_0.1mm,6,0.1,calibrated,2059008,0.39171775923163,0.8687676735488846,0.7950505967215238,2.029651650926032,0.6659633498088221,0.8499758229496002,0.746801397417588,0.14401111006736755,0.3956095416700365,permanent
imerg_deploy,h1_1.0mm,1,1.0,calibrated,2059008,0.05143496285589954,0.872063391097893,0.28425671014862525,5.526526984086687,0.2793952377607642,0.45071526367971293,0.3449551759897958,0.042883940041065216,0.12103994943302299,permanent
imerg_deploy,h3_1.0mm,3,1.0,calibrated,2059008,0.08604726159393261,0.858925048450322,0.3543514667443425,4.118102774921179,0.32461358321674566,0.5461020928814937,0.40718724157304553,0.06592505425214767,0.16171884377900647,permanent
imerg_deploy,h6_1.0mm,6,1.0,calibrated,2059008,0.13148030507895064,0.8442109470745511,0.42666550375505186,3.2450906126119032,0.3608565274316848,0.6627684056161555,0.4672889407450621,0.09252962470054626,0.18971009848425935,permanent
imerg_deploy,h1_0.1mm,1,0.1,calibrated,391664,0.11698803055680379,0.8383682345576408,0.3883642175936076,3.3196919013440143,0.3343266003180025,0.6195111305106941,0.4342857142857143,0.08697571605443954,0.15804284405375868,provisional
imerg_deploy,h3_0.1mm,3,0.1,calibrated,391664,0.19202683933167206,0.8385776229699163,0.5208284282360485,2.712268920577632,0.43230071750195015,0.7442228427070868,0.5469130916961018,0.12050550431013107,0.2233094586497547,provisional
imerg_deploy,h6_0.1mm,6,0.1,calibrated,391664,0.2749346378528535,0.8469735047953201,0.6387690614361884,2.3233488018270765,0.5394343298956278,0.8073029847142512,0.6467288607180586,0.1411135345697403,0.29211606991804595,provisional
imerg_deploy,h1_1.0mm,1,1.0,calibrated,391664,0.02783252992360799,0.867661227445138,0.1661014814498229,5.967890159670071,0.1832587450908759,0.36813136409503716,0.24470258239580475,0.025269482284784317,0.06609527071398069,provisional
imerg_deploy,h3_1.0mm,3,1.0,calibrated,391664,0.0519756730258589,0.8507191270054045,0.23591874371763527,4.53902239226919,0.24769320291501565,0.4391118534165152,0.31672749176203807,0.04411080852150917,0.10478899022693067,provisional
imerg_deploy,h6_1.0mm,6,1.0,calibrated,391664,0.08473844928305894,0.8397039917902751,0.31368258111582487,3.701773914554474,0.30399592252803265,0.4492753623188406,0.3626260046936368,0.06683719903230667,0.13822773870907823,provisional
