target,slice,feature,n,base_rate,roc,roc_oriented
h3_1.0mm,warm,btd_07_13_mean,191332,0.1827,0.6441,0.6441
h3_1.0mm,warm,btd_11_13_envmin,190919,0.1827,0.5315,0.5315
h3_1.0mm,warm,b11_tb_mean,190919,0.1827,0.5086,0.5086
h3_1.0mm,warm,b15_tb_mean,191332,0.1827,0.5032,0.5032
h3_1.0mm,warm,b07_tb_mean,191332,0.1827,0.6125,0.6125
h3_1.0mm,warm,b13_tb_mean_control,191332,0.1827,0.5063,0.5063
h3_1.0mm,warm,cold235_control,191332,0.1827,0.5,0.5
h3_1.0mm,cold,btd_11_13_mean,203923,0.3575,0.5054,0.5054
h3_1.0mm,cold,btd_13_15_mean,204343,0.3575,0.4619,0.5381
h3_1.0mm,cold,btd_07_13_mean,204343,0.3575,0.5623,0.5623
h3_1.0mm,cold,btd_11_13_envmin,203923,0.3575,0.4888,0.5112
h3_1.0mm,cold,b11_tb_mean,203923,0.3575,0.4687,0.5313
h3_1.0mm,cold,b15_tb_mean,204343,0.3575,0.4701,0.5299
h3_1.0mm,cold,b07_tb_mean,204343,0.3575,0.5159,0.5159
h3_1.0mm,cold,b13_tb_mean_control,204343,0.3575,0.4686,0.5314
h3_1.0mm,cold,cold235_control,204343,0.3575,0.5759,0.5759
h3_1.0mm,all,btd_rank_combo,394842,0.2734,0.6212,0.6212
h3_1.0mm,warm,btd_rank_combo,190919,0.183,0.5903,0.5903
h3_1.0mm,cold,btd_rank_combo,203923,0.3581,0.5559,0.5559
