feature,rows,day0_mean,alt_mean,bias_alt_minus_day0,mae,pearson_r
temperature_2m,599760,27.33953314659197,26.98814025610244,-0.35139289048952915,0.9343160597572361,0.9319760512480426
relative_humidity_2m,599760,80.13267140189409,82.36536781379219,2.2326964118980928,5.8242096838735495,0.8412509172339285
pressure_msl,599760,1008.5346875416832,1008.2818078898226,-0.25287965186074424,0.510750133386688,0.9704887300363217
surface_pressure,599760,976.8841169801253,976.612467153528,-0.2716498265973057,0.4852225890356143,0.9998477094188508
dew_point_2m,599760,23.273826697345605,23.423055555555557,0.14922885820995066,0.7230213752167534,0.8323781353364491
precipitation,599760,0.2674147992530346,0.3057042817126851,0.038289482459650526,0.37874933306656,0.21906611832627443
cloud_cover,599760,84.82108176603975,84.47721421902094,-0.3438675470188075,13.525243430705615,0.5628173231343391
wind_speed_10m,599760,8.869164832599706,8.921168800853675,0.052003968253968254,2.5975035014005607,0.7372195028746943
wind_direction_10m,599760,212.97370114712552,210.68350506869413,-2.2901960784313724,32.29924636521275,0.4954514962698881
temperature_dew_point_spread,599760,4.065706449246364,3.5650847005468855,-0.5006217486994798,1.2908371682006137,0.8451261063340915
pressure_msl_change_3h,599760,-0.009706549286381216,-0.010131219154328398,-0.000424669867947182,0.5272877484327088,0.9170331097023916
pressure_msl_change_6h,599760,-0.019046785380818988,-0.020302454315059365,-0.001255668934240378,0.6402295918367366,0.9479008812566815
precipitation_lag_1h,599760,0.26680122048819527,0.3048464385754302,0.03804521808723489,0.377859477124183,0.21889801055264688
precipitation_lag_2h,599760,0.26639439108976926,0.3039764239028945,0.03758203281312524,0.37696611978124583,0.21914432349406224
precipitation_lag_3h,599760,0.26626650660264106,0.3032604708550087,0.03699396425236762,0.3763136921435241,0.21949841782761131
precipitation_lag_6h,599760,0.26687158196611976,0.30170451513938906,0.03483293317326931,0.37521742030145394,0.22097905641106963
precipitation_sum_past_3h,599760,0.8006104108309992,0.9145271441910098,0.1139167333600107,0.948012705082033,0.34591047818353216
precipitation_sum_past_6h,599760,1.5998826197145526,1.8223412698412698,0.22245865012671734,1.621576964118981,0.4384610537792802
precipitation_sum_past_12h,599760,3.2043127250900363,3.628575096705349,0.4242623716153128,2.740596238495398,0.5115210477217991
precipitation_sum_past_24h,599760,6.401841069761238,7.224303721488596,0.8224626517273576,4.442110510871015,0.5849781092767442
cloud_cover_lag_1h,599760,84.7732609710551,84.4422202214219,-0.3310407496331866,13.558838535414166,0.5623866001625368
cloud_cover_lag_3h,599760,84.68584767240229,84.38319994664532,-0.30264772575696947,13.628244631185808,0.5610111518862824
cloud_cover_lag_6h,599760,84.59731726023743,84.28852207549687,-0.3087951847405629,13.699711551287182,0.5601171803482272
humidity_lag_1h,599760,80.12877317593704,82.36467920501534,2.235906029078298,5.824954981992797,0.8412411153273709
humidity_lag_3h,599760,80.12093504068294,82.36107943177271,2.2401443910897694,5.824141323195945,0.841315737673652
humidity_lag_6h,599760,80.11244164332399,82.34641856742697,2.2339769241029743,5.816733360010671,0.8417986815149469
wind_speed_lag_1h,599760,8.867934840602908,8.91861494597839,0.05068010537548353,2.597407796451914,0.7372782795561035
wind_speed_lag_3h,599760,8.864434773909563,8.912604708550088,0.048169934640522875,2.5961657996531944,0.7375413497639495
neighbor_count,599760,7.17406962785114,7.17406962785114,0.0,0.0,1.0
neighbor_precipitation_mean,599760,0.2662156042972745,0.30404752436688964,0.037831920069615145,0.30493695891054834,0.35183701980451626
neighbor_precipitation_max,599760,0.755593737494998,0.8410257436307856,0.08543200613578765,0.853156762705082,0.332937955562475
neighbor_precipitation_sum,599760,1.8601305522208886,2.1266178137921834,0.26648726157129515,2.1305248766173137,0.35620652456216984
neighbor_rain_count,599760,2.670704948646125,2.95750133386688,0.28679638522075496,1.60171902094171,0.6221371531723686
neighbor_rain_rate,599760,0.37965581470683507,0.4203049414210129,0.04064912671417773,0.22491328078850586,0.6166751790861555
neighbor_cloud_cover_mean,599760,84.80458183074819,84.44933055563494,-0.35525127511321986,11.324181561513493,0.6622752922718995
neighbor_cloud_cover_max,599760,93.30927037481659,93.18404028277978,-0.12523009203681473,6.820865012671735,0.5591922582936991
neighbor_relative_humidity_mean,599760,80.10427642882549,82.33307830870444,2.228801879878936,4.801794183943419,0.8866422649510204
neighbor_relative_humidity_max,599760,86.93370014672536,88.43635787648392,1.5026577297585701,4.760610911031079,0.8372882178574124
neighbor_pressure_msl_mean,599760,1008.5294883971446,1008.2765424562682,-0.2529459408763504,0.4934524057638933,0.971895198897286
neighbor_pressure_msl_min,599760,1007.9769596171803,1007.734306222489,-0.2426533946912097,0.5003474723222623,0.9708402016672003
neighbor_pressure_msl_max,599760,1009.2727299253035,1008.9995684940642,-0.2731614312391623,0.5136793050553554,0.9713494190817598
neighbor_temperature_2m_mean,599760,27.355225026518543,27.004660735722858,-0.35056429079568335,0.7974551713542559,0.9449043300545499
