feature,rows,era5_mean,fcst_mean,bias_fcst_minus_era5,mae,pearson_r
temperature_2m,599760,27.33953314659197,27.33953314659197,0.0,0.0,0.9999999999999999
relative_humidity_2m,599760,80.13267140189409,80.13267140189409,0.0,0.0,1.0
pressure_msl,599760,1008.5346875416834,1008.5346875416834,0.0,0.0,1.0
surface_pressure,599760,976.8841169801253,976.8841169801253,0.0,0.0,1.0
dew_point_2m,599760,23.273826697345605,23.273826697345605,0.0,0.0,0.9999999999999999
precipitation,599760,0.2674147992530346,0.2674147992530346,0.0,0.0,1.0
cloud_cover,599760,84.82108176603975,84.82108176603975,0.0,0.0,1.0
wind_speed_10m,599760,8.869164832599706,8.869164832599706,0.0,0.0,1.0
wind_direction_10m,599760,212.97370114712552,212.97370114712552,0.0,0.0,1.0
temperature_dew_point_spread,599760,4.065706449246365,4.065706449246365,0.0,0.0,1.0
pressure_msl_change_3h,599760,-0.009706549286381217,-0.009706549286381217,0.0,0.0,1.0
pressure_msl_change_6h,599760,-0.019046785380818984,-0.019046785380818984,0.0,0.0,1.0
precipitation_lag_1h,599760,0.2668012204881953,0.2668012204881953,0.0,0.0,1.0
precipitation_lag_2h,599760,0.26639439108976926,0.26639439108976926,0.0,0.0,0.9999999999999999
precipitation_lag_3h,599760,0.26626650660264106,0.26626650660264106,0.0,0.0,1.0
precipitation_lag_6h,599760,0.2668715819661198,0.2668715819661198,0.0,0.0,0.9999999999999999
precipitation_sum_past_3h,599760,0.8006104108309992,0.8006104108309992,0.0,0.0,1.0
precipitation_sum_past_6h,599760,1.5998826197145524,1.5998826197145524,0.0,0.0,0.9999999999999999
precipitation_sum_past_12h,599760,3.2043127250900363,3.2043127250900363,0.0,0.0,1.0
precipitation_sum_past_24h,599760,6.401841069761238,6.401841069761238,0.0,0.0,1.0
cloud_cover_lag_1h,599760,84.7732609710551,84.7732609710551,0.0,0.0,1.0
cloud_cover_lag_3h,599760,84.68584767240229,84.68584767240229,0.0,0.0,1.0
cloud_cover_lag_6h,599760,84.59731726023743,84.59731726023743,0.0,0.0,1.0
humidity_lag_1h,599760,80.12877317593704,80.12877317593704,0.0,0.0,1.0
humidity_lag_3h,599760,80.12093504068294,80.12093504068294,0.0,0.0,1.0
humidity_lag_6h,599760,80.11244164332399,80.11244164332399,0.0,0.0,1.0
wind_speed_lag_1h,599760,8.867934840602906,8.867934840602906,0.0,0.0,1.0
wind_speed_lag_3h,599760,8.864434773909565,8.864434773909565,0.0,0.0,1.0
neighbor_count,599760,7.17406962785114,7.17406962785114,0.0,0.0,0.9999999999999999
neighbor_precipitation_mean,599760,0.2662156042972745,0.2662156042972745,-3.5633908936965225e-20,1.4193494985435207e-17,1.0
neighbor_precipitation_max,599760,0.755593737494998,0.755593737494998,0.0,0.0,1.0
neighbor_precipitation_sum,599760,1.8601305522208886,1.8601305522208886,-2.771114892396724e-19,1.0235669114269148e-16,0.9999999999999999
neighbor_rain_count,599760,2.670704948646125,2.670704948646125,0.0,0.0,1.0
neighbor_rain_rate,599760,0.37965581470683507,0.37965581470683507,0.0,0.0,0.9999999999999999
neighbor_cloud_cover_mean,599760,84.80458183074818,84.80458183074818,0.0,0.0,1.0
neighbor_cloud_cover_max,599760,93.30927037481659,93.30927037481659,0.0,0.0,0.9999999999999998
neighbor_relative_humidity_mean,599760,80.10427642882549,80.10427642882549,0.0,0.0,1.0
neighbor_relative_humidity_max,599760,86.93370014672536,86.93370014672536,0.0,0.0,0.9999999999999999
neighbor_pressure_msl_mean,599760,1008.5294883971446,1008.5294883971446,-3.468836084943266e-17,4.992489163324822e-14,0.9999999999999992
neighbor_pressure_msl_min,599760,1007.9769596171801,1007.9769596171801,0.0,0.0,1.0
neighbor_pressure_msl_max,599760,1009.2727299253035,1009.2727299253035,0.0,0.0,1.0
neighbor_temperature_2m_mean,599760,27.355225026518546,27.355225026518546,-4.2827330761850774e-18,1.5632805026319884e-15,1.0
neighbor_dew_point_2m_mean,599760,23.28275203970477,23.28275203970477,-3.2164924763049753e-18,1.3846259665631891e-15,1.0
neighbor_temperature_dew_point_spread_mean,599760,4.072472986813773,4.072472986813773,-7.552537582484058e-19,1.0869878648861026e-16,0.9999999999999999
neighbor_wind_speed_10m_mean,599760,8.840216033635677,8.840216033635677,-2.4116289123677035e-18,5.117332905741227e-16,1.0
neighbor_wind_speed_10m_max,599760,12.55015706282513,12.55015706282513,0.0,0.0,1.0
row_minus_precipitation_mean,599760,0.25610088479836374,0.25610088479836374,-8.663204874025831e-20,4.3578882295794046e-18,1.0
row_plus_precipitation_mean,599760,0.2587848472722422,0.2587848472722422,-7.219337395021526e-21,4.403980922178388e-18,1.0
column_minus_precipitation_mean,599760,0.26395911142234674,0.26395911142234674,-4.84991383973241e-20,4.506532535430745e-18,1.0
column_plus_precipitation_mean,599760,0.24288048552754435,0.24288048552754435,-7.108270665867348e-20,4.476914740989631e-18,1.0
row_minus_cloud_cover_mean,599760,85.00005641145346,85.00005641145346,0.0,0.0,0.9999999999999999
row_plus_cloud_cover_mean,599760,84.6266273175937,84.6266273175937,0.0,0.0,1.0
column_minus_cloud_cover_mean,599760,85.27316926770709,85.27316926770709,0.0,0.0,0.9999999999999999
column_plus_cloud_cover_mean,599760,84.383380574452,84.383380574452,0.0,0.0,0.9999999999999999
neighbor_precipitation_mean_minus_center,599760,-0.0011991949557600815,-0.0011991949557600813,-4.058563394508897e-20,1.413680467576276e-17,1.0
neighbor_cloud_cover_mean_minus_center,599760,-0.016499935291576964,-0.016499935291576964,0.0,0.0,0.9999999999999998
neighbor_relative_humidity_mean_minus_center,599760,-0.028394973068592518,-0.028394973068592518,0.0,0.0,1.0
center_pressure_msl_minus_neighbor_mean,599760,0.005199144538767877,0.0051991445387679115,3.468836084943266e-17,4.992489163324822e-14,1.0
