model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
lightgbm,neighbor_grid,1,validation,368032,0.268713046691592,0.914793524645477,0.8130872633138768,0.1256274347523723
lightgbm,neighbor_grid,1,test,367960,0.162376345254919,0.9330362705271563,0.7599383840821979,0.08194308722501203
lightgbm,neighbor_grid,2,validation,368032,0.3494886314233545,0.8949753176101763,0.8300143600645393,0.13817430566193298
lightgbm,neighbor_grid,2,test,367960,0.21837971518643332,0.9123485505410279,0.7669245365314503,0.09930550406834993
hist_gradient_boosting,neighbor_grid,3,validation,368032,0.41112185896878534,0.8863249530809552,0.8485077462951058,0.13502777564261656
hist_gradient_boosting,neighbor_grid,3,test,367960,0.2631699097728014,0.9024452849882258,0.781507876424439,0.1084729306524749
hist_gradient_boosting,neighbor_grid,6,validation,368032,0.5388933570993827,0.8811421088294421,0.8931798943499385,0.14068631286686434
hist_gradient_boosting,neighbor_grid,6,test,367960,0.3644363517773671,0.8924282834424551,0.82730071794431,0.12953730207892442
