target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_climatology,brier_skill,threshold_min,threshold_max
h1_0.1mm,1,0.1,raw,2453360,0.17785322985619723,0.8505705052861166,0.5534410876953386,3.1117854207248414,0.45143443731701305,0.6883677332709963,0.5452751509958373,0.15631282329559326,0.1462214584859159,-0.06901425354507307,0.6000000000000001,0.6000000000000001
h3_0.1mm,3,0.1,raw,2453360,0.27466576450255975,0.8521122567558277,0.6758172755820537,2.460507871470656,0.5503744737147354,0.7815891869752202,0.64591362382933,0.13537457585334778,0.19922448231278414,0.32049226941491793,0.3,0.3
h6_0.1mm,6,0.1,raw,2453360,0.37303086379495876,0.8615798839849257,0.7742436855473345,2.075548595820499,0.6499975610361403,0.8299370942733607,0.7290282515592396,0.14590656757354736,0.2338788384513457,0.37614463737000037,0.35000000000000003,0.35000000000000003
h1_1.0mm,1,1.0,raw,2453360,0.04780953467897088,0.872050197860039,0.27287773028339596,5.7076006306211085,0.26038134873861946,0.45766194349242073,0.3319204716546558,0.12322187423706055,0.045523783072751164,-1.7067582243800068,0.7500000000000001,0.7500000000000001
h3_1.0mm,3,1.0,raw,2453360,0.08073254638536538,0.8591158718557523,0.34439940024757765,4.26593010709257,0.32282835002254723,0.5096331525855018,0.3952712029337651,0.061753083020448685,0.0742148023395002,0.16791420210276398,0.2,0.2
h6_1.0mm,6,1.0,raw,2453360,0.12410041738676754,0.8444116283089679,0.41651353085801174,3.3562621273054907,0.34833030988988395,0.6565296932632209,0.4551662734882365,0.08758991211652756,0.10869950379119762,0.19420136190520032,0.2,0.2
h1_0.1mm,1,0.1,calibrated,2453360,0.17785322985619723,0.8499766726229295,0.5505856301512115,3.095730286126297,0.45013381552981035,0.6868941050286704,0.5438639786604729,0.10887302458286285,0.1462214584859159,0.2554237544187159,0.25,0.25
h3_0.1mm,3,0.1,calibrated,2453360,0.27466576450255975,0.8521897998085571,0.6752554407950174,2.458462349750634,0.5504232328721315,0.7816396430087229,0.6459644316134547,0.13574296236038208,0.19922448231278414,0.31864316682091076,0.3,0.3
h6_0.1mm,6,0.1,calibrated,2453360,0.37303086379495876,0.8616120262429079,0.7738762184723726,2.074563510910303,0.654362287177284,0.8188310702059378,0.7274159487978195,0.14623506367206573,0.2338788384513457,0.37474008063159026,0.35000000000000003,0.4
h1_1.0mm,1,1.0,calibrated,2453360,0.04780953467897088,0.8715588995641261,0.27067286029019794,5.661482842443433,0.27049613653233084,0.4318635224308149,0.3326427218192743,0.040235236287117004,0.045523783072751164,0.1161710742971993,0.2,0.2
h3_1.0mm,3,1.0,calibrated,2453360,0.08073254638536538,0.8589510964433763,0.34372307425290016,4.25755274226316,0.32037167931243704,0.5171760928175456,0.39565163652656216,0.06250700354576111,0.0742148023395002,0.15775557469224322,0.2,0.2
h6_1.0mm,6,1.0,calibrated,2453360,0.12410041738676754,0.8444057295260705,0.4154485012266209,3.3476801285192046,0.35420814808753603,0.6397985962169459,0.45597653580022657,0.08847621083259583,0.10869950379119762,0.18604770264130188,0.2,0.2
