fold,test_rows,train_rows,base_rate_h1_0.1mm,base_rate_h6_1.0mm
2021,221368,2230648,0.2280546420440172,0.17805193162516714
2022,490560,1960112,0.21887842465753424,0.14829174820613178
2023,490560,1960112,0.15362850619699936,0.10133928571428572
2024,491904,1958768,0.16517247267759563,0.1172972775175644
2025,490560,1960112,0.2018672537508154,0.13186969993476844
2026,268408,2183608,0.08509433399898662,0.07525856159279902
