threshold_mm,n,hits,false_alarms,misses,correct_negatives,observed_events,forecast_events,POD,FAR,POFD,CSI,frequency_bias,TSS,HSS,accuracy
0.1,115970,4276,22410,2569,86715,6845,26686,0.6246895544192842,0.8397661695270928,0.20536082474226805,0.1461630490514442,3.898612125639153,0.4193287296770162,0.17780246868216784,0.784608088298698
1.0,115970,835,5484,2509,107142,3344,6319,0.24970095693779903,0.8678588384238012,0.04869213147940973,0.09458541005890349,1.8896531100478469,0.2010088254583893,0.14040663604650588,0.9310770026731051
10.0,115970,9,151,810,115000,819,160,0.01098901098901099,0.94375,0.0013113216559126712,0.009278350515463918,0.19536019536019536,0.00967768933309832,0.016114936937508664,0.9917133741484867
