model,target_type,feature_set,horizon_h,split,rows,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss
lightgbm,exact_hour_3class,neighbor_grid,1,validation,368032,0.7619717850621686,0.6913395676827404,0.5565235080745844,0.6913395676827404,0.5796799372272458,0.7869069815627093,0.5622031294705914
lightgbm,exact_hour_3class,neighbor_grid,1,test,368032,0.8557897139379185,0.6753794710919184,0.5517222010748388,0.6753794710919184,0.583715233378335,0.8686091741968288,0.34951412260342163
lightgbm,exact_hour_3class,neighbor_grid,2,validation,368032,0.6846334014433527,0.5779920238818902,0.4934928303480683,0.5779920238818902,0.4956810883242102,0.7225828494915603,0.7110681473057773
lightgbm,exact_hour_3class,neighbor_grid,2,test,368032,0.8080031084253543,0.5692033105547127,0.48590236984267904,0.5692033105547127,0.5030073914398853,0.8263689311448047,0.44781580979703073
lightgbm,exact_hour_3class,neighbor_grid,3,validation,368032,0.6540545387357621,0.5502027261316499,0.4754255044455544,0.5502027261316499,0.47142764739915344,0.696330577577159,0.7612281783277021
lightgbm,exact_hour_3class,neighbor_grid,3,test,368032,0.7894395052604122,0.5308332235659875,0.4636334481243289,0.5308332235659875,0.47519118000479715,0.8097138753412959,0.4819187793340984
lightgbm,exact_hour_3class,neighbor_grid,4,validation,368032,0.6345915572558908,0.5358269806083721,0.4649042732548902,0.5358269806083721,0.4564958380462682,0.6805157645265277,0.7897982059538037
lightgbm,exact_hour_3class,neighbor_grid,4,test,368032,0.7794865663855317,0.5169024475735958,0.4535710019639931,0.5169024475735958,0.4610614779864135,0.8015952383048227,0.5002012221255758
lightgbm,exact_hour_3class,neighbor_grid,5,validation,368032,0.6191010564298757,0.5278107960767344,0.4577195354435252,0.5278107960767344,0.4460119912102851,0.6677745662939051,0.80890584975539
lightgbm,exact_hour_3class,neighbor_grid,5,test,368032,0.7749326145552561,0.5124693820474557,0.4486199522410808,0.5124693820474557,0.4549504178423849,0.7974880031969316,0.5109754110374065
lightgbm,exact_hour_3class,neighbor_grid,6,validation,368032,0.6092513694461351,0.5227929073349116,0.45244696915121385,0.5227929073349116,0.4392055435991853,0.6591675326212346,0.8231936148503697
lightgbm,exact_hour_3class,neighbor_grid,6,test,368032,0.7731012520650378,0.5063884488198037,0.44450376775846406,0.5063884488198037,0.44898552601828573,0.7947567386809372,0.5168897390174635
